      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -28.279528        0.029243
BFGS:    1 21:21:27      -28.279545        0.028521
BFGS:    2 21:21:27      -28.280321        0.008470
BFGS:    3 21:21:28      -28.280354        0.007860
BFGS:    4 21:21:28      -28.280359        0.007806
BFGS:    5 21:21:28      -28.280424        0.009661
BFGS:    6 21:21:28      -28.280457        0.010683
BFGS:    7 21:21:28      -28.280558        0.014860
BFGS:    8 21:21:28      -28.280586        0.018873
BFGS:    9 21:21:28      -28.280628        0.020279
BFGS:   10 21:21:28      -28.280645        0.019179
BFGS:   11 21:21:28      -28.280735        0.013911
BFGS:   12 21:21:29      -28.280825        0.008254
BFGS:   13 21:21:29      -28.280910        0.009760
BFGS:   14 21:21:29      -28.280937        0.011004
BFGS:   15 21:21:29      -28.280947        0.010969
BFGS:   16 21:21:29      -28.280975        0.010748
BFGS:   17 21:21:29      -28.280991        0.009913
BFGS:   18 21:21:29      -28.281076        0.007970
BFGS:   19 21:21:29      -28.281197        0.010767
BFGS:   20 21:21:29      -28.281271        0.013210
BFGS:   21 21:21:30      -28.281332        0.013583
BFGS:   22 21:21:30      -28.281361        0.013017
BFGS:   23 21:21:30      -28.281342        0.011753
BFGS:   24 21:21:30      -28.281399        0.009084
BFGS:   25 21:21:30      -28.281448        0.008414
BFGS:   26 21:21:30      -28.281563        0.008259
BFGS:   27 21:21:30      -28.281641        0.011088
BFGS:   28 21:21:30      -28.281664        0.011127
BFGS:   29 21:21:30      -28.281679        0.010044
BFGS:   30 21:21:31      -28.281689        0.008472
BFGS:   31 21:21:31      -28.281693        0.005803
BFGS:   32 21:21:31      -28.281708        0.002949
BFGS:   33 21:21:31      -28.281719        0.003060
BFGS:   34 21:21:31      -28.281725        0.002764
BFGS:   35 21:21:31      -28.281725        0.002670
BFGS:   36 21:21:31      -28.281727        0.002530
BFGS:   37 21:21:31      -28.281729        0.002192
BFGS:   38 21:21:31      -28.281738        0.001946
BFGS:   39 21:21:31      -28.281736        0.001712
BFGS:   40 21:21:32      -28.281742        0.001402
BFGS:   41 21:21:32      -28.281742        0.001452
BFGS:   42 21:21:32      -28.281744        0.001483
BFGS:   43 21:21:32      -28.281744        0.001480
BFGS:   44 21:21:32      -28.281748        0.001464
BFGS:   45 21:21:32      -28.281746        0.001267
BFGS:   46 21:21:32      -28.281744        0.000944
