      Step     Time          Energy          fmax
BFGS:    0 13:12:33      -56.602814        0.029011
BFGS:    1 13:12:33      -56.602886        0.028395
BFGS:    2 13:12:33      -56.605053        0.018907
BFGS:    3 13:12:33      -56.605194        0.023879
BFGS:    4 13:12:33      -56.605259        0.024299
BFGS:    5 13:12:33      -56.605469        0.020503
BFGS:    6 13:12:33      -56.605736        0.018173
BFGS:    7 13:12:34      -56.605934        0.016619
BFGS:    8 13:12:34      -56.605999        0.014219
BFGS:    9 13:12:34      -56.606071        0.016365
BFGS:   10 13:12:34      -56.606148        0.016980
BFGS:   11 13:12:34      -56.606350        0.016890
BFGS:   12 13:12:34      -56.606575        0.012164
BFGS:   13 13:12:34      -56.606808        0.012039
BFGS:   14 13:12:34      -56.606899        0.010992
BFGS:   15 13:12:34      -56.606926        0.008956
BFGS:   16 13:12:35      -56.606934        0.007443
BFGS:   17 13:12:35      -56.606960        0.007562
BFGS:   18 13:12:35      -56.607018        0.007194
BFGS:   19 13:12:35      -56.607079        0.006399
BFGS:   20 13:12:35      -56.607136        0.009229
BFGS:   21 13:12:35      -56.607155        0.009538
BFGS:   22 13:12:35      -56.607178        0.008521
BFGS:   23 13:12:35      -56.607185        0.006772
BFGS:   24 13:12:35      -56.607220        0.005140
BFGS:   25 13:12:36      -56.607243        0.004944
BFGS:   26 13:12:36      -56.607265        0.005817
BFGS:   27 13:12:36      -56.607273        0.005797
BFGS:   28 13:12:36      -56.607292        0.005451
BFGS:   29 13:12:36      -56.607300        0.005610
BFGS:   30 13:12:36      -56.607319        0.006536
BFGS:   31 13:12:36      -56.607357        0.006594
BFGS:   32 13:12:36      -56.607403        0.006879
BFGS:   33 13:12:36      -56.607418        0.007180
BFGS:   34 13:12:36      -56.607437        0.007391
BFGS:   35 13:12:37      -56.607445        0.006868
BFGS:   36 13:12:37      -56.607464        0.005388
BFGS:   37 13:12:37      -56.607483        0.004032
BFGS:   38 13:12:37      -56.607506        0.003415
BFGS:   39 13:12:37      -56.607510        0.003371
BFGS:   40 13:12:37      -56.607513        0.003390
BFGS:   41 13:12:37      -56.607517        0.003415
BFGS:   42 13:12:37      -56.607521        0.003413
BFGS:   43 13:12:37      -56.607536        0.003340
BFGS:   44 13:12:38      -56.607548        0.003225
BFGS:   45 13:12:38      -56.607563        0.002619
BFGS:   46 13:12:38      -56.607559        0.002520
BFGS:   47 13:12:38      -56.607559        0.002382
BFGS:   48 13:12:38      -56.607567        0.001936
BFGS:   49 13:12:38      -56.607567        0.001927
BFGS:   50 13:12:38      -56.607571        0.002101
BFGS:   51 13:12:38      -56.607578        0.002517
BFGS:   52 13:12:38      -56.607574        0.002810
BFGS:   53 13:12:39      -56.607578        0.002712
BFGS:   54 13:12:39      -56.607578        0.002351
BFGS:   55 13:12:39      -56.607586        0.001942
BFGS:   56 13:12:39      -56.607590        0.002346
BFGS:   57 13:12:39      -56.607590        0.001952
BFGS:   58 13:12:39      -56.607594        0.001245
BFGS:   59 13:12:39      -56.607594        0.001363
BFGS:   60 13:12:39      -56.607597        0.001366
BFGS:   61 13:12:39      -56.607594        0.001406
BFGS:   62 13:12:40      -56.607597        0.001257
BFGS:   63 13:12:40      -56.607601        0.001954
BFGS:   64 13:12:40      -56.607601        0.001918
BFGS:   65 13:12:40      -56.607597        0.001558
BFGS:   66 13:12:40      -56.607601        0.001380
BFGS:   67 13:12:40      -56.607601        0.001248
BFGS:   68 13:12:40      -56.607601        0.000843
