      Step     Time          Energy          fmax
BFGS:    0 11:11:10      -28.338030        0.029286
BFGS:    1 11:11:10      -28.338064        0.028914
BFGS:    2 11:11:10      -28.339067        0.020132
BFGS:    3 11:11:10      -28.339096        0.018622
BFGS:    4 11:11:11      -28.339394        0.011955
BFGS:    5 11:11:11      -28.339573        0.013770
BFGS:    6 11:11:11      -28.339657        0.011647
BFGS:    7 11:11:11      -28.339680        0.011883
BFGS:    8 11:11:11      -28.339691        0.012613
BFGS:    9 11:11:11      -28.339716        0.012738
BFGS:   10 11:11:11      -28.339775        0.011440
BFGS:   11 11:11:11      -28.339870        0.008204
BFGS:   12 11:11:11      -28.339947        0.006782
BFGS:   13 11:11:12      -28.339975        0.004746
BFGS:   14 11:11:12      -28.339989        0.003827
BFGS:   15 11:11:12      -28.339987        0.003354
BFGS:   16 11:11:12      -28.339987        0.003327
BFGS:   17 11:11:12      -28.339994        0.003282
BFGS:   18 11:11:12      -28.340014        0.003213
BFGS:   19 11:11:12      -28.340015        0.002285
BFGS:   20 11:11:12      -28.340014        0.001887
BFGS:   21 11:11:12      -28.340019        0.001892
BFGS:   22 11:11:12      -28.340019        0.001976
BFGS:   23 11:11:13      -28.340023        0.002156
BFGS:   24 11:11:13      -28.340021        0.001818
BFGS:   25 11:11:13      -28.340025        0.001184
BFGS:   26 11:11:13      -28.340031        0.001481
BFGS:   27 11:11:13      -28.340021        0.001909
BFGS:   28 11:11:13      -28.340019        0.001656
BFGS:   29 11:11:13      -28.340029        0.000905
