      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -56.704365        0.011808
BFGS:    1 21:21:27      -56.704411        0.011709
BFGS:    2 21:21:27      -56.705513        0.021622
BFGS:    3 21:21:28      -56.705517        0.018017
BFGS:    4 21:21:28      -56.705650        0.013695
BFGS:    5 21:21:28      -56.705925        0.010058
BFGS:    6 21:21:28      -56.706367        0.008438
BFGS:    7 21:21:28      -56.706806        0.009812
BFGS:    8 21:21:28      -56.706997        0.009194
BFGS:    9 21:21:28      -56.707035        0.010272
BFGS:   10 21:21:28      -56.707047        0.010632
BFGS:   11 21:21:28      -56.707085        0.010996
BFGS:   12 21:21:29      -56.707142        0.010915
BFGS:   13 21:21:29      -56.707237        0.009768
BFGS:   14 21:21:29      -56.707317        0.007700
BFGS:   15 21:21:29      -56.707348        0.007756
BFGS:   16 21:21:29      -56.707355        0.007494
BFGS:   17 21:21:29      -56.707367        0.007192
BFGS:   18 21:21:29      -56.707382        0.006807
BFGS:   19 21:21:29      -56.707417        0.006647
BFGS:   20 21:21:29      -56.707439        0.007007
BFGS:   21 21:21:30      -56.707462        0.007956
BFGS:   22 21:21:30      -56.707466        0.008032
BFGS:   23 21:21:30      -56.707478        0.008296
BFGS:   24 21:21:30      -56.707512        0.008315
BFGS:   25 21:21:30      -56.707565        0.007551
BFGS:   26 21:21:30      -56.707645        0.006464
BFGS:   27 21:21:30      -56.707703        0.006181
BFGS:   28 21:21:30      -56.707718        0.005918
BFGS:   29 21:21:30      -56.707726        0.005701
BFGS:   30 21:21:31      -56.707733        0.005419
BFGS:   31 21:21:31      -56.707752        0.004765
BFGS:   32 21:21:31      -56.707783        0.004652
BFGS:   33 21:21:31      -56.707848        0.006524
BFGS:   34 21:21:31      -56.707916        0.005678
BFGS:   35 21:21:31      -56.707951        0.003645
BFGS:   36 21:21:31      -56.707954        0.002727
BFGS:   37 21:21:31      -56.707958        0.002785
BFGS:   38 21:21:31      -56.707958        0.002658
BFGS:   39 21:21:32      -56.707966        0.002352
BFGS:   40 21:21:32      -56.707977        0.002844
BFGS:   41 21:21:32      -56.707989        0.003257
BFGS:   42 21:21:32      -56.707989        0.003064
BFGS:   43 21:21:32      -56.707993        0.002722
BFGS:   44 21:21:32      -56.708000        0.002298
BFGS:   45 21:21:32      -56.708000        0.002242
BFGS:   46 21:21:32      -56.708008        0.002012
BFGS:   47 21:21:32      -56.708008        0.001717
BFGS:   48 21:21:33      -56.708008        0.001574
BFGS:   49 21:21:33      -56.708012        0.001511
BFGS:   50 21:21:33      -56.708012        0.001380
BFGS:   51 21:21:33      -56.708008        0.001138
BFGS:   52 21:21:33      -56.708012        0.001263
BFGS:   53 21:21:33      -56.708012        0.001191
BFGS:   54 21:21:33      -56.708012        0.000747
