      Step     Time          Energy          fmax
BFGS:    0 12:31:34      -56.726082        0.034681
BFGS:    1 12:31:34      -56.726124        0.034326
BFGS:    2 12:31:34      -56.727417        0.029543
BFGS:    3 12:31:34      -56.727493        0.029151
BFGS:    4 12:31:34      -56.728783        0.018909
BFGS:    5 12:31:34      -56.728832        0.019878
BFGS:    6 12:31:34      -56.728939        0.018258
BFGS:    7 12:31:34      -56.729053        0.012635
BFGS:    8 12:31:35      -56.729153        0.010966
BFGS:    9 12:31:35      -56.729210        0.011672
BFGS:   10 12:31:35      -56.729237        0.013895
BFGS:   11 12:31:35      -56.729271        0.013925
BFGS:   12 12:31:35      -56.729332        0.011333
BFGS:   13 12:31:35      -56.729393        0.007307
BFGS:   14 12:31:35      -56.729424        0.008382
BFGS:   15 12:31:35      -56.729435        0.007921
BFGS:   16 12:31:35      -56.729454        0.007564
BFGS:   17 12:31:36      -56.729485        0.008678
BFGS:   18 12:31:36      -56.729542        0.008508
BFGS:   19 12:31:36      -56.729595        0.007441
BFGS:   20 12:31:36      -56.729637        0.008769
BFGS:   21 12:31:36      -56.729641        0.007900
BFGS:   22 12:31:36      -56.729637        0.007460
BFGS:   23 12:31:36      -56.729675        0.006607
BFGS:   24 12:31:36      -56.729710        0.006938
BFGS:   25 12:31:36      -56.729759        0.008812
BFGS:   26 12:31:37      -56.729774        0.009578
BFGS:   27 12:31:37      -56.729778        0.008224
BFGS:   28 12:31:37      -56.729801        0.006557
BFGS:   29 12:31:37      -56.729832        0.005674
BFGS:   30 12:31:37      -56.729858        0.006972
BFGS:   31 12:31:37      -56.729893        0.005972
BFGS:   32 12:31:37      -56.729908        0.005987
BFGS:   33 12:31:37      -56.729912        0.006202
BFGS:   34 12:31:37      -56.729927        0.006535
BFGS:   35 12:31:38      -56.729958        0.006467
BFGS:   36 12:31:38      -56.730000        0.007090
BFGS:   37 12:31:38      -56.730034        0.008440
BFGS:   38 12:31:38      -56.730045        0.007219
BFGS:   39 12:31:38      -56.730061        0.005664
BFGS:   40 12:31:38      -56.730061        0.004172
BFGS:   41 12:31:38      -56.730072        0.004448
BFGS:   42 12:31:38      -56.730083        0.005825
BFGS:   43 12:31:38      -56.730099        0.007267
BFGS:   44 12:31:38      -56.730103        0.007066
BFGS:   45 12:31:39      -56.730106        0.006211
BFGS:   46 12:31:39      -56.730125        0.005320
BFGS:   47 12:31:39      -56.730145        0.004956
BFGS:   48 12:31:39      -56.730171        0.004762
BFGS:   49 12:31:39      -56.730175        0.004399
BFGS:   50 12:31:39      -56.730179        0.004116
BFGS:   51 12:31:39      -56.730186        0.003809
BFGS:   52 12:31:39      -56.730186        0.003452
BFGS:   53 12:31:39      -56.730202        0.004744
BFGS:   54 12:31:40      -56.730221        0.006346
BFGS:   55 12:31:40      -56.730228        0.005606
BFGS:   56 12:31:40      -56.730236        0.006356
BFGS:   57 12:31:40      -56.730244        0.005935
BFGS:   58 12:31:40      -56.730247        0.004375
BFGS:   59 12:31:40      -56.730255        0.003977
BFGS:   60 12:31:40      -56.730263        0.004122
BFGS:   61 12:31:40      -56.730270        0.004851
BFGS:   62 12:31:40      -56.730270        0.005135
BFGS:   63 12:31:41      -56.730270        0.004588
BFGS:   64 12:31:41      -56.730282        0.002949
BFGS:   65 12:31:41      -56.730289        0.003331
BFGS:   66 12:31:41      -56.730293        0.002672
BFGS:   67 12:31:41      -56.730297        0.002704
BFGS:   68 12:31:41      -56.730297        0.002709
BFGS:   69 12:31:41      -56.730297        0.002648
BFGS:   70 12:31:41      -56.730309        0.003939
BFGS:   71 12:31:41      -56.730320        0.005085
BFGS:   72 12:31:42      -56.730328        0.004443
BFGS:   73 12:31:42      -56.730328        0.003348
BFGS:   74 12:31:42      -56.730331        0.003455
BFGS:   75 12:31:42      -56.730331        0.003188
BFGS:   76 12:31:42      -56.730343        0.002440
BFGS:   77 12:31:42      -56.730339        0.002417
BFGS:   78 12:31:42      -56.730347        0.002735
BFGS:   79 12:31:42      -56.730347        0.002476
BFGS:   80 12:31:42      -56.730350        0.002105
BFGS:   81 12:31:43      -56.730347        0.002335
BFGS:   82 12:31:43      -56.730350        0.002965
BFGS:   83 12:31:43      -56.730366        0.003617
BFGS:   84 12:31:43      -56.730362        0.003518
BFGS:   85 12:31:43      -56.730370        0.003588
BFGS:   86 12:31:43      -56.730366        0.003226
BFGS:   87 12:31:43      -56.730373        0.002636
BFGS:   88 12:31:43      -56.730377        0.002760
BFGS:   89 12:31:43      -56.730377        0.002380
BFGS:   90 12:31:43      -56.730377        0.001474
BFGS:   91 12:31:44      -56.730381        0.001279
BFGS:   92 12:31:44      -56.730373        0.001224
BFGS:   93 12:31:44      -56.730381        0.001273
BFGS:   94 12:31:44      -56.730377        0.001624
BFGS:   95 12:31:44      -56.730385        0.001698
BFGS:   96 12:31:44      -56.730385        0.001171
BFGS:   97 12:31:44      -56.730381        0.001112
BFGS:   98 12:31:44      -56.730385        0.000980
