      Step     Time          Energy          fmax
BFGS:    0 03:01:23     -121.739395        0.212568
BFGS:    1 03:01:23     -121.743210        0.166293
BFGS:    2 03:01:23     -121.749512        0.063925
BFGS:    3 03:01:23     -121.749886        0.057513
BFGS:    4 03:01:23     -121.751358        0.026794
BFGS:    5 03:01:23     -121.751472        0.028939
BFGS:    6 03:01:24     -121.751755        0.024480
BFGS:    7 03:01:24     -121.751945        0.025721
BFGS:    8 03:01:24     -121.752136        0.024984
BFGS:    9 03:01:24     -121.752243        0.019866
BFGS:   10 03:01:24     -121.752335        0.017998
BFGS:   11 03:01:24     -121.752380        0.014963
BFGS:   12 03:01:24     -121.752419        0.012916
BFGS:   13 03:01:24     -121.752449        0.012626
BFGS:   14 03:01:24     -121.752495        0.011075
BFGS:   15 03:01:25     -121.752533        0.009141
BFGS:   16 03:01:25     -121.752548        0.005994
BFGS:   17 03:01:25     -121.752556        0.003901
BFGS:   18 03:01:25     -121.752556        0.003174
BFGS:   19 03:01:25     -121.752556        0.002878
BFGS:   20 03:01:25     -121.752563        0.001961
BFGS:   21 03:01:25     -121.752563        0.001920
BFGS:   22 03:01:25     -121.752563        0.001930
BFGS:   23 03:01:25     -121.752563        0.001839
BFGS:   24 03:01:26     -121.752563        0.002277
BFGS:   25 03:01:26     -121.752563        0.001911
BFGS:   26 03:01:26     -121.752563        0.001136
BFGS:   27 03:01:26     -121.752563        0.000897
