      Step     Time          Energy          fmax
BFGS:    0 05:01:07     -243.621399        0.113782
BFGS:    1 05:01:07     -243.623810        0.090129
BFGS:    2 05:01:07     -243.629059        0.074763
BFGS:    3 05:01:07     -243.629959        0.073231
BFGS:    4 05:01:07     -243.631592        0.076203
BFGS:    5 05:01:07     -243.632385        0.074636
BFGS:    6 05:01:08     -243.633698        0.076410
BFGS:    7 05:01:08     -243.634750        0.077726
BFGS:    8 05:01:08     -243.635895        0.057055
BFGS:    9 05:01:08     -243.636917        0.062082
BFGS:   10 05:01:08     -243.637756        0.056622
BFGS:   11 05:01:08     -243.638290        0.034206
BFGS:   12 05:01:08     -243.638657        0.033827
BFGS:   13 05:01:08     -243.638916        0.028042
BFGS:   14 05:01:09     -243.639145        0.035748
BFGS:   15 05:01:09     -243.639343        0.031240
BFGS:   16 05:01:09     -243.639542        0.025658
BFGS:   17 05:01:09     -243.639740        0.025175
BFGS:   18 05:01:09     -243.639954        0.023640
BFGS:   19 05:01:09     -243.640152        0.024507
BFGS:   20 05:01:09     -243.640305        0.017897
BFGS:   21 05:01:09     -243.640427        0.021252
BFGS:   22 05:01:10     -243.640533        0.020457
BFGS:   23 05:01:10     -243.640594        0.015324
BFGS:   24 05:01:10     -243.640671        0.011649
BFGS:   25 05:01:10     -243.640701        0.007095
BFGS:   26 05:01:10     -243.640717        0.005446
BFGS:   27 05:01:10     -243.640717        0.004546
BFGS:   28 05:01:10     -243.640732        0.005601
BFGS:   29 05:01:10     -243.640747        0.005325
BFGS:   30 05:01:11     -243.640747        0.004912
BFGS:   31 05:01:11     -243.640747        0.004688
BFGS:   32 05:01:11     -243.640762        0.004293
BFGS:   33 05:01:11     -243.640762        0.003137
BFGS:   34 05:01:11     -243.640762        0.002770
BFGS:   35 05:01:11     -243.640778        0.002447
BFGS:   36 05:01:11     -243.640778        0.003069
BFGS:   37 05:01:11     -243.640778        0.003339
BFGS:   38 05:01:12     -243.640778        0.002942
BFGS:   39 05:01:12     -243.640778        0.002416
BFGS:   40 05:01:12     -243.640778        0.002263
BFGS:   41 05:01:12     -243.640793        0.002134
BFGS:   42 05:01:12     -243.640778        0.002132
BFGS:   43 05:01:12     -243.640778        0.002623
BFGS:   44 05:01:12     -243.640793        0.002917
BFGS:   45 05:01:12     -243.640778        0.002654
BFGS:   46 05:01:12     -243.640793        0.001997
BFGS:   47 05:01:13     -243.640793        0.001846
BFGS:   48 05:01:13     -243.640793        0.001684
BFGS:   49 05:01:13     -243.640778        0.001273
BFGS:   50 05:01:13     -243.640793        0.001103
BFGS:   51 05:01:13     -243.640793        0.001013
BFGS:   52 05:01:13     -243.640793        0.000981
