      Step     Time          Energy          fmax
BFGS:    0 21:21:27     -266.278809        0.076905
BFGS:    1 21:21:27     -266.280762        0.058842
BFGS:    2 21:21:28     -266.283905        0.027275
BFGS:    3 21:21:28     -266.284058        0.026303
BFGS:    4 21:21:28     -266.284790        0.027670
BFGS:    5 21:21:28     -266.285004        0.030180
BFGS:    6 21:21:28     -266.285400        0.019589
BFGS:    7 21:21:28     -266.285553        0.019933
BFGS:    8 21:21:28     -266.285706        0.019651
BFGS:    9 21:21:29     -266.285858        0.017684
BFGS:   10 21:21:29     -266.286011        0.013679
BFGS:   11 21:21:29     -266.286072        0.008725
BFGS:   12 21:21:29     -266.286102        0.009884
BFGS:   13 21:21:29     -266.286133        0.009336
BFGS:   14 21:21:29     -266.286163        0.007905
BFGS:   15 21:21:29     -266.286194        0.007283
BFGS:   16 21:21:30     -266.286194        0.005364
BFGS:   17 21:21:30     -266.286224        0.004883
BFGS:   18 21:21:30     -266.286224        0.004641
BFGS:   19 21:21:30     -266.286224        0.005257
BFGS:   20 21:21:30     -266.286255        0.004009
BFGS:   21 21:21:30     -266.286255        0.002334
BFGS:   22 21:21:30     -266.286255        0.002444
BFGS:   23 21:21:31     -266.286255        0.003015
BFGS:   24 21:21:31     -266.286255        0.003255
BFGS:   25 21:21:31     -266.286255        0.002875
BFGS:   26 21:21:31     -266.286255        0.002673
BFGS:   27 21:21:31     -266.286285        0.002516
BFGS:   28 21:21:31     -266.286285        0.002531
BFGS:   29 21:21:31     -266.286285        0.001839
BFGS:   30 21:21:32     -266.286285        0.001890
BFGS:   31 21:21:32     -266.286285        0.001570
BFGS:   32 21:21:32     -266.286285        0.001512
BFGS:   33 21:21:32     -266.286285        0.001294
BFGS:   34 21:21:32     -266.286285        0.001259
BFGS:   35 21:21:32     -266.286285        0.001363
BFGS:   36 21:21:32     -266.286285        0.001209
BFGS:   37 21:21:33     -266.286285        0.001003
BFGS:   38 21:21:33     -266.286285        0.000931
