      Step     Time          Energy          fmax
BFGS:    0 01:04:44    -1062.429565        0.194963
BFGS:    1 01:04:44    -1062.446045        0.143479
BFGS:    2 01:04:45    -1062.471069        0.072561
BFGS:    3 01:04:45    -1062.472656        0.059500
BFGS:    4 01:04:45    -1062.475708        0.035691
BFGS:    5 01:04:46    -1062.476807        0.042132
BFGS:    6 01:04:46    -1062.478760        0.039716
BFGS:    7 01:04:47    -1062.479736        0.031642
BFGS:    8 01:04:47    -1062.480713        0.031126
BFGS:    9 01:04:47    -1062.481445        0.030648
BFGS:   10 01:04:48    -1062.482300        0.037689
BFGS:   11 01:04:48    -1062.483032        0.035244
BFGS:   12 01:04:48    -1062.483643        0.027854
BFGS:   13 01:04:49    -1062.484131        0.026638
BFGS:   14 01:04:49    -1062.484619        0.025301
BFGS:   15 01:04:50    -1062.485107        0.023852
BFGS:   16 01:04:50    -1062.485596        0.022465
BFGS:   17 01:04:50    -1062.485962        0.023252
BFGS:   18 01:04:51    -1062.486328        0.021660
BFGS:   19 01:04:51    -1062.486694        0.019649
BFGS:   20 01:04:51    -1062.487061        0.019929
BFGS:   21 01:04:52    -1062.487305        0.018879
BFGS:   22 01:04:52    -1062.487671        0.018609
BFGS:   23 01:04:53    -1062.487915        0.017535
BFGS:   24 01:04:53    -1062.488281        0.019737
BFGS:   25 01:04:53    -1062.488525        0.017006
BFGS:   26 01:04:54    -1062.488770        0.020851
BFGS:   27 01:04:54    -1062.489136        0.022078
BFGS:   28 01:04:55    -1062.489380        0.015979
BFGS:   29 01:04:55    -1062.489624        0.014752
BFGS:   30 01:04:55    -1062.489868        0.017069
BFGS:   31 01:04:56    -1062.490234        0.020076
BFGS:   32 01:04:56    -1062.490479        0.016694
BFGS:   33 01:04:56    -1062.490723        0.021197
BFGS:   34 01:04:57    -1062.490967        0.017264
BFGS:   35 01:04:57    -1062.491211        0.016286
BFGS:   36 01:04:58    -1062.491333        0.015188
BFGS:   37 01:04:58    -1062.491455        0.013322
BFGS:   38 01:04:58    -1062.491577        0.012942
BFGS:   39 01:04:59    -1062.491699        0.009429
BFGS:   40 01:04:59    -1062.491699        0.009139
BFGS:   41 01:04:59    -1062.491821        0.009438
BFGS:   42 01:05:00    -1062.491821        0.008940
BFGS:   43 01:05:00    -1062.491943        0.006059
BFGS:   44 01:05:01    -1062.491943        0.007242
BFGS:   45 01:05:01    -1062.491943        0.005789
BFGS:   46 01:05:01    -1062.491943        0.005510
BFGS:   47 01:05:02    -1062.492065        0.004966
BFGS:   48 01:05:02    -1062.492065        0.004892
BFGS:   49 01:05:02    -1062.492065        0.003877
BFGS:   50 01:05:03    -1062.492065        0.003781
BFGS:   51 01:05:03    -1062.492065        0.003201
BFGS:   52 01:05:04    -1062.492188        0.003151
BFGS:   53 01:05:04    -1062.492065        0.003163
BFGS:   54 01:05:04    -1062.492188        0.002866
BFGS:   55 01:05:05    -1062.492188        0.002306
BFGS:   56 01:05:05    -1062.492065        0.002085
BFGS:   57 01:05:05    -1062.492188        0.002329
BFGS:   58 01:05:06    -1062.492188        0.001909
BFGS:   59 01:05:06    -1062.492188        0.001752
BFGS:   60 01:05:07    -1062.492188        0.001795
BFGS:   61 01:05:07    -1062.492188        0.002119
BFGS:   62 01:05:07    -1062.492188        0.001670
BFGS:   63 01:05:08    -1062.492188        0.001421
BFGS:   64 01:05:08    -1062.492188        0.001491
BFGS:   65 01:05:08    -1062.492188        0.001325
BFGS:   66 01:05:09    -1062.492188        0.001479
BFGS:   67 01:05:09    -1062.492188        0.001420
BFGS:   68 01:05:10    -1062.492188        0.001272
BFGS:   69 01:05:10    -1062.492188        0.001252
BFGS:   70 01:05:10    -1062.492188        0.001226
BFGS:   71 01:05:11    -1062.492188        0.001204
BFGS:   72 01:05:11    -1062.492188        0.001183
BFGS:   73 01:05:11    -1062.492188        0.001164
BFGS:   74 01:05:12    -1062.492188        0.001152
BFGS:   75 01:05:12    -1062.492188        0.001143
BFGS:   76 01:05:13    -1062.492188        0.001135
BFGS:   77 01:05:13    -1062.492188        0.001126
BFGS:   78 01:05:13    -1062.492188        0.001115
BFGS:   79 01:05:14    -1062.492188        0.001097
BFGS:   80 01:05:14    -1062.492188        0.001082
BFGS:   81 01:05:14    -1062.492188        0.001056
BFGS:   82 01:05:15    -1062.492188        0.001033
BFGS:   83 01:05:15    -1062.492188        0.001006
BFGS:   84 01:05:16    -1062.492188        0.000986
