      Step     Time          Energy          fmax
BFGS:    0 21:38:28     -266.316803        0.092715
BFGS:    1 21:38:29     -266.319061        0.070757
BFGS:    2 21:38:29     -266.322449        0.025027
BFGS:    3 21:38:29     -266.322571        0.024629
BFGS:    4 21:38:29     -266.323029        0.032134
BFGS:    5 21:38:29     -266.323181        0.035732
BFGS:    6 21:38:29     -266.323486        0.023919
BFGS:    7 21:38:30     -266.323578        0.014946
BFGS:    8 21:38:30     -266.323669        0.016945
BFGS:    9 21:38:30     -266.323761        0.019550
BFGS:   10 21:38:30     -266.323883        0.017286
BFGS:   11 21:38:30     -266.323944        0.011319
BFGS:   12 21:38:30     -266.324005        0.009482
BFGS:   13 21:38:30     -266.324066        0.012325
BFGS:   14 21:38:31     -266.324097        0.014711
BFGS:   15 21:38:31     -266.324158        0.011541
BFGS:   16 21:38:31     -266.324188        0.008250
BFGS:   17 21:38:31     -266.324219        0.006682
BFGS:   18 21:38:31     -266.324219        0.007386
BFGS:   19 21:38:31     -266.324249        0.006365
BFGS:   20 21:38:32     -266.324249        0.005004
BFGS:   21 21:38:32     -266.324249        0.004156
BFGS:   22 21:38:32     -266.324249        0.003875
BFGS:   23 21:38:32     -266.324280        0.005052
BFGS:   24 21:38:32     -266.324280        0.005282
BFGS:   25 21:38:32     -266.324280        0.004033
BFGS:   26 21:38:33     -266.324280        0.003162
BFGS:   27 21:38:33     -266.324280        0.003111
BFGS:   28 21:38:33     -266.324310        0.002996
BFGS:   29 21:38:33     -266.324280        0.003729
BFGS:   30 21:38:33     -266.324310        0.003185
BFGS:   31 21:38:33     -266.324310        0.002344
BFGS:   32 21:38:33     -266.324310        0.001866
BFGS:   33 21:38:34     -266.324310        0.001658
BFGS:   34 21:38:34     -266.324310        0.001765
BFGS:   35 21:38:34     -266.324310        0.001556
BFGS:   36 21:38:34     -266.324310        0.001074
BFGS:   37 21:38:34     -266.324310        0.001121
BFGS:   38 21:38:34     -266.324310        0.001137
BFGS:   39 21:38:35     -266.324310        0.001385
BFGS:   40 21:38:35     -266.324310        0.001127
BFGS:   41 21:38:35     -266.324310        0.001065
BFGS:   42 21:38:35     -266.324310        0.000985
