      Step     Time          Energy          fmax
BFGS:    0 18:01:35     -266.236755        0.078459
BFGS:    1 18:01:35     -266.238892        0.063165
BFGS:    2 18:01:35     -266.242279        0.027532
BFGS:    3 18:01:35     -266.242432        0.027127
BFGS:    4 18:01:35     -266.242950        0.023943
BFGS:    5 18:01:36     -266.243073        0.022376
BFGS:    6 18:01:36     -266.243408        0.019821
BFGS:    7 18:01:36     -266.243500        0.016234
BFGS:    8 18:01:36     -266.243591        0.014968
BFGS:    9 18:01:36     -266.243683        0.018728
BFGS:   10 18:01:36     -266.243805        0.015715
BFGS:   11 18:01:37     -266.243896        0.008677
BFGS:   12 18:01:37     -266.243927        0.008824
BFGS:   13 18:01:37     -266.243958        0.008622
BFGS:   14 18:01:37     -266.243988        0.011608
BFGS:   15 18:01:37     -266.244019        0.011185
BFGS:   16 18:01:37     -266.244049        0.006958
BFGS:   17 18:01:38     -266.244080        0.005910
BFGS:   18 18:01:38     -266.244080        0.006327
BFGS:   19 18:01:38     -266.244080        0.005682
BFGS:   20 18:01:38     -266.244110        0.004987
BFGS:   21 18:01:38     -266.244110        0.004631
BFGS:   22 18:01:38     -266.244110        0.004084
BFGS:   23 18:01:38     -266.244141        0.003480
BFGS:   24 18:01:39     -266.244141        0.004025
BFGS:   25 18:01:39     -266.244141        0.004449
BFGS:   26 18:01:39     -266.244141        0.003826
BFGS:   27 18:01:39     -266.244141        0.002552
BFGS:   28 18:01:39     -266.244171        0.002482
BFGS:   29 18:01:39     -266.244171        0.002427
BFGS:   30 18:01:40     -266.244171        0.002200
BFGS:   31 18:01:40     -266.244171        0.001949
BFGS:   32 18:01:40     -266.244171        0.001685
BFGS:   33 18:01:40     -266.244171        0.002098
BFGS:   34 18:01:40     -266.244171        0.001742
BFGS:   35 18:01:40     -266.244171        0.001461
BFGS:   36 18:01:41     -266.244171        0.001197
BFGS:   37 18:01:41     -266.244171        0.001295
BFGS:   38 18:01:41     -266.244171        0.001402
BFGS:   39 18:01:41     -266.244171        0.001276
BFGS:   40 18:01:41     -266.244171        0.001020
BFGS:   41 18:01:41     -266.244171        0.000979
