      Step     Time          Energy          fmax
BFGS:    0 19:55:13     -265.103699        0.116600
BFGS:    1 19:55:13     -265.106750        0.101290
BFGS:    2 19:55:13     -265.113312        0.066680
BFGS:    3 19:55:14     -265.113983        0.056048
BFGS:    4 19:55:14     -265.115448        0.040743
BFGS:    5 19:55:14     -265.115906        0.044952
BFGS:    6 19:55:14     -265.116730        0.038984
BFGS:    7 19:55:14     -265.117126        0.031696
BFGS:    8 19:55:14     -265.117523        0.030924
BFGS:    9 19:55:15     -265.117889        0.029647
BFGS:   10 19:55:15     -265.118317        0.033071
BFGS:   11 19:55:15     -265.118683        0.033463
BFGS:   12 19:55:15     -265.119019        0.026840
BFGS:   13 19:55:15     -265.119324        0.025644
BFGS:   14 19:55:15     -265.119568        0.024415
BFGS:   15 19:55:15     -265.119812        0.022139
BFGS:   16 19:55:16     -265.120056        0.021328
BFGS:   17 19:55:16     -265.120270        0.020417
BFGS:   18 19:55:16     -265.120422        0.018183
BFGS:   19 19:55:16     -265.120575        0.014129
BFGS:   20 19:55:16     -265.120667        0.015845
BFGS:   21 19:55:16     -265.120728        0.015183
BFGS:   22 19:55:17     -265.120819        0.012287
BFGS:   23 19:55:17     -265.120880        0.010355
BFGS:   24 19:55:17     -265.120911        0.011116
BFGS:   25 19:55:17     -265.120972        0.011028
BFGS:   26 19:55:17     -265.121002        0.007659
BFGS:   27 19:55:17     -265.121033        0.008141
BFGS:   28 19:55:18     -265.121063        0.007892
BFGS:   29 19:55:18     -265.121063        0.006799
BFGS:   30 19:55:18     -265.121094        0.005709
BFGS:   31 19:55:18     -265.121094        0.005007
BFGS:   32 19:55:18     -265.121124        0.004915
BFGS:   33 19:55:18     -265.121124        0.005970
BFGS:   34 19:55:19     -265.121124        0.005436
BFGS:   35 19:55:19     -265.121155        0.005661
BFGS:   36 19:55:19     -265.121155        0.004934
BFGS:   37 19:55:19     -265.121155        0.004782
BFGS:   38 19:55:19     -265.121155        0.004776
BFGS:   39 19:55:19     -265.121185        0.005391
BFGS:   40 19:55:20     -265.121185        0.005096
BFGS:   41 19:55:20     -265.121216        0.004074
BFGS:   42 19:55:20     -265.121216        0.004245
BFGS:   43 19:55:20     -265.121216        0.004061
BFGS:   44 19:55:20     -265.121216        0.003260
BFGS:   45 19:55:20     -265.121216        0.003611
BFGS:   46 19:55:20     -265.121216        0.003148
BFGS:   47 19:55:21     -265.121246        0.003130
BFGS:   48 19:55:21     -265.121246        0.002960
BFGS:   49 19:55:21     -265.121246        0.002615
BFGS:   50 19:55:21     -265.121246        0.002525
BFGS:   51 19:55:21     -265.121246        0.002601
BFGS:   52 19:55:21     -265.121246        0.002349
BFGS:   53 19:55:22     -265.121246        0.002395
BFGS:   54 19:55:22     -265.121246        0.002199
BFGS:   55 19:55:22     -265.121246        0.002169
BFGS:   56 19:55:22     -265.121246        0.001904
BFGS:   57 19:55:22     -265.121246        0.001365
BFGS:   58 19:55:22     -265.121246        0.001460
BFGS:   59 19:55:23     -265.121246        0.001368
BFGS:   60 19:55:23     -265.121246        0.001336
BFGS:   61 19:55:23     -265.121277        0.001623
BFGS:   62 19:55:23     -265.121277        0.001394
BFGS:   63 19:55:23     -265.121277        0.001238
BFGS:   64 19:55:23     -265.121246        0.001200
BFGS:   65 19:55:24     -265.121277        0.001325
BFGS:   66 19:55:24     -265.121246        0.001143
BFGS:   67 19:55:24     -265.121246        0.000921
