      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -21.591061       18.148407
BFGS:    1 21:21:27        3.219033       61.521027
BFGS:    2 21:21:27       -8.706015        5.398828
BFGS:    3 21:21:28       -8.933986        4.015463
BFGS:    4 21:21:28       -9.345793        1.399194
BFGS:    5 21:21:28       -9.475637        0.556721
BFGS:    6 21:21:28       -9.554459        0.434868
BFGS:    7 21:21:28       -9.584818        0.295471
BFGS:    8 21:21:28       -9.590780        0.285925
BFGS:    9 21:21:28       -9.594450        0.299466
BFGS:   10 21:21:28       -9.608559        0.293515
BFGS:   11 21:21:28       -9.620854        0.138863
BFGS:   12 21:21:29       -9.622665        0.100042
BFGS:   13 21:21:29       -9.623171        0.084616
BFGS:   14 21:21:29       -9.623760        0.075272
BFGS:   15 21:21:29       -9.625216        0.062142
BFGS:   16 21:21:29       -9.626919        0.066647
BFGS:   17 21:21:29       -9.628027        0.051308
BFGS:   18 21:21:29       -9.628342        0.028341
BFGS:   19 21:21:29       -9.628391        0.024409
BFGS:   20 21:21:29       -9.628414        0.025514
BFGS:   21 21:21:30       -9.628477        0.023897
BFGS:   22 21:21:30       -9.628563        0.016198
BFGS:   23 21:21:30       -9.628647        0.016359
BFGS:   24 21:21:30       -9.628691        0.015448
BFGS:   25 21:21:30       -9.628714        0.013592
BFGS:   26 21:21:30       -9.628738        0.013155
BFGS:   27 21:21:30       -9.628773        0.010841
BFGS:   28 21:21:30       -9.628798        0.006684
BFGS:   29 21:21:30       -9.628805        0.004430
BFGS:   30 21:21:31       -9.628807        0.004048
BFGS:   31 21:21:31       -9.628809        0.004591
BFGS:   32 21:21:31       -9.628811        0.004845
BFGS:   33 21:21:31       -9.628817        0.004131
BFGS:   34 21:21:31       -9.628820        0.003314
BFGS:   35 21:21:31       -9.628820        0.001939
BFGS:   36 21:21:31       -9.628822        0.001575
BFGS:   37 21:21:31       -9.628822        0.001228
BFGS:   38 21:21:31       -9.628822        0.000693
