      Step     Time          Energy          fmax
BFGS:    0 00:12:21      -36.181793       30.530925
BFGS:    1 00:12:21       -4.686707       62.017912
BFGS:    2 00:12:22      -16.775248        4.474735
BFGS:    3 00:12:22      -17.118279        3.783675
BFGS:    4 00:12:22      -17.902283        2.061781
BFGS:    5 00:12:22      -18.311913        0.937449
BFGS:    6 00:12:22      -18.473436        0.567546
BFGS:    7 00:12:22      -18.505682        0.545542
BFGS:    8 00:12:22      -18.518682        0.506180
BFGS:    9 00:12:22      -18.539310        0.439811
BFGS:   10 00:12:22      -18.588579        0.508788
BFGS:   11 00:12:23      -18.669014        0.589214
BFGS:   12 00:12:23      -18.719612        0.519523
BFGS:   13 00:12:23      -18.829309        0.466304
BFGS:   14 00:12:23      -18.853590        0.574026
BFGS:   15 00:12:23      -18.859365        0.532493
BFGS:   16 00:12:23      -18.862780        0.449348
BFGS:   17 00:12:23      -18.874697        0.181881
BFGS:   18 00:12:23      -18.881250        0.134740
BFGS:   19 00:12:23      -18.882694        0.168045
BFGS:   20 00:12:24      -18.884768        0.197449
BFGS:   21 00:12:24      -18.888325        0.219328
BFGS:   22 00:12:24      -18.894011        0.236291
BFGS:   23 00:12:24      -18.902100        0.353379
BFGS:   24 00:12:24      -18.910862        0.349816
BFGS:   25 00:12:24      -18.917288        0.245629
BFGS:   26 00:12:24      -18.921286        0.126994
BFGS:   27 00:12:24      -18.923431        0.109455
BFGS:   28 00:12:24      -18.924744        0.121699
BFGS:   29 00:12:24      -18.926105        0.132379
BFGS:   30 00:12:25      -18.928015        0.124666
BFGS:   31 00:12:25      -18.931074        0.144037
BFGS:   32 00:12:25      -18.936083        0.269227
BFGS:   33 00:12:25      -18.944849        0.420946
BFGS:   34 00:12:25      -18.965441        0.618876
BFGS:   35 00:12:25      -19.007868        0.720409
BFGS:   36 00:12:25      -19.063507        0.702212
BFGS:   37 00:12:25      -19.096951        0.598866
BFGS:   38 00:12:25      -19.134573        0.398644
BFGS:   39 00:12:26      -19.142984        0.269600
BFGS:   40 00:12:26      -19.154064        0.222657
BFGS:   41 00:12:26      -19.164623        0.183116
BFGS:   42 00:12:26      -19.181927        0.246051
BFGS:   43 00:12:26      -19.191208        0.266770
BFGS:   44 00:12:26      -19.209986        0.225127
BFGS:   45 00:12:26      -19.216179        0.172767
BFGS:   46 00:12:26      -19.232336        0.158937
BFGS:   47 00:12:26      -19.202850        0.476554
BFGS:   48 00:12:27      -19.241001        0.167175
BFGS:   49 00:12:27      -19.245239        0.174757
BFGS:   50 00:12:27      -19.178055        0.577134
BFGS:   51 00:12:27      -19.250086        0.178994
BFGS:   52 00:12:27      -19.253466        0.175133
BFGS:   53 00:12:27      -19.247759        0.248035
BFGS:   54 00:12:27      -19.260927        0.149411
BFGS:   55 00:12:27      -19.263323        0.131905
BFGS:   56 00:12:27      -19.267992        0.116820
BFGS:   57 00:12:27      -19.271067        0.101029
BFGS:   58 00:12:28      -19.278418        0.069646
BFGS:   59 00:12:28      -19.278778        0.052094
BFGS:   60 00:12:28      -19.279142        0.031235
BFGS:   61 00:12:28      -19.279284        0.028622
BFGS:   62 00:12:28      -19.279379        0.027462
BFGS:   63 00:12:28      -19.279491        0.026363
BFGS:   64 00:12:28      -19.279615        0.021151
BFGS:   65 00:12:28      -19.279728        0.012916
BFGS:   66 00:12:28      -19.279787        0.009253
BFGS:   67 00:12:29      -19.279804        0.007589
BFGS:   68 00:12:29      -19.279810        0.006818
BFGS:   69 00:12:29      -19.279812        0.006291
BFGS:   70 00:12:29      -19.279816        0.004948
BFGS:   71 00:12:29      -19.279818        0.002864
BFGS:   72 00:12:29      -19.279819        0.002193
BFGS:   73 00:12:29      -19.279821        0.001669
BFGS:   74 00:12:29      -19.279821        0.001551
BFGS:   75 00:12:29      -19.279821        0.001474
BFGS:   76 00:12:30      -19.279821        0.001358
BFGS:   77 00:12:30      -19.279821        0.001071
BFGS:   78 00:12:30      -19.279823        0.000546
