      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -57.082813       66.771080
BFGS:    1 21:21:27      -15.508720       57.099249
BFGS:    2 21:21:27      -30.287701       22.104683
BFGS:    3 21:21:28      -34.486042        8.252578
BFGS:    4 21:21:28      -35.903584        4.188001
BFGS:    5 21:21:28      -36.704441        1.622384
BFGS:    6 21:21:28      -36.997040        1.081960
BFGS:    7 21:21:28      -37.157276        0.921699
BFGS:    8 21:21:28      -37.268242        0.897920
BFGS:    9 21:21:28      -37.383457        0.962197
BFGS:   10 21:21:28      -37.514675        0.930017
BFGS:   11 21:21:28      -37.637360        0.850988
BFGS:   12 21:21:29      -37.740757        0.822783
BFGS:   13 21:21:29      -37.824879        0.826899
BFGS:   14 21:21:29      -37.872116        0.713146
BFGS:   15 21:21:29      -37.920692        0.742819
BFGS:   16 21:21:29      -37.966625        0.666905
BFGS:   17 21:21:29      -37.990032        0.553011
BFGS:   18 21:21:29      -38.005363        0.486400
BFGS:   19 21:21:29      -38.040070        0.480808
BFGS:   20 21:21:29      -38.082310        0.536770
BFGS:   21 21:21:30      -38.122269        0.509358
BFGS:   22 21:21:30      -38.146915        0.437891
BFGS:   23 21:21:30      -38.170666        0.439454
BFGS:   24 21:21:30      -38.197338        0.388920
BFGS:   25 21:21:30      -38.230515        0.325019
BFGS:   26 21:21:30      -38.256058        0.289334
BFGS:   27 21:21:30      -38.268391        0.256658
BFGS:   28 21:21:30      -38.276398        0.247594
BFGS:   29 21:21:30      -38.286133        0.294553
BFGS:   30 21:21:31      -38.298344        0.275018
BFGS:   31 21:21:31      -38.309940        0.192855
BFGS:   32 21:21:31      -38.318043        0.227719
BFGS:   33 21:21:31      -38.324512        0.226124
BFGS:   34 21:21:31      -38.332493        0.216951
BFGS:   35 21:21:31      -38.343998        0.298066
BFGS:   36 21:21:31      -38.356712        0.300709
BFGS:   37 21:21:31      -38.368954        0.230427
BFGS:   38 21:21:31      -38.376366        0.215916
BFGS:   39 21:21:32      -38.381386        0.188486
BFGS:   40 21:21:32      -38.391998        0.158781
BFGS:   41 21:21:32      -38.401669        0.154471
BFGS:   42 21:21:32      -38.406582        0.156055
BFGS:   43 21:21:32      -38.408936        0.140536
BFGS:   44 21:21:32      -38.412075        0.126774
BFGS:   45 21:21:32      -38.418491        0.165955
BFGS:   46 21:21:32      -38.428482        0.174689
BFGS:   47 21:21:32      -38.438728        0.226245
BFGS:   48 21:21:33      -38.445328        0.215501
BFGS:   49 21:21:33      -38.449875        0.178805
BFGS:   50 21:21:33      -38.455780        0.211105
BFGS:   51 21:21:33      -38.465336        0.237042
BFGS:   52 21:21:33      -38.477463        0.229069
BFGS:   53 21:21:33      -38.487144        0.192532
BFGS:   54 21:21:33      -38.491280        0.140914
BFGS:   55 21:21:33      -38.493603        0.142956
BFGS:   56 21:21:33      -38.497631        0.140758
BFGS:   57 21:21:34      -38.507866        0.188641
BFGS:   58 21:21:34      -38.517723        0.242216
BFGS:   59 21:21:34      -38.524685        0.219978
BFGS:   60 21:21:34      -38.528618        0.166700
BFGS:   61 21:21:34      -38.531864        0.158465
BFGS:   62 21:21:34      -38.536732        0.134510
BFGS:   63 21:21:34      -38.543358        0.120051
BFGS:   64 21:21:34      -38.549019        0.092603
BFGS:   65 21:21:34      -38.550568        0.079637
BFGS:   66 21:21:35      -38.551136        0.078328
BFGS:   67 21:21:35      -38.552498        0.078389
BFGS:   68 21:21:35      -38.554302        0.078729
BFGS:   69 21:21:35      -38.555904        0.067158
BFGS:   70 21:21:35      -38.556580        0.053477
BFGS:   71 21:21:35      -38.556881        0.055203
BFGS:   72 21:21:35      -38.557255        0.053407
BFGS:   73 21:21:35      -38.557907        0.047598
BFGS:   74 21:21:35      -38.558659        0.045771
BFGS:   75 21:21:36      -38.559093        0.027491
BFGS:   76 21:21:36      -38.559212        0.023967
BFGS:   77 21:21:36      -38.559258        0.022906
BFGS:   78 21:21:36      -38.559319        0.023916
BFGS:   79 21:21:36      -38.559418        0.023306
BFGS:   80 21:21:36      -38.559509        0.018894
BFGS:   81 21:21:36      -38.559551        0.014108
BFGS:   82 21:21:36      -38.559563        0.012173
BFGS:   83 21:21:36      -38.559566        0.011714
BFGS:   84 21:21:37      -38.559582        0.010969
BFGS:   85 21:21:37      -38.559601        0.010045
BFGS:   86 21:21:37      -38.559616        0.009152
BFGS:   87 21:21:37      -38.559624        0.009115
BFGS:   88 21:21:37      -38.559624        0.009117
BFGS:   89 21:21:37      -38.559628        0.008657
BFGS:   90 21:21:37      -38.559631        0.007067
BFGS:   91 21:21:37      -38.559635        0.004339
BFGS:   92 21:21:37      -38.559639        0.002272
BFGS:   93 21:21:38      -38.559639        0.002036
BFGS:   94 21:21:38      -38.559639        0.002080
BFGS:   95 21:21:38      -38.559639        0.002056
BFGS:   96 21:21:38      -38.559639        0.001844
BFGS:   97 21:21:38      -38.559643        0.001527
BFGS:   98 21:21:38      -38.559643        0.001244
BFGS:   99 21:21:38      -38.559643        0.001163
BFGS:  100 21:21:38      -38.559643        0.001079
BFGS:  101 21:21:38      -38.559643        0.000962
