      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -38.396942        0.013828
BFGS:    1 21:21:27      -38.396954        0.012604
BFGS:    2 21:21:27      -38.397022        0.009860
BFGS:    3 21:21:28      -38.397034        0.010064
BFGS:    4 21:21:28      -38.397167        0.015437
BFGS:    5 21:21:28      -38.397243        0.015635
BFGS:    6 21:21:28      -38.397297        0.011105
BFGS:    7 21:21:28      -38.397316        0.011441
BFGS:    8 21:21:28      -38.397346        0.012174
BFGS:    9 21:21:28      -38.397385        0.010781
BFGS:   10 21:21:28      -38.397423        0.007168
BFGS:   11 21:21:28      -38.397442        0.003698
BFGS:   12 21:21:29      -38.397446        0.004048
BFGS:   13 21:21:29      -38.397446        0.004194
BFGS:   14 21:21:29      -38.397446        0.004163
BFGS:   15 21:21:29      -38.397449        0.003794
BFGS:   16 21:21:29      -38.397453        0.003064
BFGS:   17 21:21:29      -38.397457        0.002405
BFGS:   18 21:21:29      -38.397457        0.002626
BFGS:   19 21:21:29      -38.397457        0.002949
BFGS:   20 21:21:30      -38.397465        0.003273
BFGS:   21 21:21:30      -38.397465        0.003449
BFGS:   22 21:21:30      -38.397472        0.003265
BFGS:   23 21:21:30      -38.397472        0.003018
BFGS:   24 21:21:30      -38.397472        0.002908
BFGS:   25 21:21:30      -38.397476        0.002740
BFGS:   26 21:21:30      -38.397476        0.003090
BFGS:   27 21:21:30      -38.397484        0.004591
BFGS:   28 21:21:30      -38.397488        0.005178
BFGS:   29 21:21:31      -38.397491        0.004106
BFGS:   30 21:21:31      -38.397495        0.003652
BFGS:   31 21:21:31      -38.397499        0.003682
BFGS:   32 21:21:31      -38.397499        0.003436
BFGS:   33 21:21:31      -38.397503        0.003687
BFGS:   34 21:21:31      -38.397507        0.004220
BFGS:   35 21:21:31      -38.397507        0.003330
BFGS:   36 21:21:31      -38.397507        0.003177
BFGS:   37 21:21:31      -38.397511        0.002343
BFGS:   38 21:21:32      -38.397511        0.002362
BFGS:   39 21:21:32      -38.397514        0.002321
BFGS:   40 21:21:32      -38.397511        0.002261
BFGS:   41 21:21:32      -38.397514        0.002188
BFGS:   42 21:21:32      -38.397514        0.002012
BFGS:   43 21:21:32      -38.397518        0.002939
BFGS:   44 21:21:32      -38.397522        0.004510
BFGS:   45 21:21:32      -38.397526        0.004858
BFGS:   46 21:21:33      -38.397530        0.003416
BFGS:   47 21:21:33      -38.397533        0.001960
BFGS:   48 21:21:33      -38.397533        0.001513
BFGS:   49 21:21:33      -38.397533        0.001263
BFGS:   50 21:21:33      -38.397533        0.001010
BFGS:   51 21:21:33      -38.397533        0.001107
BFGS:   52 21:21:33      -38.397533        0.001051
BFGS:   53 21:21:33      -38.397533        0.001200
BFGS:   54 21:21:33      -38.397533        0.001318
BFGS:   55 21:21:34      -38.397533        0.001227
BFGS:   56 21:21:34      -38.397533        0.001170
BFGS:   57 21:21:34      -38.397533        0.000851
