      Step     Time          Energy          fmax
BFGS:    0 21:21:27      -38.550522        0.014983
BFGS:    1 21:21:27      -38.550533        0.014584
BFGS:    2 21:21:27      -38.550644        0.010783
BFGS:    3 21:21:27      -38.550659        0.010142
BFGS:    4 21:21:27      -38.550751        0.003790
BFGS:    5 21:21:27      -38.550755        0.001787
BFGS:    6 21:21:28      -38.550755        0.001896
BFGS:    7 21:21:28      -38.550755        0.001866
BFGS:    8 21:21:28      -38.550758        0.001789
BFGS:    9 21:21:28      -38.550758        0.001526
BFGS:   10 21:21:28      -38.550758        0.001454
BFGS:   11 21:21:28      -38.550758        0.001303
BFGS:   12 21:21:28      -38.550762        0.001253
BFGS:   13 21:21:28      -38.550762        0.001471
BFGS:   14 21:21:28      -38.550762        0.001632
BFGS:   15 21:21:29      -38.550762        0.001609
BFGS:   16 21:21:29      -38.550762        0.001231
BFGS:   17 21:21:29      -38.550766        0.000936
