      Step     Time          Energy          fmax
BFGS:    0 09:14:21     -122.083600        0.109086
BFGS:    1 09:14:21     -122.084899        0.105018
BFGS:    2 09:14:21     -122.086675        0.089086
BFGS:    3 09:14:21     -122.087418        0.075884
BFGS:    4 09:14:21     -122.088641        0.048810
BFGS:    5 09:14:21     -122.088988        0.038345
BFGS:    6 09:14:22     -122.089175        0.022208
BFGS:    7 09:14:22     -122.089293        0.025544
BFGS:    8 09:14:22     -122.089371        0.014054
BFGS:    9 09:14:22     -122.089402        0.012785
BFGS:   10 09:14:22     -122.089422        0.012034
BFGS:   11 09:14:22     -122.089445        0.011245
BFGS:   12 09:14:22     -122.089471        0.010014
BFGS:   13 09:14:22     -122.089492        0.010787
BFGS:   14 09:14:22     -122.089509        0.008435
BFGS:   15 09:14:22     -122.089524        0.008364
BFGS:   16 09:14:22     -122.089537        0.006984
BFGS:   17 09:14:22     -122.089548        0.006820
BFGS:   18 09:14:22     -122.089559        0.006421
BFGS:   19 09:14:22     -122.089570        0.008192
BFGS:   20 09:14:22     -122.089579        0.007160
BFGS:   21 09:14:22     -122.089585        0.003743
BFGS:   22 09:14:22     -122.089588        0.003174
BFGS:   23 09:14:22     -122.089590        0.004416
BFGS:   24 09:14:22     -122.089593        0.004535
BFGS:   25 09:14:22     -122.089595        0.002509
BFGS:   26 09:14:22     -122.089596        0.001504
BFGS:   27 09:14:22     -122.089596        0.001195
BFGS:   28 09:14:22     -122.089596        0.001258
BFGS:   29 09:14:22     -122.089596        0.001167
BFGS:   30 09:14:22     -122.089596        0.001034
BFGS:   31 09:14:22     -122.089597        0.000865
