      Step     Time          Energy          fmax
BFGS:    0 08:46:33      -60.922093        0.129727
BFGS:    1 08:46:33      -60.922782        0.086088
BFGS:    2 08:46:34      -60.923679        0.067829
BFGS:    3 08:46:34      -60.924060        0.076207
BFGS:    4 08:46:34      -60.924748        0.079316
BFGS:    5 08:46:35      -60.925030        0.068911
BFGS:    6 08:46:35      -60.925254        0.052289
BFGS:    7 08:46:35      -60.925470        0.050296
BFGS:    8 08:46:35      -60.925705        0.044650
BFGS:    9 08:46:35      -60.925871        0.038599
BFGS:   10 08:46:35      -60.925970        0.026033
BFGS:   11 08:46:35      -60.926023        0.018551
BFGS:   12 08:46:36      -60.926048        0.015224
BFGS:   13 08:46:36      -60.926062        0.011672
BFGS:   14 08:46:36      -60.926076        0.009855
BFGS:   15 08:46:36      -60.926093        0.012656
BFGS:   16 08:46:36      -60.926111        0.012546
BFGS:   17 08:46:36      -60.926124        0.009110
BFGS:   18 08:46:36      -60.926130        0.005586
BFGS:   19 08:46:36      -60.926134        0.006056
BFGS:   20 08:46:36      -60.926135        0.003913
BFGS:   21 08:46:36      -60.926136        0.001436
BFGS:   22 08:46:36      -60.926136        0.001066
BFGS:   23 08:46:36      -60.926136        0.001078
BFGS:   24 08:46:36      -60.926136        0.000918
