      Step     Time          Energy          fmax
BFGS:    0 09:20:02     -121.693495        0.155741
BFGS:    1 09:20:02     -121.694654        0.148277
BFGS:    2 09:20:02     -121.699257        0.087274
BFGS:    3 09:20:03     -121.699833        0.073074
BFGS:    4 09:20:03     -121.701067        0.031076
BFGS:    5 09:20:03     -121.701258        0.024717
BFGS:    6 09:20:03     -121.701446        0.023947
BFGS:    7 09:20:03     -121.701584        0.023065
BFGS:    8 09:20:03     -121.701682        0.025648
BFGS:    9 09:20:03     -121.701736        0.026297
BFGS:   10 09:20:03     -121.701800        0.025477
BFGS:   11 09:20:03     -121.701899        0.022397
BFGS:   12 09:20:03     -121.702027        0.020547
BFGS:   13 09:20:03     -121.702131        0.016800
BFGS:   14 09:20:03     -121.702188        0.010670
BFGS:   15 09:20:03     -121.702217        0.009296
BFGS:   16 09:20:03     -121.702235        0.007849
BFGS:   17 09:20:03     -121.702245        0.007004
BFGS:   18 09:20:03     -121.702251        0.006618
BFGS:   19 09:20:03     -121.702260        0.006136
BFGS:   20 09:20:03     -121.702274        0.006090
BFGS:   21 09:20:03     -121.702291        0.007313
BFGS:   22 09:20:03     -121.702301        0.005198
BFGS:   23 09:20:04     -121.702304        0.002628
BFGS:   24 09:20:04     -121.702305        0.001754
BFGS:   25 09:20:04     -121.702306        0.001732
BFGS:   26 09:20:04     -121.702307        0.001335
BFGS:   27 09:20:04     -121.702307        0.001131
BFGS:   28 09:20:04     -121.702307        0.001115
BFGS:   29 09:20:04     -121.702308        0.001271
BFGS:   30 09:20:04     -121.702308        0.001237
BFGS:   31 09:20:04     -121.702309        0.000891
