      Step     Time          Energy          fmax
BFGS:    0 23:16:11     -532.324918        0.400952
BFGS:    1 23:16:11     -532.360101        0.393164
BFGS:    2 23:16:12     -532.462039        0.344760
BFGS:    3 23:16:12     -532.468531        0.340675
BFGS:    4 23:16:12     -532.625858        0.241964
BFGS:    5 23:16:12     -532.746606        0.152721
BFGS:    6 23:16:12     -532.836463        0.110281
BFGS:    7 23:16:12     -532.883475        0.043661
BFGS:    8 23:16:12     -532.886852        0.013496
BFGS:    9 23:16:12     -532.887328        0.002335
BFGS:   10 23:16:12     -532.887347        0.000223
