      Step     Time          Energy          fmax
BFGS:    0 04:44:14    -1066.181434        0.327543
BFGS:    1 04:44:14    -1066.202122        0.258372
BFGS:    2 04:44:15    -1066.239650        0.096586
BFGS:    3 04:44:15    -1066.243591        0.087655
BFGS:    4 04:44:15    -1066.253443        0.048872
BFGS:    5 04:44:15    -1066.255812        0.051784
BFGS:    6 04:44:16    -1066.259019        0.052460
BFGS:    7 04:44:16    -1066.260799        0.043300
BFGS:    8 04:44:16    -1066.262113        0.028201
BFGS:    9 04:44:16    -1066.263033        0.036064
BFGS:   10 04:44:17    -1066.264028        0.035847
BFGS:   11 04:44:17    -1066.264826        0.027762
BFGS:   12 04:44:17    -1066.265341        0.021779
BFGS:   13 04:44:17    -1066.265672        0.018539
BFGS:   14 04:44:17    -1066.265980        0.019523
BFGS:   15 04:44:17    -1066.266277        0.019838
BFGS:   16 04:44:17    -1066.266519        0.013453
BFGS:   17 04:44:17    -1066.266704        0.011817
BFGS:   18 04:44:17    -1066.266860        0.012418
BFGS:   19 04:44:17    -1066.267000        0.013047
BFGS:   20 04:44:17    -1066.267127        0.011497
BFGS:   21 04:44:17    -1066.267244        0.011910
BFGS:   22 04:44:17    -1066.267353        0.012371
BFGS:   23 04:44:17    -1066.267445        0.009450
BFGS:   24 04:44:17    -1066.267514        0.008376
BFGS:   25 04:44:17    -1066.267572        0.008192
BFGS:   26 04:44:18    -1066.267628        0.009293
BFGS:   27 04:44:18    -1066.267677        0.008805
BFGS:   28 04:44:18    -1066.267713        0.007440
BFGS:   29 04:44:18    -1066.267741        0.007237
BFGS:   30 04:44:18    -1066.267766        0.007050
BFGS:   31 04:44:18    -1066.267791        0.006862
BFGS:   32 04:44:18    -1066.267815        0.006689
BFGS:   33 04:44:18    -1066.267836        0.006537
BFGS:   34 04:44:18    -1066.267856        0.006386
BFGS:   35 04:44:18    -1066.267876        0.006216
BFGS:   36 04:44:18    -1066.267896        0.006937
BFGS:   37 04:44:18    -1066.267916        0.005832
BFGS:   38 04:44:18    -1066.267936        0.005625
BFGS:   39 04:44:18    -1066.267958        0.005409
BFGS:   40 04:44:18    -1066.267980        0.006048
BFGS:   41 04:44:18    -1066.268001        0.007128
BFGS:   42 04:44:18    -1066.268021        0.005492
BFGS:   43 04:44:19    -1066.268041        0.004769
BFGS:   44 04:44:19    -1066.268061        0.004539
BFGS:   45 04:44:19    -1066.268079        0.005079
BFGS:   46 04:44:19    -1066.268095        0.005445
BFGS:   47 04:44:19    -1066.268112        0.005058
BFGS:   48 04:44:19    -1066.268129        0.004569
BFGS:   49 04:44:19    -1066.268146        0.004239
BFGS:   50 04:44:19    -1066.268161        0.004919
BFGS:   51 04:44:19    -1066.268175        0.003746
BFGS:   52 04:44:19    -1066.268188        0.003300
BFGS:   53 04:44:19    -1066.268200        0.003557
BFGS:   54 04:44:19    -1066.268210        0.003035
BFGS:   55 04:44:19    -1066.268219        0.003148
BFGS:   56 04:44:19    -1066.268227        0.002502
BFGS:   57 04:44:19    -1066.268233        0.002536
BFGS:   58 04:44:19    -1066.268239        0.002131
BFGS:   59 04:44:20    -1066.268244        0.001907
BFGS:   60 04:44:20    -1066.268250        0.002616
BFGS:   61 04:44:20    -1066.268256        0.002478
BFGS:   62 04:44:20    -1066.268261        0.002229
BFGS:   63 04:44:20    -1066.268266        0.002214
BFGS:   64 04:44:20    -1066.268271        0.002174
BFGS:   65 04:44:20    -1066.268275        0.002203
BFGS:   66 04:44:20    -1066.268278        0.002222
BFGS:   67 04:44:20    -1066.268282        0.002236
BFGS:   68 04:44:20    -1066.268285        0.002249
BFGS:   69 04:44:20    -1066.268289        0.002259
BFGS:   70 04:44:20    -1066.268292        0.002266
BFGS:   71 04:44:20    -1066.268294        0.002267
BFGS:   72 04:44:20    -1066.268297        0.002261
BFGS:   73 04:44:20    -1066.268299        0.002248
BFGS:   74 04:44:20    -1066.268301        0.002231
BFGS:   75 04:44:20    -1066.268303        0.002214
BFGS:   76 04:44:21    -1066.268305        0.002200
BFGS:   77 04:44:21    -1066.268307        0.002190
BFGS:   78 04:44:21    -1066.268309        0.002184
BFGS:   79 04:44:21    -1066.268310        0.002180
BFGS:   80 04:44:21    -1066.268312        0.002173
BFGS:   81 04:44:21    -1066.268313        0.002158
BFGS:   82 04:44:21    -1066.268315        0.002133
BFGS:   83 04:44:21    -1066.268317        0.002095
BFGS:   84 04:44:21    -1066.268318        0.002044
BFGS:   85 04:44:21    -1066.268320        0.001985
BFGS:   86 04:44:21    -1066.268322        0.001924
BFGS:   87 04:44:21    -1066.268324        0.001866
BFGS:   88 04:44:21    -1066.268325        0.001809
BFGS:   89 04:44:21    -1066.268327        0.001750
BFGS:   90 04:44:21    -1066.268328        0.001686
BFGS:   91 04:44:21    -1066.268330        0.001613
BFGS:   92 04:44:22    -1066.268332        0.001529
BFGS:   93 04:44:22    -1066.268334        0.001440
BFGS:   94 04:44:22    -1066.268336        0.001405
BFGS:   95 04:44:22    -1066.268337        0.001438
BFGS:   96 04:44:22    -1066.268339        0.001402
BFGS:   97 04:44:22    -1066.268341        0.001370
BFGS:   98 04:44:22    -1066.268343        0.001388
BFGS:   99 04:44:22    -1066.268344        0.001335
BFGS:  100 04:44:22    -1066.268346        0.001215
BFGS:  101 04:44:22    -1066.268347        0.001015
BFGS:  102 04:44:22    -1066.268348        0.000999
