      Step     Time          Energy          fmax
BFGS:    0 05:43:05     -267.108584        0.130197
BFGS:    1 05:43:05     -267.112199        0.106921
BFGS:    2 05:43:06     -267.119741        0.076819
BFGS:    3 05:43:06     -267.120467        0.071923
BFGS:    4 05:43:06     -267.123195        0.028580
BFGS:    5 05:43:06     -267.123530        0.030133
BFGS:    6 05:43:06     -267.123863        0.025983
BFGS:    7 05:43:06     -267.124025        0.017809
BFGS:    8 05:43:06     -267.124145        0.014529
BFGS:    9 05:43:06     -267.124233        0.015418
BFGS:   10 05:43:06     -267.124339        0.017330
BFGS:   11 05:43:06     -267.124428        0.013351
BFGS:   12 05:43:06     -267.124485        0.009869
BFGS:   13 05:43:06     -267.124525        0.009395
BFGS:   14 05:43:06     -267.124571        0.012347
BFGS:   15 05:43:06     -267.124627        0.013416
BFGS:   16 05:43:06     -267.124676        0.012125
BFGS:   17 05:43:06     -267.124708        0.007223
BFGS:   18 05:43:06     -267.124731        0.007222
BFGS:   19 05:43:06     -267.124754        0.007835
BFGS:   20 05:43:06     -267.124779        0.008317
BFGS:   21 05:43:06     -267.124801        0.007687
BFGS:   22 05:43:06     -267.124818        0.007165
BFGS:   23 05:43:06     -267.124832        0.005074
BFGS:   24 05:43:06     -267.124844        0.005045
BFGS:   25 05:43:06     -267.124854        0.004724
BFGS:   26 05:43:06     -267.124862        0.004358
BFGS:   27 05:43:06     -267.124868        0.003423
BFGS:   28 05:43:06     -267.124872        0.002403
BFGS:   29 05:43:06     -267.124876        0.002097
BFGS:   30 05:43:06     -267.124879        0.002383
BFGS:   31 05:43:06     -267.124882        0.002664
BFGS:   32 05:43:06     -267.124884        0.002329
BFGS:   33 05:43:07     -267.124886        0.002117
BFGS:   34 05:43:07     -267.124887        0.001499
BFGS:   35 05:43:07     -267.124888        0.001516
BFGS:   36 05:43:07     -267.124890        0.001958
BFGS:   37 05:43:07     -267.124891        0.002507
BFGS:   38 05:43:07     -267.124893        0.002286
BFGS:   39 05:43:07     -267.124894        0.001399
BFGS:   40 05:43:07     -267.124894        0.001263
BFGS:   41 05:43:07     -267.124895        0.001272
BFGS:   42 05:43:07     -267.124895        0.001273
BFGS:   43 05:43:07     -267.124895        0.001260
BFGS:   44 05:43:07     -267.124896        0.001230
BFGS:   45 05:43:07     -267.124896        0.001188
BFGS:   46 05:43:07     -267.124896        0.001138
BFGS:   47 05:43:07     -267.124897        0.001080
BFGS:   48 05:43:07     -267.124897        0.001017
BFGS:   49 05:43:07     -267.124897        0.001050
BFGS:   50 05:43:07     -267.124898        0.001123
BFGS:   51 05:43:07     -267.124898        0.001013
BFGS:   52 05:43:07     -267.124898        0.000818
