      Step     Time          Energy          fmax
BFGS:    0 23:55:07     -267.065435        0.128964
BFGS:    1 23:55:07     -267.068952        0.105419
BFGS:    2 23:55:08     -267.076151        0.063128
BFGS:    3 23:55:08     -267.076659        0.058769
BFGS:    4 23:55:08     -267.078878        0.028142
BFGS:    5 23:55:08     -267.079067        0.027482
BFGS:    6 23:55:08     -267.079288        0.016642
BFGS:    7 23:55:08     -267.079379        0.012907
BFGS:    8 23:55:08     -267.079464        0.010427
BFGS:    9 23:55:08     -267.079534        0.013091
BFGS:   10 23:55:08     -267.079605        0.011076
BFGS:   11 23:55:08     -267.079645        0.007489
BFGS:   12 23:55:08     -267.079667        0.007125
BFGS:   13 23:55:08     -267.079685        0.007099
BFGS:   14 23:55:08     -267.079709        0.008837
BFGS:   15 23:55:08     -267.079734        0.009596
BFGS:   16 23:55:08     -267.079753        0.006896
BFGS:   17 23:55:08     -267.079765        0.004750
BFGS:   18 23:55:08     -267.079773        0.003594
BFGS:   19 23:55:08     -267.079779        0.003884
BFGS:   20 23:55:08     -267.079786        0.004657
BFGS:   21 23:55:08     -267.079793        0.004647
BFGS:   22 23:55:08     -267.079798        0.003204
BFGS:   23 23:55:08     -267.079802        0.002573
BFGS:   24 23:55:08     -267.079805        0.002720
BFGS:   25 23:55:08     -267.079807        0.002960
BFGS:   26 23:55:08     -267.079810        0.002186
BFGS:   27 23:55:08     -267.079813        0.001835
BFGS:   28 23:55:08     -267.079814        0.001323
BFGS:   29 23:55:08     -267.079815        0.001153
BFGS:   30 23:55:08     -267.079816        0.001215
BFGS:   31 23:55:08     -267.079817        0.001052
BFGS:   32 23:55:08     -267.079817        0.000787
