      Step     Time          Energy          fmax
BFGS:    0 16:40:33     -265.868519        0.253739
BFGS:    1 16:40:34     -265.878845        0.191909
BFGS:    2 16:40:34     -265.893129        0.099501
BFGS:    3 16:40:35     -265.895179        0.085432
BFGS:    4 16:40:35     -265.900196        0.073700
BFGS:    5 16:40:35     -265.901396        0.063750
BFGS:    6 16:40:35     -265.903778        0.067765
BFGS:    7 16:40:35     -265.905213        0.050928
BFGS:    8 16:40:35     -265.906264        0.046444
BFGS:    9 16:40:35     -265.906886        0.042668
BFGS:   10 16:40:35     -265.907527        0.041808
BFGS:   11 16:40:35     -265.908122        0.039011
BFGS:   12 16:40:35     -265.908665        0.044604
BFGS:   13 16:40:35     -265.909153        0.043156
BFGS:   14 16:40:35     -265.909608        0.043120
BFGS:   15 16:40:35     -265.909958        0.032087
BFGS:   16 16:40:36     -265.910181        0.021255
BFGS:   17 16:40:36     -265.910346        0.019608
BFGS:   18 16:40:36     -265.910517        0.024689
BFGS:   19 16:40:36     -265.910702        0.026793
BFGS:   20 16:40:36     -265.910883        0.019285
BFGS:   21 16:40:36     -265.911058        0.020863
BFGS:   22 16:40:36     -265.911244        0.023911
BFGS:   23 16:40:36     -265.911447        0.026604
BFGS:   24 16:40:36     -265.911647        0.023049
BFGS:   25 16:40:36     -265.911826        0.021977
BFGS:   26 16:40:36     -265.911977        0.018001
BFGS:   27 16:40:36     -265.912103        0.017969
BFGS:   28 16:40:36     -265.912204        0.013492
BFGS:   29 16:40:36     -265.912290        0.014887
BFGS:   30 16:40:36     -265.912374        0.016507
BFGS:   31 16:40:36     -265.912459        0.016507
BFGS:   32 16:40:36     -265.912538        0.016371
BFGS:   33 16:40:36     -265.912607        0.014333
BFGS:   34 16:40:36     -265.912673        0.016930
BFGS:   35 16:40:36     -265.912738        0.015166
BFGS:   36 16:40:36     -265.912799        0.013519
BFGS:   37 16:40:36     -265.912853        0.010456
BFGS:   38 16:40:36     -265.912904        0.012355
BFGS:   39 16:40:36     -265.912961        0.013434
BFGS:   40 16:40:36     -265.913022        0.011940
BFGS:   41 16:40:36     -265.913083        0.015858
BFGS:   42 16:40:36     -265.913141        0.015401
BFGS:   43 16:40:37     -265.913192        0.009285
BFGS:   44 16:40:37     -265.913234        0.007669
BFGS:   45 16:40:37     -265.913268        0.007424
BFGS:   46 16:40:37     -265.913294        0.009771
BFGS:   47 16:40:37     -265.913316        0.007968
BFGS:   48 16:40:37     -265.913332        0.004875
BFGS:   49 16:40:37     -265.913343        0.004710
BFGS:   50 16:40:37     -265.913352        0.005312
BFGS:   51 16:40:37     -265.913362        0.005166
BFGS:   52 16:40:37     -265.913370        0.004347
BFGS:   53 16:40:37     -265.913376        0.002861
BFGS:   54 16:40:37     -265.913380        0.003096
BFGS:   55 16:40:37     -265.913384        0.002802
BFGS:   56 16:40:37     -265.913387        0.003165
BFGS:   57 16:40:37     -265.913390        0.002625
BFGS:   58 16:40:37     -265.913391        0.001966
BFGS:   59 16:40:37     -265.913393        0.001950
BFGS:   60 16:40:37     -265.913394        0.001804
BFGS:   61 16:40:37     -265.913395        0.001742
BFGS:   62 16:40:37     -265.913396        0.001686
BFGS:   63 16:40:37     -265.913397        0.001779
BFGS:   64 16:40:37     -265.913398        0.002051
BFGS:   65 16:40:37     -265.913399        0.001422
BFGS:   66 16:40:37     -265.913400        0.001503
BFGS:   67 16:40:37     -265.913401        0.001469
BFGS:   68 16:40:37     -265.913402        0.001728
BFGS:   69 16:40:37     -265.913403        0.002109
BFGS:   70 16:40:37     -265.913404        0.001649
BFGS:   71 16:40:37     -265.913405        0.001393
BFGS:   72 16:40:37     -265.913405        0.001055
BFGS:   73 16:40:37     -265.913406        0.001052
BFGS:   74 16:40:37     -265.913406        0.001101
BFGS:   75 16:40:37     -265.913407        0.001067
BFGS:   76 16:40:37     -265.913407        0.000998
