      Step     Time          Energy          fmax
BFGS:    0 16:41:19      185.723765     2546.490953
BFGS:    1 16:41:19        2.937737       54.412845
BFGS:    2 16:41:20        0.048989       48.366352
BFGS:    3 16:41:20       -3.290421       37.195181
BFGS:    4 16:41:21       -5.687604       21.310620
BFGS:    5 16:41:21       -7.338994        8.681064
BFGS:    6 16:41:21       -7.837529        1.552554
BFGS:    7 16:41:21       -7.873710        1.601075
BFGS:    8 16:41:21       -8.299778        1.454008
BFGS:    9 16:41:21       -8.698911        0.938745
BFGS:   10 16:41:21       -8.815298        1.156739
BFGS:   11 16:41:21       -8.835054        0.265050
BFGS:   12 16:41:21       -8.843183        0.266255
BFGS:   13 16:41:21       -8.849992        0.363363
BFGS:   14 16:41:21       -8.863663        0.571340
BFGS:   15 16:41:21       -8.954126        1.199143
BFGS:   16 16:41:21       -9.223778        1.176139
BFGS:   17 16:41:21       -9.430835        0.728654
BFGS:   18 16:41:21       -9.459786        0.502939
BFGS:   19 16:41:21       -9.488439        0.587528
BFGS:   20 16:41:21       -9.508784        0.628326
BFGS:   21 16:41:21       -9.516074        0.584264
BFGS:   22 16:41:21       -9.517714        0.582459
BFGS:   23 16:41:21       -9.524164        0.600286
BFGS:   24 16:41:21       -9.530380        0.641626
BFGS:   25 16:41:22       -9.539440        0.702555
BFGS:   26 16:41:22       -9.546962        0.693126
BFGS:   27 16:41:22       -9.558209        0.558116
BFGS:   28 16:41:22       -9.567434        0.378890
BFGS:   29 16:41:22       -9.580692        0.260198
BFGS:   30 16:41:22       -9.591627        0.171548
BFGS:   31 16:41:22       -9.592725        0.224129
BFGS:   32 16:41:22       -9.593322        0.233854
BFGS:   33 16:41:22       -9.593490        0.215812
BFGS:   34 16:41:22       -9.593727        0.197451
BFGS:   35 16:41:22       -9.593950        0.184767
BFGS:   36 16:41:22       -9.594394        0.163628
BFGS:   37 16:41:22       -9.594666        0.156353
BFGS:   38 16:41:22       -9.594741        0.158643
BFGS:   39 16:41:22       -9.594754        0.160417
BFGS:   40 16:41:22       -9.594777        0.162941
BFGS:   41 16:41:22       -9.594831        0.167134
BFGS:   42 16:41:22       -9.594976        0.174711
BFGS:   43 16:41:22       -9.595361        0.188684
BFGS:   44 16:41:22       -9.596446        0.215633
BFGS:   45 16:41:22       -9.600561        0.266808
BFGS:   46 16:41:22       -9.606571        0.282866
BFGS:   47 16:41:22       -9.611905        0.291599
BFGS:   48 16:41:22       -9.617796        0.160652
BFGS:   49 16:41:22       -9.624980        0.119300
BFGS:   50 16:41:22       -9.628041        0.081748
BFGS:   51 16:41:22       -9.629772        0.154351
BFGS:   52 16:41:22       -9.630819        0.157953
BFGS:   53 16:41:22       -9.636511        0.196441
BFGS:   54 16:41:22       -9.644835        0.250505
BFGS:   55 16:41:22       -9.652545        0.196416
BFGS:   56 16:41:22       -9.660231        0.036414
BFGS:   57 16:41:22       -9.656107        0.137131
BFGS:   58 16:41:22       -9.660843        0.010422
BFGS:   59 16:41:22       -9.660903        0.004952
BFGS:   60 16:41:22       -9.660911        0.001056
BFGS:   61 16:41:22       -9.660912        0.000304
