      Step     Time          Energy          fmax
BFGS:    0 16:41:19       54.758492      407.505361
BFGS:    1 16:41:19       -5.569826       59.135158
BFGS:    2 16:41:20      -10.411486       38.523785
BFGS:    3 16:41:20      -14.559883       12.488276
BFGS:    4 16:41:21      -16.045551        5.686779
BFGS:    5 16:41:21      -17.947184        3.353794
BFGS:    6 16:41:21      -18.490259        0.938616
BFGS:    7 16:41:21      -18.525073        0.853298
BFGS:    8 16:41:21      -18.615196        0.963894
BFGS:    9 16:41:21      -18.690697        0.863856
BFGS:   10 16:41:21      -18.750187        0.791515
BFGS:   11 16:41:21      -18.777201        0.754012
BFGS:   12 16:41:21      -18.814032        0.524115
BFGS:   13 16:41:21      -18.835451        0.529705
BFGS:   14 16:41:21      -18.851019        0.371612
BFGS:   15 16:41:21      -18.854727        0.303585
BFGS:   16 16:41:21      -18.857913        0.283317
BFGS:   17 16:41:21      -18.867331        0.305657
BFGS:   18 16:41:21      -18.878027        0.270022
BFGS:   19 16:41:21      -18.885895        0.200895
BFGS:   20 16:41:21      -18.888222        0.159129
BFGS:   21 16:41:21      -18.889019        0.123527
BFGS:   22 16:41:21      -18.889328        0.104992
BFGS:   23 16:41:21      -18.889728        0.095089
BFGS:   24 16:41:21      -18.890785        0.093143
BFGS:   25 16:41:22      -18.893029        0.114881
BFGS:   26 16:41:22      -18.896918        0.194903
BFGS:   27 16:41:22      -18.900156        0.227951
BFGS:   28 16:41:22      -18.903571        0.169289
BFGS:   29 16:41:22      -18.905250        0.179705
BFGS:   30 16:41:22      -18.906302        0.191539
BFGS:   31 16:41:22      -18.907588        0.183414
BFGS:   32 16:41:22      -18.908425        0.164528
BFGS:   33 16:41:22      -18.909295        0.150985
BFGS:   34 16:41:22      -18.911059        0.156010
BFGS:   35 16:41:22      -18.915976        0.240581
BFGS:   36 16:41:22      -18.924917        0.571897
BFGS:   37 16:41:22      -18.942745        0.675597
BFGS:   38 16:41:22      -18.992328        0.682530
BFGS:   39 16:41:22      -19.039072        0.559038
BFGS:   40 16:41:22      -19.053532        0.578671
BFGS:   41 16:41:22      -19.091278        0.365567
BFGS:   42 16:41:22      -19.098441        0.350851
BFGS:   43 16:41:22      -19.103453        0.288639
BFGS:   44 16:41:22      -19.111079        0.238620
BFGS:   45 16:41:22      -19.123839        0.281988
BFGS:   46 16:41:22      -19.132328        0.257628
BFGS:   47 16:41:22      -19.144475        0.228631
BFGS:   48 16:41:22      -19.161574        0.251907
BFGS:   49 16:41:22      -19.180961        0.392056
BFGS:   50 16:41:22      -19.187542        0.376871
BFGS:   51 16:41:22      -19.190302        0.346265
BFGS:   52 16:41:22      -19.191476        0.339474
BFGS:   53 16:41:22      -19.193445        0.334639
BFGS:   54 16:41:22      -19.197217        0.328221
BFGS:   55 16:41:22      -19.203563        0.313062
BFGS:   56 16:41:22      -19.216539        0.283863
BFGS:   57 16:41:22      -19.229910        0.351425
BFGS:   58 16:41:22      -19.233532        0.210103
BFGS:   59 16:41:22      -19.243943        0.187287
BFGS:   60 16:41:22      -19.197987        0.669012
BFGS:   61 16:41:22      -19.252805        0.138220
BFGS:   62 16:41:22      -19.256839        0.124347
BFGS:   63 16:41:22      -19.270273        0.165362
BFGS:   64 16:41:22      -19.278062        0.185706
BFGS:   65 16:41:22      -19.295779        0.250167
BFGS:   66 16:41:22      -19.307975        0.203321
BFGS:   67 16:41:22      -19.313813        0.170100
BFGS:   68 16:41:23      -19.319029        0.093107
BFGS:   69 16:41:23      -19.321064        0.033131
BFGS:   70 16:41:23      -19.321518        0.015284
BFGS:   71 16:41:23      -19.321613        0.014680
BFGS:   72 16:41:23      -19.321622        0.014058
BFGS:   73 16:41:23      -19.321641        0.013429
BFGS:   74 16:41:23      -19.321679        0.011431
BFGS:   75 16:41:23      -19.321738        0.007761
BFGS:   76 16:41:23      -19.321793        0.007393
BFGS:   77 16:41:23      -19.321817        0.003599
BFGS:   78 16:41:23      -19.321822        0.001148
BFGS:   79 16:41:23      -19.321823        0.000746
