      Step     Time          Energy          fmax
BFGS:    0 17:11:47      -19.305360        0.102581
BFGS:    1 17:11:48      -19.305672        0.099425
BFGS:    2 17:11:48      -19.310369        0.032770
BFGS:    3 17:11:48      -19.310396        0.035053
BFGS:    4 17:11:48      -19.310447        0.036932
BFGS:    5 17:11:48      -19.310564        0.037222
BFGS:    6 17:11:48      -19.310775        0.031853
BFGS:    7 17:11:48      -19.311010        0.017851
BFGS:    8 17:11:48      -19.311128        0.006738
BFGS:    9 17:11:48      -19.311153        0.001346
BFGS:   10 17:11:48      -19.311154        0.000163
