      Step     Time          Energy          fmax
BFGS:    0 01:18:47      -56.496387        0.004538
BFGS:    1 01:18:47      -56.496388        0.004281
BFGS:    2 01:18:48      -56.496397        0.001409
BFGS:    3 01:18:48      -56.496398        0.001376
BFGS:    4 01:18:48      -56.496401        0.001109
BFGS:    5 01:18:48      -56.496401        0.001204
BFGS:    6 01:18:48      -56.496402        0.001201
BFGS:    7 01:18:48      -56.496402        0.001354
BFGS:    8 01:18:48      -56.496403        0.001300
BFGS:    9 01:18:48      -56.496404        0.000924
