      Step     Time          Energy          fmax
BFGS:    0 17:59:27     -528.968688        0.433552
BFGS:    1 17:59:27     -528.981033        0.428838
BFGS:    2 17:59:28     -529.076058        0.362684
BFGS:    3 17:59:28     -529.093460        0.349464
BFGS:    4 17:59:28     -529.235071        0.248411
BFGS:    5 17:59:28     -529.360154        0.207094
BFGS:    6 17:59:28     -529.470046        0.166337
BFGS:    7 17:59:28     -529.543760        0.071134
BFGS:    8 17:59:28     -529.553639        0.020033
BFGS:    9 17:59:28     -529.555029        0.004752
BFGS:   10 17:59:28     -529.555104        0.000493
