      Step     Time          Energy          fmax
BFGS:    0 16:44:57    -1061.322705        0.077333
BFGS:    1 16:44:57    -1061.324303        0.034726
BFGS:    2 16:44:58    -1061.325362        0.017440
BFGS:    3 16:44:58    -1061.325578        0.018258
BFGS:    4 16:44:58    -1061.325921        0.010768
BFGS:    5 16:44:58    -1061.326017        0.007768
BFGS:    6 16:44:58    -1061.326102        0.006660
BFGS:    7 16:44:58    -1061.326142        0.005361
BFGS:    8 16:44:58    -1061.326173        0.004268
BFGS:    9 16:44:58    -1061.326194        0.004078
BFGS:   10 16:44:58    -1061.326213        0.003546
BFGS:   11 16:44:58    -1061.326229        0.003927
BFGS:   12 16:44:58    -1061.326242        0.003429
BFGS:   13 16:44:58    -1061.326253        0.002788
BFGS:   14 16:44:58    -1061.326263        0.002461
BFGS:   15 16:44:58    -1061.326269        0.002362
BFGS:   16 16:44:58    -1061.326275        0.002337
BFGS:   17 16:44:59    -1061.326279        0.001517
BFGS:   18 16:44:59    -1061.326282        0.001275
BFGS:   19 16:44:59    -1061.326285        0.001264
BFGS:   20 16:44:59    -1061.326287        0.001427
BFGS:   21 16:44:59    -1061.326289        0.001518
BFGS:   22 16:44:59    -1061.326291        0.001180
BFGS:   23 16:44:59    -1061.326292        0.001000
