      Step     Time          Energy          fmax
BFGS:    0 20:41:17     -264.218577        0.013052
BFGS:    1 20:41:17     -264.218591        0.008150
BFGS:    2 20:41:17     -264.218604        0.004594
BFGS:    3 20:41:17     -264.218606        0.003798
BFGS:    4 20:41:18     -264.218610        0.001689
BFGS:    5 20:41:18     -264.218611        0.001375
BFGS:    6 20:41:18     -264.218612        0.001732
BFGS:    7 20:41:18     -264.218612        0.001647
BFGS:    8 20:41:18     -264.218613        0.001799
BFGS:    9 20:41:18     -264.218614        0.001284
BFGS:   10 20:41:18     -264.218614        0.000941
