Run_ID,Composition,Energy (eV/atom),Initial_SG,Relaxed_SG,Verdict,Confidence,RMSD_Status,RMSD_Mean(Å),Vol_Status,Vol_Max_Change(%),RDF_Status,RDF_Corr,Sym_Status,MD_Found_SGs
unique_1_sg_Cc,Bi2O7Sn2,-6.03173,Cc (9),Cc (9),UNSTABLE,LOW,FAIL,6.107,PASS,2.88,PASS,0.658,FAIL,P1 (1)
unique_2_sg_P2,Bi2O7Sn2,-6.030819,P2_1 (4),P2_1 (4),STABLE,HIGH,PASS,0.32,PASS,2.74,PASS,0.763,PASS,I-42d (122); Fd-3m (227)
unique_3_sg_Pna2,Bi2O7Sn2,-6.030352,Pna2_1 (33),Pna2_1 (33),STABLE,MODERATE,PASS,0.35,FAIL,6.16,PASS,0.713,PASS,Ima2 (46); Fd-3m (227)
unique_4_sg_P1,Bi2O7Sn2,-6.029892,P1 (1),P1 (1),STABLE,HIGH,PASS,0.358,PASS,0.65,PASS,0.865,PASS,P1 (1); Fd-3m (227)
Sn2Bi2O7_m6p017672,Bi2O7Sn2,-6.017672,Fd-3m (227),Fd-3m (227),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sn2Bi2O7_m6p017672,Bi2O7Sn2,-6.017672,Fd-3m (227),Fd-3m (227),STABLE,MODERATE,PASS,0.423,PASS,4.52,FAIL,0.463,PASS,P1 (1); Aea2 (41); Fd-3m (227)
top_1_iter1_sample35,Bi2O7Sn2,-6.0174,P1 (1),P1 (1),STABLE,HIGH,PASS,0.375,PASS,0.96,PASS,0.856,PASS,P1 (1); P2 (3)
unique_9_sg_P2,Bi2O7Sn2,-6.004968,P2_1 (4),P2_1 (4),UNSTABLE,HIGH,FAIL,6.865,FAIL,9.82,PASS,0.705,FAIL,P1 (1)
unique_11_sg_P2,Bi2O7Sn2,-5.997022,P2_12_12_1 (19),P2_12_12_1 (19),STABLE,HIGH,PASS,0.359,PASS,5.06,PASS,0.675,PASS,Imma (74)
top_1_iter5_sample1,CsI3Pb,-2.8403,Pnma (62),Pnma (62),UNSTABLE,LOW,PASS,0.387,FAIL,29.96,FAIL,0.368,PASS,Pnma (62)
top_2_iter3_sample94,CsI3Pb,-2.831,Cmcm (63),Cmcm (63),UNSTABLE,HIGH,FAIL,1.123,FAIL,22.22,FAIL,0.356,FAIL,
top_3_iter5_sample18,CsI3Pb,-2.8294,P2_1/m (11),P2_1/m (11),UNSTABLE,LOW,FAIL,5.136,FAIL,12.89,PASS,0.539,PASS,
top_4_iter5_sample56,CsI3Pb,-2.8265,Pm (6),Pm (6),STABLE,HIGH,PASS,0.834,PASS,3.83,PASS,0.692,PASS,Pm (6)
top_1,CsI3Pb,-2.826,P-1 (2),P-1 (2),UNSTABLE,LOW,FAIL,6.246,PASS,4.77,PASS,0.597,FAIL,P1 (1)
