      Step     Time          Energy          fmax
BFGS:    0 23:56:14      -28.293927        0.028147
BFGS:    1 23:56:14      -28.293959        0.027667
BFGS:    2 23:56:14      -28.294627        0.007466
BFGS:    3 23:56:14      -28.294629        0.007373
BFGS:    4 23:56:15      -28.294659        0.007065
BFGS:    5 23:56:15      -28.294713        0.007184
BFGS:    6 23:56:15      -28.294812        0.009903
BFGS:    7 23:56:15      -28.294910        0.017600
BFGS:    8 23:56:15      -28.294981        0.020867
BFGS:    9 23:56:15      -28.295006        0.019805
BFGS:   10 23:56:15      -28.295038        0.016847
BFGS:   11 23:56:16      -28.295098        0.010647
BFGS:   12 23:56:16      -28.295171        0.010644
BFGS:   13 23:56:16      -28.295238        0.008258
BFGS:   14 23:56:16      -28.295267        0.009173
BFGS:   15 23:56:16      -28.295274        0.009394
BFGS:   16 23:56:16      -28.295288        0.009492
BFGS:   17 23:56:17      -28.295329        0.009639
BFGS:   18 23:56:17      -28.295407        0.009876
BFGS:   19 23:56:17      -28.295541        0.010238
BFGS:   20 23:56:17      -28.295685        0.011081
BFGS:   21 23:56:17      -28.295763        0.010092
BFGS:   22 23:56:17      -28.295787        0.009545
BFGS:   23 23:56:17      -28.295797        0.009226
BFGS:   24 23:56:18      -28.295829        0.008318
BFGS:   25 23:56:18      -28.295891        0.008176
BFGS:   26 23:56:18      -28.295978        0.011216
BFGS:   27 23:56:18      -28.296054        0.014344
BFGS:   28 23:56:18      -28.296080        0.013705
BFGS:   29 23:56:18      -28.296092        0.011976
BFGS:   30 23:56:18      -28.296104        0.009875
BFGS:   31 23:56:19      -28.296127        0.005894
BFGS:   32 23:56:19      -28.296148        0.004732
BFGS:   33 23:56:19      -28.296156        0.003143
BFGS:   34 23:56:19      -28.296160        0.003261
BFGS:   35 23:56:19      -28.296161        0.003384
BFGS:   36 23:56:19      -28.296163        0.003548
BFGS:   37 23:56:19      -28.296171        0.003594
BFGS:   38 23:56:20      -28.296183        0.003591
BFGS:   39 23:56:20      -28.296192        0.003341
BFGS:   40 23:56:20      -28.296197        0.002630
BFGS:   41 23:56:20      -28.296200        0.002241
BFGS:   42 23:56:20      -28.296199        0.002119
BFGS:   43 23:56:20      -28.296201        0.002117
BFGS:   44 23:56:20      -28.296202        0.002041
BFGS:   45 23:56:21      -28.296206        0.002732
BFGS:   46 23:56:21      -28.296212        0.002402
BFGS:   47 23:56:21      -28.296216        0.001517
BFGS:   48 23:56:21      -28.296217        0.001459
BFGS:   49 23:56:21      -28.296218        0.001353
BFGS:   50 23:56:21      -28.296218        0.001139
BFGS:   51 23:56:21      -28.296217        0.001052
BFGS:   52 23:56:22      -28.296217        0.000998
