      Step     Time          Energy          fmax
BFGS:    0 21:21:23      -28.341428        0.036007
BFGS:    1 21:21:23      -28.341471        0.035355
BFGS:    2 21:21:23      -28.342447        0.020258
BFGS:    3 21:21:23      -28.342481        0.020089
BFGS:    4 21:21:24      -28.343454        0.009978
BFGS:    5 21:21:24      -28.343462        0.009928
BFGS:    6 21:21:24      -28.343486        0.009279
BFGS:    7 21:21:24      -28.343528        0.008427
BFGS:    8 21:21:24      -28.343610        0.010428
BFGS:    9 21:21:24      -28.343702        0.009362
BFGS:   10 21:21:24      -28.343752        0.005287
BFGS:   11 21:21:25      -28.343763        0.004521
BFGS:   12 21:21:25      -28.343766        0.004113
BFGS:   13 21:21:25      -28.343767        0.003532
BFGS:   14 21:21:25      -28.343775        0.003871
BFGS:   15 21:21:25      -28.343787        0.003767
BFGS:   16 21:21:25      -28.343797        0.002699
BFGS:   17 21:21:26      -28.343801        0.001479
BFGS:   18 21:21:26      -28.343803        0.001350
BFGS:   19 21:21:26      -28.343803        0.001254
BFGS:   20 21:21:26      -28.343803        0.001095
BFGS:   21 21:21:26      -28.343804        0.000996
