      Step     Time          Energy          fmax
BFGS:    0 21:21:23      -56.714028        0.018138
BFGS:    1 21:21:23      -56.714091        0.017988
BFGS:    2 21:21:23      -56.716845        0.025266
BFGS:    3 21:21:23      -56.716949        0.026257
BFGS:    4 21:21:24      -56.717746        0.027283
BFGS:    5 21:21:24      -56.718465        0.020383
BFGS:    6 21:21:24      -56.718992        0.014774
BFGS:    7 21:21:24      -56.719120        0.012423
BFGS:    8 21:21:24      -56.719159        0.011709
BFGS:    9 21:21:24      -56.719197        0.010956
BFGS:   10 21:21:24      -56.719301        0.009289
BFGS:   11 21:21:25      -56.719490        0.008301
BFGS:   12 21:21:25      -56.719740        0.009266
BFGS:   13 21:21:25      -56.719901        0.013162
BFGS:   14 21:21:25      -56.719945        0.013990
BFGS:   15 21:21:25      -56.719954        0.013700
BFGS:   16 21:21:25      -56.719967        0.013161
BFGS:   17 21:21:26      -56.720005        0.012045
BFGS:   18 21:21:26      -56.720077        0.010049
BFGS:   19 21:21:26      -56.720205        0.007469
BFGS:   20 21:21:26      -56.720330        0.006606
BFGS:   21 21:21:26      -56.720395        0.005283
BFGS:   22 21:21:26      -56.720409        0.006078
BFGS:   23 21:21:27      -56.720413        0.006233
BFGS:   24 21:21:27      -56.720423        0.006305
BFGS:   25 21:21:27      -56.720452        0.006460
BFGS:   26 21:21:27      -56.720503        0.006026
BFGS:   27 21:21:27      -56.720567        0.009040
BFGS:   28 21:21:27      -56.720619        0.011818
BFGS:   29 21:21:27      -56.720643        0.011661
BFGS:   30 21:21:28      -56.720663        0.010242
BFGS:   31 21:21:28      -56.720689        0.007258
BFGS:   32 21:21:28      -56.720740        0.006804
BFGS:   33 21:21:28      -56.720786        0.006724
BFGS:   34 21:21:28      -56.720808        0.006373
BFGS:   35 21:21:28      -56.720817        0.006109
BFGS:   36 21:21:28      -56.720820        0.005911
BFGS:   37 21:21:29      -56.720831        0.005520
BFGS:   38 21:21:29      -56.720860        0.004827
BFGS:   39 21:21:29      -56.720898        0.003775
BFGS:   40 21:21:29      -56.720937        0.003991
BFGS:   41 21:21:29      -56.720956        0.003554
BFGS:   42 21:21:29      -56.720962        0.003082
BFGS:   43 21:21:29      -56.720964        0.003198
BFGS:   44 21:21:30      -56.720968        0.003237
BFGS:   45 21:21:30      -56.720972        0.003043
BFGS:   46 21:21:30      -56.720978        0.002538
BFGS:   47 21:21:30      -56.720978        0.002888
BFGS:   48 21:21:30      -56.720980        0.002810
BFGS:   49 21:21:30      -56.720982        0.002438
BFGS:   50 21:21:30      -56.720984        0.001671
BFGS:   51 21:21:31      -56.720992        0.001352
BFGS:   52 21:21:31      -56.720992        0.000997
