      Step     Time          Energy          fmax
BFGS:    0 21:21:23      -56.723762        0.026732
BFGS:    1 21:21:23      -56.723794        0.026396
BFGS:    2 21:21:23      -56.724533        0.021012
BFGS:    3 21:21:23      -56.724572        0.021720
BFGS:    4 21:21:24      -56.725036        0.023687
BFGS:    5 21:21:24      -56.725312        0.020498
BFGS:    6 21:21:24      -56.725469        0.015997
BFGS:    7 21:21:24      -56.725517        0.018222
BFGS:    8 21:21:24      -56.725566        0.017623
BFGS:    9 21:21:24      -56.725639        0.013602
BFGS:   10 21:21:24      -56.725732        0.009896
BFGS:   11 21:21:25      -56.725788        0.008976
BFGS:   12 21:21:25      -56.725812        0.010678
BFGS:   13 21:21:25      -56.725828        0.011000
BFGS:   14 21:21:25      -56.725861        0.009798
BFGS:   15 21:21:25      -56.725906        0.007118
BFGS:   16 21:21:26      -56.725948        0.006838
BFGS:   17 21:21:26      -56.725971        0.008371
BFGS:   18 21:21:26      -56.725985        0.008102
BFGS:   19 21:21:26      -56.725995        0.006965
BFGS:   20 21:21:26      -56.726017        0.004881
BFGS:   21 21:21:26      -56.726043        0.005499
BFGS:   22 21:21:26      -56.726067        0.006234
BFGS:   23 21:21:27      -56.726076        0.006017
BFGS:   24 21:21:27      -56.726082        0.005916
BFGS:   25 21:21:27      -56.726092        0.005368
BFGS:   26 21:21:27      -56.726107        0.005316
BFGS:   27 21:21:27      -56.726124        0.004845
BFGS:   28 21:21:27      -56.726133        0.005921
BFGS:   29 21:21:27      -56.726140        0.005816
BFGS:   30 21:21:28      -56.726150        0.005245
BFGS:   31 21:21:28      -56.726162        0.004432
BFGS:   32 21:21:28      -56.726181        0.005021
BFGS:   33 21:21:28      -56.726197        0.004674
BFGS:   34 21:21:28      -56.726204        0.004355
BFGS:   35 21:21:28      -56.726207        0.004800
BFGS:   36 21:21:28      -56.726213        0.005127
BFGS:   37 21:21:29      -56.726222        0.005270
BFGS:   38 21:21:29      -56.726239        0.004829
BFGS:   39 21:21:29      -56.726252        0.006188
BFGS:   40 21:21:29      -56.726259        0.006484
BFGS:   41 21:21:29      -56.726263        0.005901
BFGS:   42 21:21:29      -56.726269        0.004617
BFGS:   43 21:21:29      -56.726278        0.003284
BFGS:   44 21:21:30      -56.726283        0.003001
BFGS:   45 21:21:30      -56.726290        0.002939
BFGS:   46 21:21:30      -56.726290        0.002780
BFGS:   47 21:21:30      -56.726293        0.002787
BFGS:   48 21:21:30      -56.726295        0.003388
BFGS:   49 21:21:30      -56.726304        0.003749
BFGS:   50 21:21:31      -56.726313        0.003305
BFGS:   51 21:21:31      -56.726320        0.002340
BFGS:   52 21:21:31      -56.726319        0.001938
BFGS:   53 21:21:31      -56.726324        0.001800
BFGS:   54 21:21:31      -56.726324        0.002097
BFGS:   55 21:21:31      -56.726328        0.002611
BFGS:   56 21:21:31      -56.726330        0.003449
BFGS:   57 21:21:32      -56.726338        0.004286
BFGS:   58 21:21:32      -56.726339        0.004788
BFGS:   59 21:21:32      -56.726347        0.004480
BFGS:   60 21:21:32      -56.726347        0.003524
BFGS:   61 21:21:32      -56.726349        0.002202
BFGS:   62 21:21:32      -56.726354        0.001405
BFGS:   63 21:21:32      -56.726349        0.001139
BFGS:   64 21:21:33      -56.726355        0.001080
BFGS:   65 21:21:33      -56.726351        0.001104
BFGS:   66 21:21:33      -56.726355        0.001344
BFGS:   67 21:21:33      -56.726355        0.001891
BFGS:   68 21:21:33      -56.726357        0.001949
BFGS:   69 21:21:33      -56.726361        0.001838
BFGS:   70 21:21:33      -56.726361        0.001868
BFGS:   71 21:21:34      -56.726364        0.001685
BFGS:   72 21:21:34      -56.726359        0.001727
BFGS:   73 21:21:34      -56.726364        0.001878
BFGS:   74 21:21:34      -56.726367        0.002254
BFGS:   75 21:21:34      -56.726371        0.002161
BFGS:   76 21:21:34      -56.726366        0.002005
BFGS:   77 21:21:34      -56.726368        0.001704
BFGS:   78 21:21:35      -56.726374        0.001395
BFGS:   79 21:21:35      -56.726368        0.001671
BFGS:   80 21:21:35      -56.726371        0.001582
BFGS:   81 21:21:35      -56.726377        0.001722
BFGS:   82 21:21:35      -56.726374        0.001767
BFGS:   83 21:21:35      -56.726371        0.001682
BFGS:   84 21:21:36      -56.726377        0.001495
BFGS:   85 21:21:36      -56.726377        0.001922
BFGS:   86 21:21:36      -56.726380        0.001982
BFGS:   87 21:21:36      -56.726384        0.001550
BFGS:   88 21:21:36      -56.726386        0.001789
BFGS:   89 21:21:36      -56.726387        0.001800
BFGS:   90 21:21:37      -56.726381        0.001652
BFGS:   91 21:21:37      -56.726387        0.001594
BFGS:   92 21:21:37      -56.726387        0.001561
BFGS:   93 21:21:37      -56.726392        0.001185
BFGS:   94 21:21:37      -56.726392        0.001042
BFGS:   95 21:21:37      -56.726387        0.001003
BFGS:   96 21:21:37      -56.726389        0.000849
