      Step     Time          Energy          fmax
BFGS:    0 21:21:23      -61.079453        0.040934
BFGS:    1 21:21:23      -61.079563        0.031796
BFGS:    2 21:21:23      -61.079764        0.020443
BFGS:    3 21:21:23      -61.079771        0.018459
BFGS:    4 21:21:24      -61.079802        0.005425
BFGS:    5 21:21:24      -61.079803        0.005384
BFGS:    6 21:21:24      -61.079813        0.004868
BFGS:    7 21:21:24      -61.079819        0.005097
BFGS:    8 21:21:24      -61.079826        0.002803
BFGS:    9 21:21:24      -61.079828        0.000832
