      Step     Time          Energy          fmax
BFGS:    0 21:21:23     -121.884206        0.080957
BFGS:    1 21:21:23     -121.884572        0.075940
BFGS:    2 21:21:23     -121.886882        0.044748
BFGS:    3 21:21:23     -121.887138        0.041000
BFGS:    4 21:21:24     -121.887716        0.031602
BFGS:    5 21:21:24     -121.887817        0.035771
BFGS:    6 21:21:24     -121.887998        0.031756
BFGS:    7 21:21:24     -121.888133        0.017650
BFGS:    8 21:21:24     -121.888213        0.015052
BFGS:    9 21:21:24     -121.888234        0.014599
BFGS:   10 21:21:24     -121.888240        0.013317
BFGS:   11 21:21:25     -121.888259        0.010812
BFGS:   12 21:21:25     -121.888273        0.007585
BFGS:   13 21:21:25     -121.888286        0.005487
BFGS:   14 21:21:25     -121.888286        0.006538
BFGS:   15 21:21:25     -121.888294        0.006914
BFGS:   16 21:21:25     -121.888299        0.006815
BFGS:   17 21:21:26     -121.888307        0.007687
BFGS:   18 21:21:26     -121.888322        0.008875
BFGS:   19 21:21:26     -121.888337        0.008584
BFGS:   20 21:21:26     -121.888345        0.005775
BFGS:   21 21:21:26     -121.888349        0.002714
BFGS:   22 21:21:26     -121.888351        0.001977
BFGS:   23 21:21:26     -121.888355        0.001594
BFGS:   24 21:21:27     -121.888351        0.000772
