      Step     Time          Energy          fmax
BFGS:    0 21:21:31     -121.722486        0.152196
BFGS:    1 21:21:31     -121.725044        0.111938
BFGS:    2 21:21:31     -121.727901        0.050522
BFGS:    3 21:21:31     -121.728118        0.050528
BFGS:    4 21:21:31     -121.728786        0.048967
BFGS:    5 21:21:32     -121.728881        0.046461
BFGS:    6 21:21:32     -121.729301        0.036371
BFGS:    7 21:21:32     -121.729562        0.043614
BFGS:    8 21:21:32     -121.729776        0.044111
BFGS:    9 21:21:32     -121.729909        0.039125
BFGS:   10 21:21:32     -121.730068        0.029506
BFGS:   11 21:21:32     -121.730211        0.020116
BFGS:   12 21:21:33     -121.730304        0.015668
BFGS:   13 21:21:33     -121.730333        0.012727
BFGS:   14 21:21:33     -121.730359        0.011138
BFGS:   15 21:21:33     -121.730390        0.009943
BFGS:   16 21:21:34     -121.730426        0.010618
BFGS:   17 21:21:34     -121.730441        0.007491
BFGS:   18 21:21:34     -121.730447        0.004861
BFGS:   19 21:21:34     -121.730453        0.003746
BFGS:   20 21:21:34     -121.730460        0.002866
BFGS:   21 21:21:34     -121.730462        0.002593
BFGS:   22 21:21:34     -121.730460        0.002691
BFGS:   23 21:21:35     -121.730462        0.003019
BFGS:   24 21:21:35     -121.730468        0.003999
BFGS:   25 21:21:35     -121.730472        0.003751
BFGS:   26 21:21:35     -121.730468        0.001956
BFGS:   27 21:21:35     -121.730474        0.000659
