      Step     Time          Energy          fmax
BFGS:    0 23:56:14     -121.562059        0.185342
BFGS:    1 23:56:14     -121.565242        0.158259
BFGS:    2 23:56:14     -121.573404        0.080226
BFGS:    3 23:56:14     -121.573940        0.074419
BFGS:    4 23:56:15     -121.575280        0.051281
BFGS:    5 23:56:15     -121.575528        0.047062
BFGS:    6 23:56:15     -121.576318        0.033026
BFGS:    7 23:56:15     -121.576490        0.031934
BFGS:    8 23:56:15     -121.576619        0.029034
BFGS:    9 23:56:15     -121.576724        0.025135
BFGS:   10 23:56:16     -121.576850        0.019886
BFGS:   11 23:56:16     -121.576951        0.022423
BFGS:   12 23:56:16     -121.577050        0.021201
BFGS:   13 23:56:16     -121.577176        0.023134
BFGS:   14 23:56:16     -121.577304        0.021285
BFGS:   15 23:56:17     -121.577371        0.014829
BFGS:   16 23:56:17     -121.577396        0.010879
BFGS:   17 23:56:17     -121.577415        0.009246
BFGS:   18 23:56:17     -121.577430        0.007229
BFGS:   19 23:56:17     -121.577453        0.007791
BFGS:   20 23:56:17     -121.577464        0.006807
BFGS:   21 23:56:18     -121.577474        0.006651
BFGS:   22 23:56:18     -121.577487        0.006480
BFGS:   23 23:56:18     -121.577499        0.006244
BFGS:   24 23:56:18     -121.577504        0.004539
BFGS:   25 23:56:18     -121.577506        0.003473
BFGS:   26 23:56:18     -121.577510        0.002662
BFGS:   27 23:56:18     -121.577512        0.002773
BFGS:   28 23:56:19     -121.577516        0.002948
BFGS:   29 23:56:19     -121.577516        0.002277
BFGS:   30 23:56:19     -121.577518        0.001945
BFGS:   31 23:56:19     -121.577518        0.001500
BFGS:   32 23:56:19     -121.577518        0.001238
BFGS:   33 23:56:19     -121.577518        0.000901
