      Step     Time          Energy          fmax
BFGS:    0 21:21:36     -266.298936        0.083580
BFGS:    1 21:21:37     -266.300651        0.065470
BFGS:    2 21:21:37     -266.303629        0.029457
BFGS:    3 21:21:37     -266.303836        0.028373
BFGS:    4 21:21:37     -266.304957        0.029786
BFGS:    5 21:21:37     -266.305328        0.034040
BFGS:    6 21:21:38     -266.305873        0.023803
BFGS:    7 21:21:38     -266.306063        0.020163
BFGS:    8 21:21:38     -266.306217        0.017101
BFGS:    9 21:21:38     -266.306362        0.017654
BFGS:   10 21:21:38     -266.306505        0.016234
BFGS:   11 21:21:38     -266.306589        0.011857
BFGS:   12 21:21:39     -266.306636        0.011529
BFGS:   13 21:21:39     -266.306690        0.010793
BFGS:   14 21:21:39     -266.306746        0.010490
BFGS:   15 21:21:39     -266.306789        0.006964
BFGS:   16 21:21:40     -266.306813        0.005436
BFGS:   17 21:21:40     -266.306822        0.004594
BFGS:   18 21:21:40     -266.306832        0.003873
BFGS:   19 21:21:40     -266.306839        0.004077
BFGS:   20 21:21:40     -266.306845        0.003407
BFGS:   21 21:21:40     -266.306849        0.002984
BFGS:   22 21:21:41     -266.306851        0.002798
BFGS:   23 21:21:41     -266.306852        0.002595
BFGS:   24 21:21:41     -266.306859        0.002689
BFGS:   25 21:21:41     -266.306860        0.003030
BFGS:   26 21:21:41     -266.306866        0.002449
BFGS:   27 21:21:42     -266.306874        0.002177
BFGS:   28 21:21:42     -266.306872        0.001987
BFGS:   29 21:21:42     -266.306874        0.001807
BFGS:   30 21:21:42     -266.306876        0.002146
BFGS:   31 21:21:42     -266.306875        0.001632
BFGS:   32 21:21:43     -266.306877        0.001625
BFGS:   33 21:21:43     -266.306879        0.001387
BFGS:   34 21:21:43     -266.306877        0.001350
BFGS:   35 21:21:43     -266.306880        0.001386
BFGS:   36 21:21:43     -266.306881        0.001101
BFGS:   37 21:21:43     -266.306881        0.001009
BFGS:   38 21:21:44     -266.306882        0.000920
