      Step     Time          Energy          fmax
BFGS:    0 18:01:50     -530.605427        0.495741
BFGS:    1 18:01:50     -530.633690        0.488847
BFGS:    2 18:01:50     -530.742952        0.436367
BFGS:    3 18:01:51     -530.756744        0.427894
BFGS:    4 18:01:51     -530.932003        0.319719
BFGS:    5 18:01:51     -531.081263        0.220148
BFGS:    6 18:01:52     -531.215316        0.196448
BFGS:    7 18:01:52     -531.319192        0.127345
BFGS:    8 18:01:52     -531.358405        0.033031
BFGS:    9 18:01:52     -531.360771        0.009437
BFGS:   10 18:01:53     -531.361194        0.001002
BFGS:   11 18:01:53     -531.361184        0.000127
