      Step     Time          Energy          fmax
BFGS:    0 05:26:47    -1062.448532        0.189267
BFGS:    1 05:26:47    -1062.463182        0.138327
BFGS:    2 05:26:48    -1062.485783        0.079762
BFGS:    3 05:26:48    -1062.487270        0.066392
BFGS:    4 05:26:49    -1062.490837        0.045830
BFGS:    5 05:26:49    -1062.491955        0.052523
BFGS:    6 05:26:50    -1062.494461        0.045286
BFGS:    7 05:26:51    -1062.495615        0.032432
BFGS:    8 05:26:51    -1062.496635        0.028487
BFGS:    9 05:26:52    -1062.497478        0.034977
BFGS:   10 05:26:52    -1062.498426        0.039072
BFGS:   11 05:26:53    -1062.499205        0.032592
BFGS:   12 05:26:54    -1062.499826        0.024320
BFGS:   13 05:26:54    -1062.500353        0.027280
BFGS:   14 05:26:55    -1062.500854        0.026343
BFGS:   15 05:26:55    -1062.501306        0.021996
BFGS:   16 05:26:56    -1062.501686        0.019949
BFGS:   17 05:26:56    -1062.501997        0.020785
BFGS:   18 05:26:57    -1062.502272        0.018918
BFGS:   19 05:26:58    -1062.502542        0.017736
BFGS:   20 05:26:58    -1062.502796        0.017250
BFGS:   21 05:26:59    -1062.503042        0.016883
BFGS:   22 05:26:59    -1062.503273        0.016503
BFGS:   23 05:27:00    -1062.503515        0.016442
BFGS:   24 05:27:01    -1062.503727        0.015685
BFGS:   25 05:27:01    -1062.503952        0.015652
BFGS:   26 05:27:02    -1062.504162        0.018685
BFGS:   27 05:27:02    -1062.504387        0.017680
BFGS:   28 05:27:03    -1062.504621        0.014906
BFGS:   29 05:27:03    -1062.504850        0.013129
BFGS:   30 05:27:04    -1062.505051        0.016512
BFGS:   31 05:27:05    -1062.505276        0.016471
BFGS:   32 05:27:05    -1062.505505        0.018060
BFGS:   33 05:27:06    -1062.505710        0.019111
BFGS:   34 05:27:06    -1062.505892        0.013910
BFGS:   35 05:27:07    -1062.506052        0.015820
BFGS:   36 05:27:08    -1062.506185        0.012595
BFGS:   37 05:27:08    -1062.506292        0.012787
BFGS:   38 05:27:09    -1062.506391        0.009761
BFGS:   39 05:27:09    -1062.506462        0.009904
BFGS:   40 05:27:10    -1062.506538        0.008418
BFGS:   41 05:27:10    -1062.506609        0.008987
BFGS:   42 05:27:11    -1062.506660        0.007754
BFGS:   43 05:27:12    -1062.506719        0.007497
BFGS:   44 05:27:12    -1062.506758        0.007125
BFGS:   45 05:27:13    -1062.506796        0.005267
BFGS:   46 05:27:13    -1062.506847        0.005123
BFGS:   47 05:27:14    -1062.506870        0.005147
BFGS:   48 05:27:14    -1062.506878        0.004885
BFGS:   49 05:27:15    -1062.506910        0.004185
BFGS:   50 05:27:16    -1062.506931        0.003835
BFGS:   51 05:27:16    -1062.506937        0.003527
BFGS:   52 05:27:17    -1062.506948        0.003441
BFGS:   53 05:27:17    -1062.506962        0.003275
BFGS:   54 05:27:18    -1062.506966        0.003315
BFGS:   55 05:27:19    -1062.506994        0.003046
BFGS:   56 05:27:19    -1062.506998        0.002773
BFGS:   57 05:27:20    -1062.506998        0.002496
BFGS:   58 05:27:20    -1062.506992        0.002482
BFGS:   59 05:27:21    -1062.507017        0.002491
BFGS:   60 05:27:21    -1062.507025        0.002642
BFGS:   61 05:27:22    -1062.507025        0.002298
BFGS:   62 05:27:23    -1062.507032        0.001966
BFGS:   63 05:27:23    -1062.507025        0.001857
BFGS:   64 05:27:24    -1062.507044        0.001962
BFGS:   65 05:27:24    -1062.507049        0.001589
BFGS:   66 05:27:25    -1062.507036        0.001632
BFGS:   67 05:27:25    -1062.507051        0.001683
BFGS:   68 05:27:26    -1062.507032        0.001593
BFGS:   69 05:27:27    -1062.507040        0.001448
BFGS:   70 05:27:27    -1062.507044        0.001358
BFGS:   71 05:27:28    -1062.507044        0.001241
BFGS:   72 05:27:28    -1062.507053        0.001151
BFGS:   73 05:27:29    -1062.507065        0.001036
BFGS:   74 05:27:30    -1062.507046        0.000922
