      Step     Time          Energy          fmax
BFGS:    0 21:21:36     -264.863085        0.090574
BFGS:    1 21:21:37     -264.865140        0.077900
BFGS:    2 21:21:37     -264.870251        0.052900
BFGS:    3 21:21:37     -264.871034        0.050310
BFGS:    4 21:21:37     -264.873427        0.045241
BFGS:    5 21:21:37     -264.874286        0.052493
BFGS:    6 21:21:37     -264.875883        0.063091
BFGS:    7 21:21:38     -264.877171        0.053051
BFGS:    8 21:21:38     -264.878340        0.037955
BFGS:    9 21:21:38     -264.879139        0.043225
BFGS:   10 21:21:38     -264.879900        0.050921
BFGS:   11 21:21:38     -264.880546        0.043329
BFGS:   12 21:21:39     -264.880986        0.030043
BFGS:   13 21:21:39     -264.881257        0.028316
BFGS:   14 21:21:39     -264.881516        0.025791
BFGS:   15 21:21:39     -264.881878        0.033505
BFGS:   16 21:21:39     -264.882369        0.036439
BFGS:   17 21:21:40     -264.882858        0.032641
BFGS:   18 21:21:40     -264.883209        0.028155
BFGS:   19 21:21:40     -264.883417        0.016403
BFGS:   20 21:21:40     -264.883552        0.014696
BFGS:   21 21:21:40     -264.883665        0.012273
BFGS:   22 21:21:41     -264.883753        0.014523
BFGS:   23 21:21:41     -264.883817        0.010571
BFGS:   24 21:21:41     -264.883861        0.010214
BFGS:   25 21:21:41     -264.883913        0.011367
BFGS:   26 21:21:41     -264.883970        0.014844
BFGS:   27 21:21:41     -264.884037        0.013471
BFGS:   28 21:21:42     -264.884093        0.008550
BFGS:   29 21:21:42     -264.884129        0.006969
BFGS:   30 21:21:42     -264.884151        0.006147
BFGS:   31 21:21:42     -264.884172        0.005138
BFGS:   32 21:21:42     -264.884184        0.005820
BFGS:   33 21:21:43     -264.884199        0.005145
BFGS:   34 21:21:43     -264.884213        0.005307
BFGS:   35 21:21:43     -264.884231        0.004949
BFGS:   36 21:21:43     -264.884237        0.004783
BFGS:   37 21:21:43     -264.884244        0.004494
BFGS:   38 21:21:43     -264.884254        0.005480
BFGS:   39 21:21:44     -264.884270        0.005067
BFGS:   40 21:21:44     -264.884270        0.003438
BFGS:   41 21:21:44     -264.884278        0.003282
BFGS:   42 21:21:44     -264.884280        0.003485
BFGS:   43 21:21:44     -264.884287        0.004576
BFGS:   44 21:21:45     -264.884291        0.004226
BFGS:   45 21:21:45     -264.884296        0.002978
BFGS:   46 21:21:45     -264.884301        0.002718
BFGS:   47 21:21:45     -264.884305        0.002374
BFGS:   48 21:21:45     -264.884309        0.002721
BFGS:   49 21:21:45     -264.884309        0.003030
BFGS:   50 21:21:46     -264.884315        0.002959
BFGS:   51 21:21:46     -264.884319        0.002174
BFGS:   52 21:21:46     -264.884320        0.001891
BFGS:   53 21:21:46     -264.884320        0.001892
BFGS:   54 21:21:46     -264.884323        0.002682
BFGS:   55 21:21:47     -264.884326        0.003406
BFGS:   56 21:21:47     -264.884324        0.002980
BFGS:   57 21:21:47     -264.884333        0.001781
BFGS:   58 21:21:47     -264.884328        0.001629
BFGS:   59 21:21:47     -264.884329        0.001723
BFGS:   60 21:21:48     -264.884328        0.002069
BFGS:   61 21:21:48     -264.884332        0.001715
BFGS:   62 21:21:48     -264.884330        0.001309
BFGS:   63 21:21:48     -264.884335        0.001188
BFGS:   64 21:21:48     -264.884338        0.001043
BFGS:   65 21:21:48     -264.884337        0.000721
