      Step     Time          Energy          fmax
BFGS:    0 21:21:36     -266.338405        0.090677
BFGS:    1 21:21:37     -266.340357        0.070335
BFGS:    2 21:21:37     -266.343357        0.027774
BFGS:    3 21:21:37     -266.343502        0.027049
BFGS:    4 21:21:37     -266.344134        0.030149
BFGS:    5 21:21:37     -266.344340        0.032899
BFGS:    6 21:21:38     -266.344712        0.021386
BFGS:    7 21:21:38     -266.344826        0.013475
BFGS:    8 21:21:38     -266.344915        0.014946
BFGS:    9 21:21:38     -266.345014        0.019875
BFGS:   10 21:21:38     -266.345144        0.018853
BFGS:   11 21:21:38     -266.345238        0.012869
BFGS:   12 21:21:39     -266.345292        0.010627
BFGS:   13 21:21:39     -266.345336        0.011310
BFGS:   14 21:21:39     -266.345382        0.012442
BFGS:   15 21:21:39     -266.345416        0.009973
BFGS:   16 21:21:39     -266.345439        0.005994
BFGS:   17 21:21:40     -266.345453        0.005754
BFGS:   18 21:21:40     -266.345461        0.004888
BFGS:   19 21:21:40     -266.345472        0.005588
BFGS:   20 21:21:40     -266.345485        0.004048
BFGS:   21 21:21:40     -266.345487        0.003733
BFGS:   22 21:21:41     -266.345492        0.003550
BFGS:   23 21:21:41     -266.345499        0.005231
BFGS:   24 21:21:41     -266.345506        0.005383
BFGS:   25 21:21:41     -266.345511        0.003584
BFGS:   26 21:21:41     -266.345516        0.002949
BFGS:   27 21:21:42     -266.345519        0.003025
BFGS:   28 21:21:42     -266.345523        0.003166
BFGS:   29 21:21:42     -266.345525        0.004075
BFGS:   30 21:21:42     -266.345531        0.003595
BFGS:   31 21:21:42     -266.345534        0.002777
BFGS:   32 21:21:42     -266.345536        0.002313
BFGS:   33 21:21:43     -266.345538        0.001890
BFGS:   34 21:21:43     -266.345536        0.002100
BFGS:   35 21:21:43     -266.345543        0.001982
BFGS:   36 21:21:43     -266.345543        0.001625
BFGS:   37 21:21:43     -266.345543        0.001313
BFGS:   38 21:21:44     -266.345544        0.001424
BFGS:   39 21:21:44     -266.345548        0.001864
BFGS:   40 21:21:44     -266.345547        0.001505
BFGS:   41 21:21:44     -266.345547        0.001128
BFGS:   42 21:21:44     -266.345545        0.001290
BFGS:   43 21:21:45     -266.345546        0.001283
BFGS:   44 21:21:45     -266.345549        0.001375
BFGS:   45 21:21:45     -266.345552        0.001157
BFGS:   46 21:21:45     -266.345552        0.001385
BFGS:   47 21:21:45     -266.345554        0.001404
BFGS:   48 21:21:45     -266.345552        0.001066
BFGS:   49 21:21:46     -266.345551        0.001142
BFGS:   50 21:21:46     -266.345554        0.000956
