      Step     Time          Energy          fmax
BFGS:    0 21:21:36     -266.277411        0.085444
BFGS:    1 21:21:37     -266.279195        0.066394
BFGS:    2 21:21:37     -266.282171        0.029762
BFGS:    3 21:21:37     -266.282361        0.028860
BFGS:    4 21:21:37     -266.283174        0.029524
BFGS:    5 21:21:37     -266.283452        0.034281
BFGS:    6 21:21:37     -266.283895        0.024781
BFGS:    7 21:21:38     -266.284031        0.015386
BFGS:    8 21:21:38     -266.284131        0.015806
BFGS:    9 21:21:38     -266.284236        0.019412
BFGS:   10 21:21:38     -266.284363        0.018932
BFGS:   11 21:21:38     -266.284456        0.013160
BFGS:   12 21:21:39     -266.284510        0.010272
BFGS:   13 21:21:39     -266.284556        0.014115
BFGS:   14 21:21:39     -266.284600        0.015223
BFGS:   15 21:21:39     -266.284649        0.013001
BFGS:   16 21:21:39     -266.284678        0.009019
BFGS:   17 21:21:40     -266.284692        0.005170
BFGS:   18 21:21:40     -266.284701        0.004845
BFGS:   19 21:21:40     -266.284709        0.005083
BFGS:   20 21:21:40     -266.284718        0.004933
BFGS:   21 21:21:40     -266.284723        0.003465
BFGS:   22 21:21:41     -266.284729        0.002846
BFGS:   23 21:21:41     -266.284731        0.002836
BFGS:   24 21:21:41     -266.284739        0.003466
BFGS:   25 21:21:41     -266.284738        0.003470
BFGS:   26 21:21:41     -266.284745        0.003394
BFGS:   27 21:21:42     -266.284749        0.002701
BFGS:   28 21:21:42     -266.284751        0.002579
BFGS:   29 21:21:42     -266.284756        0.002365
BFGS:   30 21:21:42     -266.284757        0.003222
BFGS:   31 21:21:42     -266.284760        0.003748
BFGS:   32 21:21:42     -266.284758        0.002738
BFGS:   33 21:21:43     -266.284759        0.001628
BFGS:   34 21:21:43     -266.284766        0.001343
BFGS:   35 21:21:43     -266.284762        0.001907
BFGS:   36 21:21:43     -266.284768        0.002349
BFGS:   37 21:21:43     -266.284766        0.001738
BFGS:   38 21:21:44     -266.284770        0.001430
BFGS:   39 21:21:44     -266.284768        0.001212
BFGS:   40 21:21:44     -266.284770        0.001328
BFGS:   41 21:21:44     -266.284772        0.001382
BFGS:   42 21:21:44     -266.284770        0.001138
BFGS:   43 21:21:45     -266.284770        0.001077
BFGS:   44 21:21:45     -266.284772        0.001133
BFGS:   45 21:21:45     -266.284770        0.001106
BFGS:   46 21:21:45     -266.284774        0.001197
BFGS:   47 21:21:45     -266.284773        0.001322
BFGS:   48 21:21:45     -266.284774        0.001263
BFGS:   49 21:21:46     -266.284776        0.001117
BFGS:   50 21:21:46     -266.284774        0.001185
BFGS:   51 21:21:46     -266.284775        0.001175
BFGS:   52 21:21:46     -266.284775        0.000957
