      Step     Time          Energy          fmax
BFGS:    0 23:45:07     -266.260124        0.078389
BFGS:    1 23:45:07     -266.261974        0.060266
BFGS:    2 23:45:07     -266.265003        0.030181
BFGS:    3 23:45:08     -266.265182        0.029382
BFGS:    4 23:45:08     -266.265952        0.023847
BFGS:    5 23:45:08     -266.266207        0.027957
BFGS:    6 23:45:08     -266.266676        0.024626
BFGS:    7 23:45:08     -266.266839        0.014554
BFGS:    8 23:45:09     -266.266943        0.014699
BFGS:    9 23:45:09     -266.267039        0.016836
BFGS:   10 23:45:09     -266.267148        0.016259
BFGS:   11 23:45:09     -266.267219        0.009056
BFGS:   12 23:45:09     -266.267262        0.009457
BFGS:   13 23:45:09     -266.267290        0.008916
BFGS:   14 23:45:10     -266.267323        0.010052
BFGS:   15 23:45:10     -266.267362        0.009565
BFGS:   16 23:45:10     -266.267381        0.005981
BFGS:   17 23:45:10     -266.267397        0.004862
BFGS:   18 23:45:11     -266.267410        0.004827
BFGS:   19 23:45:11     -266.267413        0.004446
BFGS:   20 23:45:11     -266.267423        0.004268
BFGS:   21 23:45:11     -266.267434        0.003973
BFGS:   22 23:45:11     -266.267435        0.003638
BFGS:   23 23:45:11     -266.267443        0.003364
BFGS:   24 23:45:12     -266.267447        0.004216
BFGS:   25 23:45:12     -266.267455        0.004285
BFGS:   26 23:45:12     -266.267461        0.003417
BFGS:   27 23:45:12     -266.267468        0.002639
BFGS:   28 23:45:12     -266.267467        0.002380
BFGS:   29 23:45:13     -266.267471        0.002714
BFGS:   30 23:45:13     -266.267475        0.002693
BFGS:   31 23:45:13     -266.267480        0.003000
BFGS:   32 23:45:13     -266.267480        0.002037
BFGS:   33 23:45:13     -266.267484        0.002632
BFGS:   34 23:45:14     -266.267485        0.002309
BFGS:   35 23:45:14     -266.267488        0.001859
BFGS:   36 23:45:14     -266.267490        0.001515
BFGS:   37 23:45:14     -266.267495        0.001604
BFGS:   38 23:45:14     -266.267493        0.001742
BFGS:   39 23:45:14     -266.267493        0.001374
BFGS:   40 23:45:15     -266.267492        0.001213
BFGS:   41 23:45:15     -266.267493        0.001042
BFGS:   42 23:45:15     -266.267494        0.001110
BFGS:   43 23:45:15     -266.267493        0.001264
BFGS:   44 23:45:15     -266.267495        0.001753
BFGS:   45 23:45:16     -266.267495        0.001558
BFGS:   46 23:45:16     -266.267495        0.001240
BFGS:   47 23:45:16     -266.267498        0.000991
