      Step     Time          Energy          fmax
BFGS:    0 00:12:24      -32.375727       20.495623
BFGS:    1 00:12:24       -4.681599       62.732404
BFGS:    2 00:12:24      -16.788797        4.452651
BFGS:    3 00:12:24      -17.130506        3.764762
BFGS:    4 00:12:24      -17.912168        2.054575
BFGS:    5 00:12:24      -18.318103        0.931093
BFGS:    6 00:12:25      -18.475248        0.585259
BFGS:    7 00:12:25      -18.507069        0.555482
BFGS:    8 00:12:25      -18.519400        0.507950
BFGS:    9 00:12:25      -18.538564        0.428399
BFGS:   10 00:12:25      -18.583872        0.483418
BFGS:   11 00:12:25      -18.668867        0.573622
BFGS:   12 00:12:25      -18.716282        0.497979
BFGS:   13 00:12:26      -18.816465        0.432761
BFGS:   14 00:12:26      -18.847169        0.772877
BFGS:   15 00:12:26      -18.854995        0.598847
BFGS:   16 00:12:26      -18.859843        0.518002
BFGS:   17 00:12:26      -18.882205        0.144915
BFGS:   18 00:12:27      -18.884114        0.155777
BFGS:   19 00:12:27      -18.885293        0.186125
BFGS:   20 00:12:27      -18.890001        0.269182
BFGS:   21 00:12:27      -18.897076        0.292963
BFGS:   22 00:12:27      -18.907298        0.316780
BFGS:   23 00:12:27      -18.916190        0.323324
BFGS:   24 00:12:27      -18.922339        0.216767
BFGS:   25 00:12:28      -18.925293        0.114147
BFGS:   26 00:12:28      -18.927265        0.111461
BFGS:   27 00:12:28      -18.929229        0.124066
BFGS:   28 00:12:28      -18.931264        0.171630
BFGS:   29 00:12:28      -18.933937        0.203003
BFGS:   30 00:12:28      -18.938329        0.242425
BFGS:   31 00:12:28      -18.946402        0.348516
BFGS:   32 00:12:29      -18.962475        0.598760
BFGS:   33 00:12:29      -18.986462        0.869522
BFGS:   34 00:12:29      -19.009135        0.901103
BFGS:   35 00:12:29      -19.020710        0.709163
BFGS:   36 00:12:29      -19.048430        0.579765
BFGS:   37 00:12:29      -19.080722        0.363201
BFGS:   38 00:12:29      -19.106362        0.395798
BFGS:   39 00:12:30      -19.123785        0.344475
BFGS:   40 00:12:30      -19.138007        0.221441
BFGS:   41 00:12:30      -19.142484        0.118523
BFGS:   42 00:12:30      -19.143903        0.112707
BFGS:   43 00:12:30      -19.149256        0.127177
BFGS:   44 00:12:30      -19.153915        0.160334
BFGS:   45 00:12:30      -19.162052        0.226861
BFGS:   46 00:12:31      -19.172399        0.286873
BFGS:   47 00:12:31      -19.188010        0.332215
BFGS:   48 00:12:31      -19.203506        0.338748
BFGS:   49 00:12:31      -19.211317        0.326599
BFGS:   50 00:12:31      -19.219388        0.324801
BFGS:   51 00:12:31      -19.256886        0.205833
BFGS:   52 00:12:31      -19.269143        0.154649
BFGS:   53 00:12:32      -19.275658        0.119728
BFGS:   54 00:12:32      -19.272642        0.142731
BFGS:   55 00:12:32      -19.277638        0.097250
BFGS:   56 00:12:32      -19.278216        0.092647
BFGS:   57 00:12:32      -19.279947        0.074229
BFGS:   58 00:12:32      -19.280511        0.080574
BFGS:   59 00:12:32      -19.281829        0.085734
BFGS:   60 00:12:33      -19.282370        0.071823
BFGS:   61 00:12:33      -19.282700        0.049141
BFGS:   62 00:12:33      -19.282819        0.038252
BFGS:   63 00:12:33      -19.282962        0.029072
BFGS:   64 00:12:33      -19.283085        0.024298
BFGS:   65 00:12:33      -19.283185        0.020039
BFGS:   66 00:12:33      -19.283261        0.014412
BFGS:   67 00:12:34      -19.283313        0.007170
BFGS:   68 00:12:34      -19.283332        0.003345
BFGS:   69 00:12:34      -19.283336        0.003217
BFGS:   70 00:12:34      -19.283337        0.003298
BFGS:   71 00:12:34      -19.283338        0.003080
BFGS:   72 00:12:34      -19.283340        0.002633
BFGS:   73 00:12:34      -19.283343        0.001609
BFGS:   74 00:12:35      -19.283344        0.000984
