      Step     Time          Energy          fmax
BFGS:    0 21:21:36      -38.553771        0.019184
BFGS:    1 21:21:36      -38.553788        0.018810
BFGS:    2 21:21:37      -38.554022        0.014068
BFGS:    3 21:21:37      -38.554036        0.013968
BFGS:    4 21:21:37      -38.554136        0.005787
BFGS:    5 21:21:37      -38.554140        0.003276
BFGS:    6 21:21:37      -38.554141        0.003280
BFGS:    7 21:21:37      -38.554141        0.002708
BFGS:    8 21:21:37      -38.554144        0.001261
BFGS:    9 21:21:38      -38.554144        0.000891
