Engine,Run ID,Composition,Initial Space Group,Energy (eV/atom),Overall Status,MD Verdict,RMSD Val,RMSD Verdict,Vol Val,Vol Verdict,RDF Val,RDF Verdict,Sym Verdict,Sym Group,Sym List,Completeness Issues
MACE OMAT,md_cifs_vibroml_mace_lifsimplecubic_m4p523283,LiF,Pm-3m,-4.523283,UNSTABLE,UNSTABLE,1.579,FAIL,28.3,FAIL,-0.011,FAIL,FAIL,F-43m,P1 (1); I-4m2 (119); F-43m (216),COMPLETE
MACE MP,md_cifs_vibroml_mace_lifsimplecubic_m4p523283,LiF,Pm-3m,-4.523283,UNSTABLE,UNSTABLE,1.318,FAIL,13.7,FAIL,-0.013,FAIL,FAIL,P1,P1 (1),COMPLETE
eSEN,md_cifs_vibroml_esen_lifsimplecubic_m4p523283,LiF,Pm-3m,-4.523283,UNSTABLE,UNSTABLE,1.062,FAIL,27.8,FAIL,-0.011,FAIL,FAIL,F-43m,P1 (1); I-4m2 (119); F-43m (216),COMPLETE
UMA,md_cifs_vibroml_uma_lifsimplecubic_m4p523283,LiF,Pm-3m,-4.523283,UNSTABLE,UNSTABLE,1.906,FAIL,9.2,FAIL,-0.011,FAIL,FAIL,F-43m,P1 (1); I-4m2 (119); F-43m (216),COMPLETE
MACE OMAT,top_4_iter2_sample10,LiF,Pnma,-4.8001,UNSTABLE,UNSTABLE,2.258,FAIL,48.0,FAIL,0.001,FAIL,FAIL,P6_3/mmc,P1 (1); P6_3/mmc (194),COMPLETE
MACE MP,top_4_iter2_sample10,LiF,Pnma,-4.8001,UNSTABLE,UNSTABLE,2.258,FAIL,38.4,FAIL,-0.024,FAIL,FAIL,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
eSEN,top_4_iter2_sample10,LiF,Pnma,-4.8001,UNSTABLE,UNSTABLE,0.555,PASS,5.7,PASS,0.154,FAIL,FAIL,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
UMA,top_4_iter2_sample10,LiF,Pnma,-4.8001,UNSTABLE,UNSTABLE,1.674,FAIL,7.2,FAIL,0.13,FAIL,FAIL,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
MACE OMAT,top_3_iter2_sample14,LiF,F-43m,-4.8158,UNSTABLE,UNSTABLE,3.631,FAIL,9.0,FAIL,-0.012,FAIL,FAIL,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
MACE MP,top_3_iter2_sample14,LiF,F-43m,-4.8158,FAILED_UNSTABLE,UNSTABLE,384869467717.911,FAIL,0.0,PASS,N/A,N/A,FAIL,N/A,N/A,md_explosion
eSEN,top_3_iter2_sample14,LiF,F-43m,-4.8158,UNSTABLE,UNSTABLE,3.334,FAIL,28.5,FAIL,-0.01,FAIL,FAIL,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
UMA,top_3_iter2_sample14,LiF,F-43m,-4.8158,STABLE,STABLE,0.155,PASS,5.3,PASS,0.339,FAIL,PASS,F-43m,P1 (1); F-43m (216),COMPLETE
MACE OMAT,top_4_iter4_sample88,LiF,P4_2/mnm,-4.8197,UNSTABLE,UNSTABLE,0.464,PASS,31.4,FAIL,-0.027,FAIL,FAIL,Fm-3m,P1 (1); P2_1 (4); Fm-3m (225),COMPLETE
MACE MP,top_4_iter4_sample88,LiF,P4_2/mnm,-4.8197,UNSTABLE,UNSTABLE,0.916,PASS,35.3,FAIL,0.093,FAIL,FAIL,P6_3/mmc,P1 (1); P6_3/mmc (194),COMPLETE
eSEN,top_4_iter4_sample88,LiF,P4_2/mnm,-4.8197,UNSTABLE,UNSTABLE,0.408,PASS,6.4,FAIL,0.509,PASS,FAIL,P6_3/mmc,P1 (1); Pc (7); P6_3/mmc (194),COMPLETE
UMA,top_4_iter4_sample88,LiF,P4_2/mnm,-4.8197,STABLE,STABLE,0.208,PASS,4.3,PASS,0.716,PASS,PASS,P4_2/mnm,P1 (1); Cm (8); P4_2/mnm (136),COMPLETE
MACE OMAT,top_2_iter2_sample2,LiF,P6_3mc,-4.8205,FAILED_UNSTABLE,UNSTABLE,1982.848,FAIL,121390.3,FAIL,0.445,FAIL,FAIL,N/A,N/A,md_explosion
MACE MP,top_2_iter2_sample2,LiF,P6_3mc,-4.8205,STABLE,STABLE,0.225,PASS,30.4,FAIL,0.882,PASS,PASS,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
eSEN,top_2_iter2_sample2,LiF,P6_3mc,-4.8205,STABLE,STABLE,0.223,PASS,3.9,PASS,0.529,PASS,PASS,P6_3mc,P1 (1); Cc (9); P6_3mc (186),COMPLETE
UMA,top_2_iter2_sample2,LiF,P6_3mc,-4.8205,STABLE,STABLE,0.238,PASS,4.6,PASS,0.675,PASS,PASS,P6_3mc,P1 (1); Cm (8); P6_3mc (186),COMPLETE
MACE OMAT,top_1_iter2_sample4,LiF,P6_3/mmc,-4.8212,UNSTABLE,UNSTABLE,1.917,FAIL,5.6,PASS,0.37,FAIL,FAIL,Fm-3m,P1 (1); P2_1 (4); Fm-3m (225),COMPLETE
MACE MP,top_1_iter2_sample4,LiF,P6_3/mmc,-4.8212,UNSTABLE,UNSTABLE,0.845,PASS,6.1,FAIL,0.044,FAIL,FAIL,Fm-3m,P1 (1); P-1 (2); Fm-3m (225),COMPLETE
eSEN,top_1_iter2_sample4,LiF,P6_3/mmc,-4.8212,UNSTABLE,UNSTABLE,0.276,PASS,9.4,FAIL,0.438,FAIL,FAIL,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
UMA,top_1_iter2_sample4,LiF,P6_3/mmc,-4.8212,STABLE,STABLE,0.2,PASS,7.1,FAIL,0.579,PASS,PASS,P6_3/mmc,P1 (1); P6_3/mmc (194),COMPLETE
MACE OMAT,top_1_iter4_sample40,LiF,P6_3mc,-4.8264,UNSTABLE,UNSTABLE,0.333,PASS,17.7,FAIL,0.034,FAIL,PASS,P6_3/mmc,P1 (1); Cm (8); P6_3mc (186); P6_3/mmc (194),COMPLETE
MACE MP,top_1_iter4_sample40,LiF,P6_3mc,-4.8264,UNSTABLE,UNSTABLE,0.459,PASS,11.4,FAIL,0.442,FAIL,FAIL,P6_3/mmc,P1 (1); Cm (8); P6_3/mmc (194),COMPLETE
eSEN,top_1_iter4_sample40,LiF,P6_3mc,-4.8264,STABLE,STABLE,0.184,PASS,5.6,PASS,0.465,FAIL,PASS,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
UMA,top_1_iter4_sample40,LiF,P6_3mc,-4.8264,STABLE,STABLE,0.185,PASS,4.7,PASS,0.393,FAIL,PASS,P6_3mc,P1 (1); P6_3mc (186),COMPLETE
MACE OMAT,md_cifs_vibroml_mace_lifsimplecubic_sg_fm3m_energy_m4p982048,LiF,Fm-3m,-4.982048,STABLE,STABLE,0.174,PASS,2.9,PASS,0.281,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
MACE MP,md_cifs_vibroml_mace_lifsimplecubic_sg_fm3m_energy_m4p982048,LiF,Fm-3m,-4.982048,STABLE,STABLE,0.181,PASS,3.7,PASS,0.054,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
eSEN,md_cifs_vibroml_esen_lifsimplecubic_sg_fm3m_energy_m4p982048,LiF,Fm-3m,-4.982048,STABLE,STABLE,0.177,PASS,4.4,PASS,0.29,FAIL,PASS,Fm-3m,P1 (1); Cm (8); Fm-3m (225),COMPLETE
UMA,md_cifs_vibroml_uma_lifsimplecubic_sg_fm3m_energy_m4p982048,LiF,Fm-3m,-4.982048,STABLE,STABLE,0.177,PASS,4.0,PASS,0.219,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
MACE OMAT,optrandom_unique_9_iter1_sample88,LiF,P1,-6.6204,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_9_iter1_sample88,LiF,P1,-6.6204,UNSTABLE,UNSTABLE,4.502,FAIL,3.5,PASS,0.912,PASS,FAIL,P1,P1 (1),COMPLETE
MACE OMAT,optrandom_unique_8_iter1_sample32,LiF,P1,-6.6816,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_8_iter1_sample32,LiF,P1,-6.6816,STABLE,STABLE,0.682,PASS,4.4,PASS,0.858,PASS,PASS,F-43m,P1 (1); F-43m (216),COMPLETE
MACE OMAT,optrandom_unique_7_iter1_sample64,LiF,P1,-6.6909,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_7_iter1_sample64,LiF,P1,-6.6909,UNSTABLE,UNSTABLE,2.183,FAIL,3.3,PASS,0.03,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
MACE OMAT,optrandom_unique_6_iter1_sample16,LiF,P1,-6.696,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_6_iter1_sample16,LiF,P1,-6.696,STABLE,STABLE,1.993,FAIL,2.6,PASS,0.605,PASS,PASS,P1,P1 (1),COMPLETE
MACE OMAT,optrandom_unique_5_iter1_sample72,LiF,P1,-6.7013,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_5_iter1_sample72,LiF,P1,-6.7013,UNSTABLE,UNSTABLE,4.044,FAIL,17.1,FAIL,0.753,PASS,PASS,P1,P1 (1),COMPLETE
MACE OMAT,optrandom_unique_4_iter1_sample80,LiF,P1,-6.7026,UNSTABLE,UNSTABLE,5.504,FAIL,8.5,FAIL,0.197,FAIL,PASS,P1,P1 (1),COMPLETE
MACE MP,optrandom_unique_4_iter1_sample80,LiF,P1,-6.7026,UNSTABLE,UNSTABLE,1.565,FAIL,2.9,PASS,0.401,FAIL,FAIL,R3m,P1 (1); R3m (160),COMPLETE
MACE OMAT,optrandom_unique_3_iter1_sample22,LiF,P1,-8.383,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_3_iter1_sample22,LiF,P1,-8.383,UNSTABLE,UNSTABLE,3.043,FAIL,4.2,PASS,0.852,PASS,FAIL,Cm,P1 (1); Cm (8),COMPLETE
MACE OMAT,optrandom_unique_2_iter1_sample4,LiF,P1,-8.5293,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_unique_2_iter1_sample4,LiF,P1,-8.5293,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE OMAT,optrandom_unique_1_iter1_sample12,LiF,P1,-8.6116,FAILED_UNSTABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,md_explosion
MACE MP,optrandom_unique_1_iter1_sample12,LiF,P1,-8.6116,STABLE,STABLE,0.717,PASS,3.8,PASS,0.075,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
eSEN,optrandom_unique_1_iter1_sample12,LiF,P1,-8.6116,STABLE,STABLE,0.713,PASS,4.3,PASS,0.237,FAIL,PASS,Fm-3m,P1 (1); P-1 (2); Fm-3m (225),COMPLETE
UMA,optrandom_unique_1_iter1_sample12,LiF,P1,-8.6116,STABLE,STABLE,0.586,PASS,4.9,PASS,0.232,FAIL,PASS,Fm-3m,P1 (1); P-1 (2); Fm-3m (225),COMPLETE
MACE OMAT,optrandom_top_4,LiF,Pm,-11.8712,FAILED_UNSTABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,md_explosion
