# Frequency(THz)  DOS_Intensity
-4.184897292673002589e+00 7.120844373361095818e-03
-4.053977659355234131e+00 1.741138998614954758e+01
-3.923058026037465673e+00 5.977594480808429722e+01
-3.792138392719696771e+00 9.786346836575749819e+01
-3.661218759401928313e+00 1.288966799257403864e+02
-3.530299126084159411e+00 2.052125959536417668e+02
-3.399379492766391397e+00 2.587509763086068233e+02
-3.268459859448622495e+00 3.655509096090966636e+02
-3.137540226130854037e+00 4.505439744668837534e+02
-3.006620592813085135e+00 5.480400225668594203e+02
-2.875700959495316678e+00 6.639696974104097080e+02
-2.744781326177548664e+00 7.697106452476381264e+02
-2.613861692859779762e+00 8.858964959354527764e+02
-2.482942059542011304e+00 9.870211240282002336e+02
-2.352022426224242402e+00 1.113226572771087604e+03
-2.221102792906473944e+00 1.295265864338421807e+03
-2.090183159588705042e+00 1.482976967535039421e+03
-1.959263526270936584e+00 1.660970617620257599e+03
-1.828343892953167904e+00 1.965312656952401994e+03
-1.697424259635399224e+00 2.289477290130079837e+03
-1.566504626317630544e+00 2.387449488195642971e+03
-1.435584992999862308e+00 2.228636420321643527e+03
-1.304665359682093628e+00 1.979931870428775937e+03
-1.173745726364324948e+00 1.698841433087686028e+03
-1.042826093046556268e+00 1.630689673427964408e+03
-9.119064597287876994e-01 1.503683188758431015e+03
-7.809868264110190195e-01 1.247986463260113851e+03
-6.500671930932504505e-01 9.967655015163109056e+02
-5.191475597754822147e-01 8.201331300722694095e+02
-3.882279264577135347e-01 6.162260662060459708e+02
-2.573082931399448547e-01 4.132943554886812194e+02
-1.263886598221762025e-01 2.057562264026313983e+02
4.530973495592447928e-03 2.961911252315575993e+01
1.354506068133611019e-01 2.163409024190985690e+02
2.663702401311297541e-01 4.206029153576008071e+02
3.972898734488984340e-01 6.320574751502584832e+02
5.282095067666671140e-01 8.193173275263611686e+02
6.591291400844356829e-01 1.024580616950423519e+03
7.900487734022043629e-01 1.256879233817113573e+03
9.209684067199730428e-01 1.472927175939803192e+03
1.051888040037741723e+00 1.625656181698212094e+03
1.182807673355509515e+00 1.777769769755736206e+03
1.313727306673278195e+00 1.851669711219088867e+03
1.444646939991046874e+00 1.949057039246132490e+03
1.575566573308815554e+00 2.166359934736182822e+03
1.706486206626584012e+00 2.413471815194705414e+03
1.837405839944352692e+00 2.671342832577320678e+03
1.968325473262121372e+00 2.764904223335935512e+03
2.099245106579890052e+00 2.879956290646840898e+03
2.230164739897658954e+00 3.202217588693722064e+03
2.361084373215427412e+00 3.330047593467653769e+03
2.492004006533195870e+00 3.636878437541038693e+03
2.622923639850964772e+00 3.931430854462363641e+03
2.753843273168733230e+00 4.394881934013691534e+03
2.884762906486502132e+00 4.019329501617151891e+03
3.015682539804270590e+00 3.584184692707848171e+03
3.146602173122038604e+00 3.364544590128235086e+03
3.277521806439807062e+00 3.197726988754271133e+03
3.408441439757575964e+00 3.645561456558098598e+03
3.539361073075344422e+00 3.548392441204876377e+03
3.670280706393112879e+00 3.781906339753782049e+03
3.801200339710881781e+00 3.878305781551834116e+03
3.932119973028650239e+00 4.322735211567494844e+03
4.063039606346419141e+00 4.388732193048038425e+03
4.193959239664187599e+00 4.412807394301606109e+03
4.324878872981956057e+00 4.480848615487497227e+03
4.455798506299725403e+00 4.596549443919087025e+03
4.586718139617493861e+00 4.771399416391241175e+03
4.717637772935262319e+00 4.784200888702849625e+03
4.848557406253030777e+00 4.764188213522168553e+03
4.979477039570799235e+00 4.937648152579689850e+03
5.110396672888568581e+00 4.970741408949250399e+03
5.241316306206337039e+00 5.184224207099216983e+03
5.372235939524105497e+00 5.263687511087498933e+03
5.503155572841873955e+00 5.418572424200792739e+03
5.634075206159643301e+00 4.936097245673923680e+03
5.764994839477411759e+00 4.697808220750487635e+03
5.895914472795180217e+00 4.219259486035914961e+03
6.026834106112948675e+00 4.195068670829715302e+03
6.157753739430717133e+00 4.030065620135897461e+03
6.288673372748486479e+00 4.283173865497774386e+03
6.419593006066253160e+00 4.844158854779725516e+03
6.550512639384021618e+00 5.559814406991069518e+03
6.681432272701790076e+00 5.421157749410705037e+03
6.812351906019559422e+00 5.183477061377110658e+03
6.943271539337327880e+00 5.335671479132928653e+03
7.074191172655096338e+00 5.149606699307481904e+03
7.205110805972864796e+00 4.946060328243823278e+03
7.336030439290634142e+00 4.627088218082551066e+03
7.466950072608402600e+00 4.103933245437261576e+03
7.597869705926171058e+00 4.032859805503943335e+03
7.728789339243939516e+00 3.869281134346573253e+03
7.859708972561707974e+00 4.475487476039214926e+03
7.990628605879477320e+00 4.555661025458755830e+03
8.121548239197245778e+00 4.194000707541819793e+03
8.252467872515014236e+00 4.237409412220398735e+03
8.383387505832782693e+00 4.480101827053877059e+03
8.514307139150551151e+00 4.290625121786437376e+03
8.645226772468319609e+00 3.776730301530411907e+03
8.776146405786088067e+00 3.135046632066163056e+03
8.907066039103858301e+00 2.240883444666813830e+03
9.037985672421626759e+00 1.872026989262865300e+03
9.168905305739395217e+00 1.750212761391484719e+03
9.299824939057163675e+00 2.086667943139219915e+03
9.430744572374932133e+00 2.545574949750228825e+03
9.561664205692700591e+00 3.180569416046675997e+03
9.692583839010469049e+00 3.565450746719702238e+03
9.823503472328237507e+00 4.106317368122156950e+03
9.954423105646005965e+00 4.673144857122516441e+03
1.008534273896377620e+01 4.690432804654982647e+03
1.021626237228154466e+01 4.540049959141751060e+03
1.034718200559931311e+01 4.204918554420672990e+03
1.047810163891707980e+01 3.967230306607043531e+03
1.060902127223484825e+01 3.886272485664555461e+03
1.073994090555261671e+01 3.480029206634233105e+03
1.087086053887038517e+01 3.066485323338792568e+03
1.100178017218815363e+01 3.572563632415412485e+03
1.113269980550592386e+01 3.602053216852568312e+03
1.126361943882369232e+01 3.767402680655427957e+03
1.139453907214146255e+01 3.119971622797930195e+03
1.152545870545922924e+01 2.635546430656671873e+03
1.165637833877699947e+01 2.020217676111001310e+03
1.178729797209476615e+01 1.482458299348468245e+03
1.191821760541253639e+01 1.080140729164771983e+03
1.204913723873030307e+01 7.425356455120730743e+02
1.218005687204807330e+01 7.854366430976419906e+02
1.231097650536584176e+01 1.971624529640496121e+03
1.244189613868361199e+01 2.944550897747838917e+03
1.257281577200137868e+01 4.433876219885130922e+03
1.270373540531914536e+01 3.761699317918753877e+03
1.283465503863691559e+01 8.499890434627462810e+02
1.296557467195468227e+01 8.911636469816937733e+02
1.309649430527245251e+01 1.123985621904319487e+03
1.322741393859021919e+01 8.996157787028187158e+02
1.335833357190798942e+01 7.976649732462990414e+02
1.348925320522575788e+01 7.212231485418640204e+02
1.362017283854352812e+01 8.527077491366817412e+02
1.375109247186129480e+01 9.958056792853100205e+02
1.388201210517906503e+01 1.141881161598299514e+03
1.401293173849683171e+01 1.345973936741191892e+03
1.414385137181460195e+01 1.948118056546537218e+03
1.427477100513236863e+01 2.512269153144518896e+03
1.440569063845013886e+01 3.295701668301357586e+03
1.453661027176790554e+01 3.991002391169870407e+03
1.466752990508567756e+01 3.438477418793590459e+03
1.479844953840344424e+01 2.695036613028380998e+03
1.492936917172121447e+01 2.029334648881176463e+03
1.506028880503898115e+01 2.522542202141248708e+02
1.519120843835675139e+01 8.085800885999533394e-01
1.532212807167451807e+01 2.569244510346901620e-12
1.545304770499228830e+01 2.335556467497136940e-27
1.558396733831005498e+01 1.962503582915100966e-07
1.571488697162782522e+01 1.944592052918780567e+01
1.584580660494559368e+01 9.256722938893706214e+02
1.597672623826336391e+01 2.755908205655471193e+03
1.610764587158113059e+01 2.986149673546286522e+03
1.623856550489890083e+01 2.481501680310036136e+03
1.636948513821666751e+01 2.227772808139076005e+03
1.650040477153443774e+01 1.772939563369614916e+03
1.663132440485220442e+01 1.793884539227031610e+03
1.676224403816997466e+01 1.755463921296981653e+03
1.689316367148774134e+01 1.711670291169166831e+03
1.702408330480550802e+01 1.799117871043681589e+03
1.715500293812327826e+01 1.648229649523207627e+03
1.728592257144104494e+01 1.532838174163734038e+03
1.741684220475881517e+01 1.530635342184029469e+03
1.754776183807658541e+01 1.870686182352248352e+03
1.767868147139435564e+01 1.900344304840245968e+03
1.780960110471212232e+01 2.024008651366212234e+03
1.794052073802989256e+01 1.580495351027204833e+03
1.807144037134765924e+01 1.325481951681130113e+03
1.820236000466542947e+01 1.362774681214309567e+03
1.833327963798319615e+01 1.688845894930065469e+03
1.846419927130096639e+01 2.119983230609682323e+03
1.859511890461873307e+01 2.153934929387075954e+03
1.872603853793650330e+01 1.635378327445684818e+03
1.885695817125426998e+01 1.491532291000589112e+03
1.898787780457204022e+01 1.623722815009694159e+03
1.911879743788980690e+01 2.081916597919468131e+03
1.924971707120757713e+01 2.202256135369575077e+03
1.938063670452534382e+01 2.071114597562765539e+03
1.951155633784311405e+01 2.444030774702464896e+03
1.964247597116088073e+01 2.670555261651071305e+03
1.977339560447865097e+01 2.525628731357988272e+03
1.990431523779642120e+01 2.118926755403343577e+03
2.003523487111419144e+01 1.311140381631823857e+03
2.016615450443195812e+01 1.587088705099075014e+03
2.029707413774972835e+01 9.023216339590645703e+02
2.042799377106749503e+01 1.088045212784169280e+03
2.055891340438526527e+01 1.304650621064006828e+03
2.068983303770303195e+01 1.615124501781144318e+03
2.082075267102080218e+01 1.597381483859804121e+03
2.095167230433856886e+01 1.801500969246802697e+03
2.108259193765633555e+01 2.444070357729719035e+03
2.121351157097410578e+01 3.127546825655605971e+03
2.134443120429187246e+01 3.239762544456285013e+03
2.147535083760964270e+01 3.191304595989417066e+03
2.160627047092740938e+01 2.032095232208247126e+03
2.173719010424517961e+01 9.845800691045415078e+02
2.186810973756294629e+01 2.379993332328976252e-01
