ID    Space Group     Atoms    Energy (eV/atom)     Prim. Atoms     Filename
----------------------------------------------------------------------------------------------------
1     Cc              44       -6.031730            44              unique_1_sg_Cc_energy_m6p031730
2     P2_1            88       -6.030819            44              unique_2_sg_P2_1_energy_m6p030819
3     Pna2_1          88       -6.030352            44              unique_3_sg_Pna2_1_energy_m6p030352
4     P1              352      -6.029892            352             unique_4_sg_P1_energy_m6p029892
5     P1              352      -6.029014            176             unique_5_sg_P1_energy_m6p029014
6     P1              352      -6.021726            352             unique_6_sg_P1_energy_m6p021726
7     P1              176      -6.012297            176             unique_7_sg_P1_energy_m6p012297
8     P1              88       -6.008355            88              unique_8_sg_P1_energy_m6p008355
9     P2_1            176      -6.004968            44              unique_9_sg_P2_1_energy_m6p004968
10    P1              88       -6.001442            88              unique_10_sg_P1_energy_m6p001442
11    P2_12_12_1      88       -5.997022            44              unique_11_sg_P2_12_12_1_energy_m5p997022
12    P1              176      -5.996309            88              unique_12_sg_P1_energy_m5p996309
13    P1              176      -5.992713            22              unique_13_sg_P1_energy_m5p992713
14    P1              88       -5.991903            44              unique_14_sg_P1_energy_m5p991903
15    P2_1            176      -5.985935            88              unique_15_sg_P2_1_energy_m5p985935
16    Cc              44       -5.983793            22              unique_16_sg_Cc_energy_m5p983793
17    P1              44       -5.980645            44              unique_17_sg_P1_energy_m5p980645
18    P1              88       -5.975207            44              unique_18_sg_P1_energy_m5p975207
19    P1              88       -5.970168            88              unique_19_sg_P1_energy_m5p970168
20    P1              352      -5.961124            352             unique_20_sg_P1_energy_m5p961124
21    P1              352      -5.958018            352             unique_21_sg_P1_energy_m5p958018
22    P1              176      -5.954582            88              unique_22_sg_P1_energy_m5p954582
23    P1              176      -5.947662            88              unique_23_sg_P1_energy_m5p947662
24    P1              176      -5.947011            44              unique_24_sg_P1_energy_m5p947011
25    P1              352      -5.946412            88              unique_25_sg_P1_energy_m5p946412
26    P1              88       -5.940951            44              unique_26_sg_P1_energy_m5p940951
27    P1              176      -5.940162            176             unique_27_sg_P1_energy_m5p940162
28    P1              176      -5.939007            44              unique_28_sg_P1_energy_m5p939007
29    P1              176      -5.937703            176             unique_29_sg_P1_energy_m5p937703
30    P1              44       -5.931788            44              unique_30_sg_P1_energy_m5p931788
31    P1              352      -5.921770            88              unique_31_sg_P1_energy_m5p921770
32    P2_1            176      -5.907192            44              unique_32_sg_P2_1_energy_m5p907192
33    P1              176      -5.906059            88              unique_33_sg_P1_energy_m5p906059
34    P1              352      -5.905504            352             unique_34_sg_P1_energy_m5p905504
35    P1              88       -5.903839            88              unique_35_sg_P1_energy_m5p903839
36    P1              88       -5.900498            44              unique_36_sg_P1_energy_m5p900498
37    P2_1            88       -5.899221            44              unique_37_sg_P2_1_energy_m5p899221
38    P1              176      -5.897485            88              unique_38_sg_P1_energy_m5p897485
39    P1              176      -5.896941            44              unique_39_sg_P1_energy_m5p896941
40    P1              176      -5.893441            44              unique_40_sg_P1_energy_m5p893441
41    P2_1            88       -5.892686            44              unique_41_sg_P2_1_energy_m5p892686
42    P1              176      -5.889818            88              unique_42_sg_P1_energy_m5p889818
43    P1              88       -5.886121            44              unique_43_sg_P1_energy_m5p886121
44    P1              88       -5.884731            44              unique_44_sg_P1_energy_m5p884731
45    P1              176      -5.883908            44              unique_45_sg_P1_energy_m5p883908
46    P1              88       -5.880986            44              unique_46_sg_P1_energy_m5p880986
47    P1              88       -5.879712            44              unique_47_sg_P1_energy_m5p879712
48    P1              44       -5.875600            44              unique_48_sg_P1_energy_m5p875600
49    P1              88       -5.874909            88              unique_49_sg_P1_energy_m5p874909
50    P1              44       -5.872643            44              unique_50_sg_P1_energy_m5p872643
51    P1              176      -5.869989            44              unique_51_sg_P1_energy_m5p869989
52    P1              88       -5.867043            44              unique_52_sg_P1_energy_m5p867043
53    P1              352      -5.866204            88              unique_53_sg_P1_energy_m5p866204
54    P1              176      -5.864861            44              unique_54_sg_P1_energy_m5p864861
55    P1              176      -5.863857            88              unique_55_sg_P1_energy_m5p863857
56    P1              88       -5.863279            88              unique_56_sg_P1_energy_m5p863279
57    P1              352      -5.862400            88              unique_57_sg_P1_energy_m5p862400
58    P1              88       -5.861083            44              unique_58_sg_P1_energy_m5p861083
59    P1              88       -5.860410            44              unique_59_sg_P1_energy_m5p860410
60    P1              176      -5.859517            176             unique_60_sg_P1_energy_m5p859517
61    P1              176      -5.858974            44              unique_61_sg_P1_energy_m5p858974
62    P1              176      -5.858397            176             unique_62_sg_P1_energy_m5p858397
63    P1              44       -5.857384            44              unique_63_sg_P1_energy_m5p857384
64    P1              176      -5.856971            88              unique_64_sg_P1_energy_m5p856971
65    P1              352      -5.856458            352             unique_65_sg_P1_energy_m5p856458
66    P1              44       -5.853156            44              unique_66_sg_P1_energy_m5p853156
67    P1              176      -5.851277            88              unique_67_sg_P1_energy_m5p851277
68    P1              88       -5.849263            88              unique_68_sg_P1_energy_m5p849263
69    P1              176      -5.848647            88              unique_69_sg_P1_energy_m5p848647
70    P1              88       -5.847382            88              unique_70_sg_P1_energy_m5p847382
71    P1              176      -5.846862            88              unique_71_sg_P1_energy_m5p846862
72    P1              176      -5.846280            88              unique_72_sg_P1_energy_m5p846280
73    P1              88       -5.845729            44              unique_73_sg_P1_energy_m5p845729
74    P1              44       -5.844199            44              unique_74_sg_P1_energy_m5p844199
75    P1              352      -5.843983            88              unique_75_sg_P1_energy_m5p843983
76    P1              176      -5.843379            88              unique_76_sg_P1_energy_m5p843379
77    P1              176      -5.842459            88              unique_77_sg_P1_energy_m5p842459
78    P1              88       -5.841203            88              unique_78_sg_P1_energy_m5p841203
79    P1              176      -5.839250            88              unique_79_sg_P1_energy_m5p839250
80    P1              176      -5.838834            44              unique_80_sg_P1_energy_m5p838834
81    P1              88       -5.836571            44              unique_81_sg_P1_energy_m5p836571
82    P1              176      -5.835734            88              unique_82_sg_P1_energy_m5p835734
83    P1              176      -5.833514            176             unique_83_sg_P1_energy_m5p833514
84    P1              176      -5.832693            44              unique_84_sg_P1_energy_m5p832693
85    P1              176      -5.831540            176             unique_85_sg_P1_energy_m5p831540
86    P1              88       -5.829797            88              unique_86_sg_P1_energy_m5p829797
