--- Relaxation Summary for Main Iteration 1, GA Generation 1 ---
Analysis Date: 2026-01-08 04:55:49

--- GA Mutation Tracking Summary ---
Total Individuals: 100
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -6.011008 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -6.511008 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 55 (55.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
176          P2_1            monoclinic         -6.030819                 1          1        42       D1:8.023, R21:1.168, Cell:(-0.072, 0.206, 0.465, 3.729, -5.918, -3.447), SC:1x1x2, PhFactor:False
352          P1              triclinic          -6.030522                 1          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.030522                 1          1        21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.030522                 1          1        20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029892                 1          1        25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029892                 1          1        26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029892                 1          1        27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029719                 1          1        18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029719                 1          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029719                 1          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029552                 1          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029552                 1          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029552                 1          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029530                 1          1        12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029530                 1          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029530                 1          1        10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -6.029530                 1          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
