--- Relaxation Summary for Main Iteration 1, GA Generation 3 ---
Analysis Date: 2026-01-08 13:36:45

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -6.011008 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -6.511008 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 41 (82.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
176          P2_12_12_1      orthorhombic       -6.031435                 1          3        1        D1:4.000, R21:0.615, Cell:(-0.070, 0.040, 0.465, -10.455, -5.918, -3.447), SC:1x1x2, PhFactor:True
352          P2_12_12_1      orthorhombic       -6.031435                 1          3        35       D1:7.026, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, -3.447), SC:1x4x1, PhFactor:False
352          P2_12_12_1      orthorhombic       -6.031435                 1          3        15       D1:4.000, R21:0.000, Cell:(0.128, -0.199, -0.070, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:False
176          P2_12_12_1      orthorhombic       -6.031435                 1          3        32       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 11.755), SC:1x1x2, PhFactor:False
176          P2_1            monoclinic         -6.030819                 1          3        40       D1:4.000, R21:-1.302, Cell:(-0.070, -0.070, 0.235, 3.729, -5.918, -3.447), SC:1x1x2, PhFactor:False
176          P2_1            monoclinic         -6.030819                 1          3        38       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, 0.235, 3.729, -5.918, -3.447), SC:2x1x1, PhFactor:False
176          P2_1            monoclinic         -6.030819                 1          3        7        D1:1.294, R21:0.615, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, -3.447), SC:1x1x2, PhFactor:False
352          P2_1            monoclinic         -6.030819                 1          3        14       D1:4.462, R21:-0.764, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, -3.447), SC:1x4x1, PhFactor:False
704          P2_1            monoclinic         -6.030819                 1          3        20       D1:0.763, R21:1.220, Cell:(-0.070, -0.070, 0.080, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
176          P2_1            monoclinic         -6.030819                 1          3        41       D1:4.011, R21:0.000, Cell:(0.128, -0.070, -0.070, 0.000, 0.000, -3.447), SC:1x1x2, PhFactor:False
352          P2_1            monoclinic         -6.030819                 1          3        44       D1:4.000, R21:-1.059, Cell:(0.129, 0.014, 0.010, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:False
176          P2_1            monoclinic         -6.030819                 1          3        5        D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
176          P2_1            monoclinic         -6.030819                 1          3        25       D1:4.000, R21:0.000, Cell:(-0.070, -0.086, -0.070, 0.000, 0.000, -3.447), SC:1x1x2, PhFactor:True
352          Pna2_1          orthorhombic       -6.030352                 1          3        24       D1:4.000, R21:0.000, Cell:(0.128, -0.070, -0.070, 2.333, 0.000, 0.000), SC:1x4x1, PhFactor:False
176          Pna2_1          orthorhombic       -6.030352                 1          3        2        D1:3.212, R21:0.000, Cell:(0.128, -0.216, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
176          Pna2_1          orthorhombic       -6.030352                 1          3        48       D1:5.219, R21:0.000, Cell:(0.128, -0.070, -0.070, 0.000, -7.987, -3.447), SC:2x1x1, PhFactor:True
176          Pna2_1          orthorhombic       -6.030352                 1          3        50       D1:4.000, R21:0.855, Cell:(0.003, 0.040, 0.465, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
352          Pna2_1          orthorhombic       -6.030352                 1          3        29       D1:4.000, R21:0.000, Cell:(0.128, -0.070, -0.070, 0.000, 0.000, 3.113), SC:1x4x1, PhFactor:False
176          Cc              monoclinic         -6.030263                 1          3        33       D1:6.106, R21:-1.387, Cell:(0.128, -0.070, -0.070, 16.025, 0.000, -3.447), SC:1x1x2, PhFactor:False
176          Cc              monoclinic         -6.030263                 1          3        31       D1:4.462, R21:-0.764, Cell:(0.011, 0.160, -0.070, 3.729, -5.918, 10.518), SC:1x1x2, PhFactor:True
352          Cc              monoclinic         -6.030263                 1          3        45       D1:5.118, R21:0.000, Cell:(0.128, -0.070, -0.106, 0.000, 0.000, -3.447), SC:1x4x1, PhFactor:False
352          Cc              monoclinic         -6.030263                 1          3        34       D1:4.000, R21:0.000, Cell:(0.128, -0.070, -0.070, 0.000, 0.000, -11.102), SC:1x4x1, PhFactor:False
88           Cc              monoclinic         -6.030263                 1          3        27       D1:4.000, R21:0.615, Cell:(-0.070, 0.040, 0.465, -10.455, 0.000, 0.000), SC:1x1x1, PhFactor:True
88           Cc              monoclinic         -6.030263                 1          3        43       D1:4.000, R21:0.000, Cell:(-0.070, -0.255, 0.373, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
352          P1              triclinic          -6.028716                 1          3        3        D1:3.192, R21:-0.764, Cell:(-0.091, -0.070, -0.070, 0.000, 0.000, -3.447), SC:1x4x1, PhFactor:True
176          P1              triclinic          -5.996309                 1          3        18       D1:4.000, R21:1.442, Cell:(-0.070, 0.040, 0.465, 0.000, 0.000, -3.447), SC:1x1x2, PhFactor:False
176          P1              triclinic          -5.906059                 1          3        11       D1:4.000, R21:0.615, Cell:(-0.070, -0.007, 0.440, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
176          P1              triclinic          -5.905868                 1          3        22       D1:4.000, R21:0.615, Cell:(-0.302, -0.070, 0.235, 3.729, -5.918, -3.447), SC:1x1x2, PhFactor:True
176          P1              triclinic          -5.897485                 1          3        23       D1:4.000, R21:-0.250, Cell:(-0.070, 0.207, 0.465, -10.455, -5.918, -3.447), SC:1x1x2, PhFactor:False
352          P1              triclinic          -5.870017                 1          3        6        D1:4.000, R21:0.000, Cell:(0.088, 0.040, 0.465, 27.126, -0.359, -3.447), SC:2x2x1, PhFactor:False
352          P1              triclinic          -5.865204                 1          3        13       D1:0.414, R21:0.000, Cell:(0.128, 0.036, -0.070, 0.000, -26.169, -3.447), SC:1x4x1, PhFactor:True
176          P1              triclinic          -5.863857                 1          3        46       D1:4.000, R21:0.615, Cell:(-0.070, -0.070, 0.202, -29.582, 0.000, 0.000), SC:1x1x2, PhFactor:False
352          P1              triclinic          -5.862827                 1          3        28       D1:4.462, R21:-0.764, Cell:(-0.070, -0.070, 0.496, 0.000, 6.454, -3.447), SC:1x4x1, PhFactor:False
352          P1              triclinic          -5.856458                 1          3        12       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, 0.440, 0.000, 0.000, 0.000), SC:1x4x1, PhFactor:True
352          P1              triclinic          -5.843983                 1          3        16       D1:4.000, R21:0.615, Cell:(-0.070, 0.040, 0.465, -10.882, -7.981, 0.000), SC:1x4x1, PhFactor:False
176          P1              triclinic          -5.839250                 1          3        19       D1:4.000, R21:0.000, Cell:(0.390, -0.070, -0.070, -10.455, -5.918, 11.506), SC:1x1x2, PhFactor:True
176          P1              triclinic          -5.835734                 1          3        9        D1:4.000, R21:-1.493, Cell:(-0.070, -0.070, 0.235, 3.729, -5.918, -35.675), SC:1x1x2, PhFactor:False
176          P1              triclinic          -5.831375                 1          3        8        D1:8.023, R21:1.168, Cell:(-0.072, 0.206, 0.465, 3.729, -19.420, -25.840), SC:1x1x2, PhFactor:False
176          P1              triclinic          -5.831204                 1          3        47       D1:4.000, R21:0.000, Cell:(-0.070, 0.040, 0.465, 22.723, -5.918, -3.447), SC:1x1x2, PhFactor:True
176          P1              triclinic          -5.823461                 1          3        37       D1:4.000, R21:0.000, Cell:(0.352, -0.070, 0.440, 0.000, -44.468, 0.000), SC:2x1x1, PhFactor:False
176          P1              triclinic          -5.608558                 1          3        49       D1:8.297, R21:1.025, Cell:(0.302, -0.471, 0.407, 16.160, 7.162, 20.474), SC:2x1x1, PhFactor:True
