# Frequency(THz)  DOS_Intensity
-3.760901062252220761e+00 3.711675722354832417e-03
-3.636879123528759195e+00 8.567989389538920975e+00
-3.512857184805298516e+00 3.649248609712388713e+01
-3.388835246081836949e+00 6.433966260416036675e+01
-3.264813307358375383e+00 9.708724749308439073e+01
-3.140791368634914260e+00 1.484452362604752977e+02
-3.016769429911453138e+00 1.989643765703242480e+02
-2.892747491187992015e+00 2.382525875534178113e+02
-2.768725552464530448e+00 2.840306722773093497e+02
-2.644703613741068882e+00 3.141467515144715321e+02
-2.520681675017607759e+00 3.565117606146104094e+02
-2.396659736294146636e+00 4.014814593946929335e+02
-2.272637797570685514e+00 4.258872854361684404e+02
-2.148615858847223947e+00 4.611267933778576662e+02
-2.024593920123762381e+00 5.087410172967220205e+02
-1.900571981400301036e+00 5.448593484619623268e+02
-1.776550042676839913e+00 5.334893924079424323e+02
-1.652528103953378569e+00 5.417963024243539394e+02
-1.528506165229917446e+00 5.700029759083096224e+02
-1.404484226506455880e+00 5.734358040876807081e+02
-1.280462287782994979e+00 5.762181693975337566e+02
-1.156440349059533412e+00 5.809545278671555479e+02
-1.032418410336072068e+00 5.563544208371364448e+02
-9.083964716126109451e-01 5.230762588163553346e+02
-7.843745328891494895e-01 4.819111821982353376e+02
-6.603525941656880338e-01 4.376590438633559756e+02
-5.363306554422269112e-01 3.794877132683217269e+02
-4.123087167187655111e-01 3.085910112011334832e+02
-2.882867779953039999e-01 2.291579556911686382e+02
-1.642648392718429884e-01 1.290857413311725281e+02
-4.024290054838151193e-02 3.348462060893994163e+01
8.377903817507953432e-02 6.452753105038755166e+01
2.078009768985409900e-01 1.644176419008221615e+02
3.318229156220024456e-01 2.495085524981106175e+02
4.558448543454639568e-01 3.513733669943475206e+02
5.798667930689245242e-01 4.567446288761422579e+02
7.038887317923859799e-01 5.501612826019340901e+02
8.279106705158475465e-01 6.614847590438420184e+02
9.519326092393090022e-01 8.190996581912312422e+02
1.075954547962770347e+00 9.306728985984582323e+02
1.199976486686231025e+00 1.091037343328576071e+03
1.323998425409692592e+00 1.203856897298736385e+03
1.448020364133153937e+00 1.379027742966555024e+03
1.572042302856615503e+00 1.495151245604784435e+03
1.696064241580076848e+00 1.650699803475606132e+03
1.820086180303538415e+00 1.874363096221455180e+03
1.944108119026999093e+00 1.871225215775994229e+03
2.068130057750460438e+00 2.095505053412572579e+03
2.192151996473922004e+00 2.273715326881109831e+03
2.316173935197383571e+00 2.128112979220746638e+03
