# Frequency(THz)  DOS_Intensity
-2.960037470305967755e+00 5.575345780071025784e-03
-2.827357440791486543e+00 1.439143807150689369e+01
-2.694677411277005774e+00 4.174467876627537777e+01
-2.561997381762525450e+00 1.078105698856587225e+02
-2.429317352248044681e+00 3.175198845263528824e+02
-2.296637322733563469e+00 5.054949563112458577e+02
-2.163957293219082700e+00 7.052327757994387412e+02
-2.031277263704601932e+00 8.701037243098214731e+02
-1.898597234190121386e+00 9.490601695096446520e+02
-1.765917204675640173e+00 1.072807557175858847e+03
-1.633237175161159627e+00 1.149573973262533400e+03
-1.500557145646678636e+00 1.196661272917384622e+03
-1.367877116132197868e+00 1.190383305518756288e+03
-1.235197086617717099e+00 1.173117629479275365e+03
-1.102517057103236331e+00 1.151222374607818665e+03
-9.698370275887555625e-01 1.138717868728075928e+03
-8.371569980742746830e-01 1.050428410539291463e+03
-7.044769685597938036e-01 9.110552705173765844e+02
-5.717969390453129241e-01 7.752804347181786397e+02
-4.391169095308324333e-01 6.363110052490509361e+02
-3.064368800163515538e-01 4.713458651376037096e+02
-1.737568505018706744e-01 2.665348491470625163e+02
-4.107682098738980186e-02 6.449910180019902839e+01
9.160320852709108452e-02 1.363825327595580461e+02
2.242832380415719640e-01 3.491649161596558884e+02
3.569632675560524548e-01 5.653088003486021762e+02
4.896432970705333343e-01 8.178881776990267554e+02
6.223233265850142137e-01 1.063759823366034880e+03
7.550033560994950932e-01 1.389894404982117067e+03
8.876833856139759726e-01 1.646241914782714503e+03
1.020363415128456408e+00 2.047514693937018592e+03
1.153043444642937843e+00 2.477079176665065006e+03
1.285723474157418167e+00 2.939528789555828553e+03
1.418403503671898713e+00 3.467012093762166387e+03
1.551083533186379926e+00 3.997582208168559646e+03
1.683763562700860472e+00 4.380437993490945701e+03
1.816443592215341685e+00 4.918587473082367069e+03
1.949123621729822231e+00 5.232238276972984750e+03
2.081803651244302777e+00 5.378412831389217899e+03
2.214483680758783990e+00 5.231208140505797928e+03
2.347163710273264314e+00 5.102399391561879384e+03
2.479843739787745971e+00 5.282746531962064182e+03
2.612523769302226295e+00 5.121597911101516729e+03
2.745203798816706620e+00 4.866039907933703944e+03
2.877883828331187832e+00 4.901106610977712080e+03
3.010563857845668601e+00 5.188145961270407497e+03
3.143243887360149813e+00 4.732563197397375006e+03
3.275923916874630137e+00 4.579511819153301076e+03
3.408603946389111350e+00 4.696679123207787597e+03
3.541283975903592118e+00 4.891169755475695638e+03
3.673964005418072443e+00 4.576780367556839337e+03
3.806644034932553655e+00 4.418095255411793914e+03
3.939324064447034424e+00 4.774399319793472387e+03
4.072004093961515636e+00 4.633618240839126884e+03
4.204684123475995960e+00 4.388055561445793501e+03
4.337364152990476285e+00 4.486569166378732007e+03
4.470044182504957497e+00 4.505217857032881511e+03
4.602724212019438710e+00 4.470983671930522178e+03
4.735404241533919922e+00 4.736778286455130001e+03
4.868084271048399359e+00 5.069619456320850986e+03
5.000764300562880571e+00 5.302416109406154646e+03
5.133444330077361784e+00 5.161139477403775345e+03
5.266124359591842996e+00 4.983645752374559379e+03
5.398804389106322432e+00 4.724643127878837731e+03
5.531484418620803645e+00 4.823071994886136054e+03
5.664164448135285745e+00 4.894611989936560349e+03
5.796844477649765182e+00 4.837034132978785237e+03
5.929524507164246394e+00 4.491676845678315658e+03
6.062204536678727607e+00 4.006269158751540090e+03
6.194884566193208819e+00 4.373765578306041789e+03
6.327564595707688255e+00 3.921969407331658658e+03
6.460244625222169468e+00 3.575665643798164183e+03
6.592924654736651568e+00 3.588713284406630919e+03
6.725604684251131005e+00 3.466168901173032737e+03
6.858284713765612217e+00 3.111531183288725970e+03
6.990964743280093430e+00 4.429464345574087929e+03
7.123644772794572866e+00 4.131032552694753576e+03
7.256324802309054078e+00 3.953477382534082153e+03
7.389004831823535291e+00 2.912383382421613533e+03
7.521684861338016503e+00 2.749980559287228061e+03
7.654364890852495940e+00 2.905064413874183174e+03
7.787044920366978928e+00 2.350847988971092036e+03
7.919724949881458365e+00 2.491116381332353285e+03
8.052404979395937801e+00 3.168709678739170158e+03
8.185085008910421678e+00 2.897110077352289409e+03
8.317765038424900226e+00 3.341653318661383310e+03
8.450445067939380550e+00 3.450016372257376588e+03
8.583125097453862651e+00 3.705756265356374570e+03
8.715805126968342975e+00 2.391417793128039648e+03
8.848485156482825076e+00 2.221501973683467440e+03
8.981165185997305400e+00 1.779615099653192829e+03
9.113845215511785725e+00 2.094814846506284994e+03
9.246525245026267825e+00 2.306909750344478198e+03
9.379205274540748150e+00 2.941467198964643558e+03
9.511885304055226698e+00 3.178647472678486793e+03
9.644565333569710575e+00 3.263852705935230915e+03
9.777245363084189123e+00 2.516960666457106981e+03
9.909925392598669447e+00 2.456292188180513222e+03
1.004260542211315332e+01 2.707875507785625814e+03
1.017528545162763187e+01 3.341905813761846730e+03
1.030796548114211220e+01 2.758900056122332444e+03
1.044064551065659430e+01 2.881232779818893960e+03
1.057332554017107462e+01 2.342388605457818358e+03
1.070600556968555317e+01 2.816925655041161463e+03
1.083868559920003705e+01 2.039075822977936923e+03
1.097136562871451737e+01 1.780483745186056922e+03
1.110404565822899947e+01 3.350456026324359300e+03
1.123672568774347980e+01 2.935008456996143650e+03
1.136940571725795834e+01 2.880519448071385796e+03
1.150208574677244222e+01 3.472009793033542792e+03
1.163476577628692077e+01 3.131173493507054445e+03
1.176744580580140109e+01 2.967683355579725685e+03
1.190012583531588497e+01 2.819732960065813131e+03
1.203280586483036352e+01 3.225387952964014858e+03
1.216548589434484384e+01 3.721459154643529018e+03
1.229816592385932239e+01 3.949243196788087062e+03
1.243084595337380627e+01 3.857769971223260200e+03
1.256352598288828482e+01 3.169295711774654592e+03
1.269620601240276514e+01 2.829790642295531597e+03
1.282888604191724902e+01 2.881574965015657199e+03
1.296156607143172756e+01 2.750528228960752131e+03
1.309424610094621144e+01 2.647809507289879548e+03
1.322692613046068999e+01 2.674186482450111725e+03
1.335960615997517031e+01 3.120401877766367761e+03
1.349228618948965241e+01 2.330205552322703170e+03
1.362496621900413274e+01 2.177604739596632953e+03
1.375764624851861306e+01 2.473266568765393004e+03
1.389032627803309516e+01 3.634583524924571066e+03
1.402300630754757549e+01 2.611468235787697722e+03
1.415568633706205404e+01 2.767315103762225590e+03
1.428836636657653791e+01 3.105756002463762343e+03
1.442104639609101646e+01 2.537603338310957042e+03
1.455372642560549679e+01 2.365546495095823957e+03
1.468640645511997889e+01 2.577305726991626216e+03
1.481908648463445921e+01 2.757193438475989296e+03
1.495176651414893954e+01 2.735250996231151930e+03
1.508444654366342164e+01 2.432745877183197535e+03
1.521712657317790196e+01 2.796473547358183168e+03
1.534980660269238406e+01 2.173472732526550317e+03
1.548248663220686439e+01 2.529447091924820597e+03
1.561516666172134471e+01 2.769822267524786184e+03
1.574784669123582681e+01 2.018500035271873458e+03
1.588052672075030713e+01 2.919333621230620338e+03
1.601320675026478568e+01 2.838709273507990019e+03
1.614588677977926778e+01 2.429069328441686139e+03
1.627856680929374988e+01 2.412969076227290770e+03
1.641124683880822843e+01 1.779784195765685354e+03
1.654392686832271053e+01 2.118809561683694938e+03
