# Frequency(THz)  DOS_Intensity
-2.779857455322459536e+00 9.144391267056180966e-03
-2.634778231576899277e+00 1.274411911782344475e+02
-2.489699007831338573e+00 3.901990214722715677e+02
-2.344619784085778313e+00 5.817491410854155447e+02
-2.199540560340218054e+00 7.751410056317163253e+02
-2.054461336594657350e+00 1.073010995389685831e+03
-1.909382112849096869e+00 1.176604050486959295e+03
-1.764302889103536609e+00 1.324623569936101831e+03
-1.619223665357975905e+00 1.389495305210691640e+03
-1.474144441612415424e+00 1.479843729227129188e+03
-1.329065217866855164e+00 1.455160088107972115e+03
-1.183985994121294683e+00 1.356579333511044979e+03
-1.038906770375733979e+00 1.311827572963347166e+03
-8.938275466301737193e-01 1.258330287934474200e+03
-7.487483228846134597e-01 1.139342519609190958e+03
-6.036690991390526451e-01 9.997470106186026442e+02
-4.585898753934923300e-01 8.183611999620238748e+02
-3.135106516479320149e-01 5.724547760269176706e+02
-1.684314279023712835e-01 3.188656087690317236e+02
-2.335220415681095452e-02 5.169659063966568624e+01
1.217270195887493744e-01 2.276115344386271317e+02
2.668062433343101336e-01 5.235647570941074491e+02
4.118854670798704487e-01 8.227551061709623355e+02
5.569646908254307638e-01 1.202057371590773982e+03
7.020439145709914674e-01 1.589695038169475538e+03
8.471231383165518380e-01 2.053621877906725331e+03
9.922023620621120976e-01 2.477636681734001741e+03
1.137281585807672801e+00 2.977448502782606283e+03
1.282360809553232839e+00 3.502358490829437415e+03
1.427440033298793542e+00 3.823954373080043297e+03
1.572519257044354246e+00 4.204263632039716867e+03
1.717598480789914284e+00 4.782880719277193748e+03
1.862677704535474987e+00 4.943984809931243035e+03
2.007756928281035691e+00 5.359129940570633153e+03
2.152836152026595506e+00 5.396784591572746649e+03
2.297915375772156210e+00 5.518299632219062005e+03
2.442994599517716914e+00 4.923067186068759838e+03
2.588073823263276729e+00 4.809184186668612710e+03
2.733153047008837877e+00 5.005098587691654757e+03
2.878232270754398581e+00 4.957939142576949052e+03
3.023311494499958396e+00 4.972192115913383532e+03
3.168390718245519100e+00 5.007682351696576916e+03
3.313469941991079804e+00 5.180623267335822675e+03
3.458549165736639619e+00 5.500378578020203349e+03
3.603628389482200323e+00 5.762777142643593834e+03
3.748707613227761026e+00 5.926009286803319810e+03
3.893786836973321730e+00 6.075925127129087741e+03
4.038866060718881101e+00 5.983126534335771794e+03
4.183945284464442693e+00 5.506051884556554796e+03
4.329024508210002509e+00 5.812712749781443563e+03
4.474103731955563212e+00 5.624326265668068118e+03
4.619182955701123028e+00 5.186271213539033852e+03
4.764262179446684620e+00 5.224557956549873779e+03
4.909341403192244435e+00 4.761149153039244084e+03
5.054420626937806027e+00 4.211968520855628412e+03
5.199499850683365842e+00 4.762050956781842615e+03
5.344579074428925658e+00 4.582187409971894340e+03
5.489658298174487250e+00 4.156954590175516387e+03
5.634737521920047065e+00 4.095523623580933872e+03
5.779816745665606881e+00 3.693501736054251523e+03
5.924895969411168473e+00 3.615600726129381201e+03
