# Frequency(THz)  DOS_Intensity
-3.908876640989634499e+00 4.584322281379217719e-03
-3.784323820665719040e+00 4.236502321543550664e+00
-3.659771000341804470e+00 1.157787742226646621e+01
-3.535218180017889011e+00 1.886537817402236428e+01
-3.410665359693973553e+00 2.438338181099965141e+01
-3.286112539370058983e+00 3.347828289810568947e+01
-3.161559719046143524e+00 7.568400557211909074e+01
-3.037006898722228510e+00 1.226356239991477537e+02
-2.912454078398313051e+00 1.861395910929139461e+02
-2.787901258074398037e+00 2.666679248888542588e+02
-2.663348437750483022e+00 3.458488099324188738e+02
-2.538795617426568008e+00 3.937318463751665831e+02
-2.414242797102652549e+00 4.138579216843981499e+02
-2.289689976778737535e+00 4.991506293832726442e+02
-2.165137156454822076e+00 5.096168037036833312e+02
-2.040584336130907062e+00 5.610472825864147808e+02
-1.916031515806992047e+00 5.915391730383217919e+02
-1.791478695483076811e+00 5.978798199321468019e+02
-1.666925875159162018e+00 6.417289370692235480e+02
-1.542373054835246560e+00 6.400249997652877028e+02
-1.417820234511331323e+00 6.321254676354380990e+02
-1.293267414187416531e+00 6.151841203465763783e+02
-1.168714593863501294e+00 5.677450018111115924e+02
-1.044161773539586058e+00 5.247035072796359145e+02
-9.196089532156711543e-01 4.886251354419296717e+02
-7.950561328917558068e-01 4.401050452947487770e+02
-6.705033125678405703e-01 3.968151115165716192e+02
-5.459504922439253338e-01 3.530039474923148646e+02
-4.213976719200104304e-01 2.932447964358385661e+02
-2.968448515960951384e-01 2.050947424848870355e+02
-1.722920312721798741e-01 1.248878129036399685e+02
-4.773921094826501232e-02 3.707923192995054507e+01
7.681360937565026581e-02 5.359281196424282001e+01
2.013664296995655578e-01 1.474488268764401369e+02
3.259192500234808221e-01 2.413909651768557865e+02
4.504720703473961141e-01 3.549195404953045454e+02
5.750248906713105734e-01 4.654249534557658308e+02
6.995777109952258099e-01 5.647940404260112928e+02
8.241305313191410464e-01 6.473872074319177727e+02
9.486833516430563940e-01 7.931089875663964222e+02
1.073236171966971630e+00 9.205541401884150901e+02
1.197788992290886867e+00 1.053123386961733786e+03
1.322341812614801437e+00 1.210716399859471949e+03
1.446894632938716674e+00 1.344047817308156937e+03
1.571447453262631910e+00 1.539726131440030031e+03
1.696000273586547147e+00 1.631441566494698463e+03
1.820553093910462383e+00 1.689367915302902020e+03
1.945105914234377842e+00 1.825848329551140750e+03
2.069658734558292412e+00 1.997678227281430509e+03
2.194211554882207427e+00 2.135121252839890531e+03
2.318764375206122885e+00 2.213588985233728181e+03
2.443317195530037900e+00 2.235535908295490572e+03
2.567870015853953358e+00 2.173985164729753251e+03
2.692422836177868373e+00 2.069417134349835123e+03
2.816975656501783831e+00 1.987052791202984508e+03
2.941528476825698402e+00 1.748164727549216877e+03
3.066081297149613416e+00 1.695066293799397727e+03
3.190634117473528875e+00 1.663067382759472821e+03
3.315186937797444333e+00 1.727557571905130317e+03
3.439739758121359348e+00 1.818441527003865758e+03
3.564292578445274806e+00 1.747158881425718619e+03
3.688845398769189821e+00 1.942872769684934383e+03
3.813398219093104391e+00 2.055391318034335654e+03
3.937951039417020738e+00 2.165697973697280304e+03
4.062503859740934864e+00 2.161398015520462195e+03
4.187056680064848990e+00 2.336329502807798235e+03
4.311609500388765781e+00 2.448267517518842851e+03
4.436162320712679907e+00 2.489013664190366399e+03
4.560715141036595810e+00 2.538539737024675560e+03
4.685267961360510824e+00 2.490060464124527243e+03
4.809820781684426727e+00 2.544070972935135615e+03
4.934373602008340853e+00 2.633499573899075131e+03
5.058926422332255868e+00 2.639701297669962059e+03
5.183479242656171770e+00 2.661653258951383123e+03
5.308032062980085897e+00 2.723176529682703404e+03
5.432584883304001799e+00 2.581136661619795632e+03
5.557137703627916814e+00 2.476484389628722056e+03
5.681690523951830940e+00 2.588926274726678002e+03
5.806243344275746843e+00 2.460515317632312872e+03
5.930796164599661857e+00 2.508222746376828127e+03
6.055348984923577760e+00 2.433645261882689738e+03
6.179901805247491886e+00 2.407087650308551019e+03
6.304454625571408677e+00 2.571369731654970565e+03
6.429007445895322803e+00 2.396311300446140649e+03
6.553560266219236929e+00 2.394074072768763017e+03
6.678113086543152832e+00 2.480018805912474818e+03
6.802665906867067847e+00 2.574996627796024768e+03
