# Frequency(THz)  DOS_Intensity
-3.516998755725024406e+00 3.952411829816693083e-03
-3.393455678540845177e+00 3.991197059482001652e+00
-3.269912601356665505e+00 1.103310445273342744e+01
-3.146369524172485832e+00 2.432860571358681057e+01
-3.022826446988306603e+00 3.746978886604227910e+01
-2.899283369804126931e+00 5.670668829239471620e+01
-2.775740292619947702e+00 7.417619197172113843e+01
-2.652197215435768030e+00 1.044331794061328651e+02
-2.528654138251588357e+00 1.518997803746260615e+02
-2.405111061067409572e+00 1.955395239958830302e+02
-2.281567983883229456e+00 2.170994750821260766e+02
-2.158024906699050227e+00 2.534486288041403270e+02
-2.034481829514870999e+00 3.122969241912896905e+02
-1.910938752330691104e+00 3.287382753699192222e+02
-1.787395675146511875e+00 3.606400776455778896e+02
-1.663852597962332203e+00 3.750797272056502152e+02
-1.540309520778152752e+00 3.676726218112642641e+02
-1.416766443593973523e+00 3.630306493068640634e+02
-1.293223366409794073e+00 3.594676778938818416e+02
-1.169680289225614178e+00 3.514242625212269786e+02
-1.046137212041434728e+00 3.322211240610477603e+02
-9.225941348572553879e-01 3.094069325201757010e+02
-7.990510576730760484e-01 2.929903245669987086e+02
-6.755079804888965977e-01 2.523471811530573916e+02
-5.519649033047172582e-01 2.099903388047926853e+02
-4.284218261205374190e-01 1.678986890700664958e+02
-3.048787489363580239e-01 1.212161950143353266e+02
-1.813356717521786565e-01 7.184792952274587208e+01
-5.779259456799926142e-02 2.142590254588527898e+01
6.575048261618013368e-02 2.444777150469428406e+01
1.892935598003599451e-01 7.545170444116509145e+01
3.128366369845388961e-01 1.199662700013661407e+02
4.363797141687187353e-01 1.732103082300415338e+02
5.599227913528985745e-01 2.380104669630119645e+02
6.834658685370774700e-01 3.193508763742619863e+02
8.070089457212573647e-01 4.024714905208714981e+02
9.305520229054362602e-01 4.422381363546022612e+02
1.054095100089616155e+00 4.874149039648119697e+02
1.177638177273795828e+00 5.323417730057054769e+02
1.301181254457974834e+00 5.757573613493241282e+02
1.424724331642154729e+00 7.139351583092008013e+02
1.548267408826333735e+00 7.382584348779288348e+02
1.671810486010513408e+00 6.867017798581717898e+02
1.795353563194693303e+00 8.194846665395077707e+02
1.918896640378872309e+00 9.392894134080942194e+02
2.042439717563051982e+00 1.080729309820861090e+03
2.165982794747231210e+00 1.144076484832305596e+03
2.289525871931410883e+00 1.142314677871391496e+03
2.413068949115589668e+00 9.996343894780114852e+02
