# Frequency(THz)  DOS_Intensity
-3.784774265255967496e+00 4.635089979160118660e-03
-3.661446026835449175e+00 8.169868305746927462e+00
-3.538117788414931741e+00 2.134611161624667730e+01
-3.414789549994413420e+00 6.626995259212297640e+01
-3.291461311573895543e+00 1.200141548138212357e+02
-3.168133073153377666e+00 1.923697054848822745e+02
-3.044804834732859344e+00 2.638885449095262743e+02
-2.921476596312341467e+00 3.373245664257408976e+02
-2.798148357891823146e+00 4.423136360610264433e+02
-2.674820119471305713e+00 5.180780156531260445e+02
-2.551491881050787391e+00 5.834520697142688732e+02
-2.428163642630269514e+00 6.470928226095726359e+02
-2.304835404209751637e+00 7.236588343873427220e+02
-2.181507165789233316e+00 7.867331198811233435e+02
-2.058178927368715438e+00 8.182568386360267141e+02
-1.934850688948197117e+00 8.823668805037964376e+02
-1.811522450527679462e+00 9.406749329858612327e+02
-1.688194212107161363e+00 1.002870025084784743e+03
-1.564865973686643708e+00 1.052040723320992129e+03
-1.441537735266125386e+00 1.065579774212121720e+03
-1.318209496845607287e+00 1.074466591747100892e+03
-1.194881258425089632e+00 1.030455775526184880e+03
-1.071553020004571533e+00 9.808890698135351158e+02
-9.482247815840533223e-01 8.991341228828298426e+02
-8.248965431635356671e-01 8.358953977915709856e+02
-7.015683047430174568e-01 7.591543449779892399e+02
-5.782400663224993576e-01 6.604925862965682200e+02
-4.549118279019812583e-01 5.476809429953269728e+02
-3.315835894814635476e-01 4.041104525619809920e+02
-2.082553510609453928e-01 2.664759550147728646e+02
-8.492711264042726582e-02 1.152881100891095230e+02
3.840112578009045180e-02 5.447858169973020637e+01
1.617293642006085996e-01 2.106577379750208934e+02
2.850576026211267266e-01 3.727681266511244189e+02
4.083858410416448814e-01 5.517308125838005708e+02
5.317140794621629807e-01 7.408553623957633363e+02
6.550423178826803028e-01 9.528269653991523001e+02
7.783705563031984020e-01 1.173400454961446940e+03
9.016987947237165013e-01 1.463753919899429548e+03
1.025027033144234601e+00 1.764611090350985933e+03
1.148355271564752922e+00 2.094856876711937275e+03
1.271683509985271021e+00 2.481632805272189671e+03
1.395011748405788232e+00 2.825502223783124919e+03
1.518339986826306331e+00 3.190708004384389824e+03
1.641668225246824431e+00 3.416156087952641883e+03
1.764996463667342752e+00 3.610108979802770591e+03
1.888324702087860851e+00 3.877161643819308665e+03
2.011652940508378951e+00 4.169170758411469251e+03
2.134981178928896384e+00 4.408352728608340840e+03
2.258309417349414261e+00 4.918967005615654671e+03
2.381637655769932582e+00 4.979952795301580409e+03
2.504965894190450459e+00 4.719563008821590302e+03
2.628294132610968781e+00 4.611899542016079067e+03
2.751622371031487102e+00 4.246435852176004119e+03
2.874950609452004979e+00 3.945983589723997738e+03
2.998278847872522412e+00 3.396617546368604508e+03
3.121607086293040290e+00 3.552515677157246500e+03
3.244935324713558611e+00 3.788555857507231849e+03
3.368263563134076932e+00 3.735650291265594660e+03
3.491591801554594809e+00 3.834416872278823575e+03
3.614920039975113131e+00 4.026484014567995473e+03
3.738248278395630120e+00 4.367686915404015053e+03
3.861576516816148441e+00 4.446969337163702221e+03
3.984904755236666762e+00 4.453185351645778610e+03
4.108232993657185084e+00 4.573784760528315019e+03
4.231561232077702961e+00 4.453867258630531978e+03
4.354889470498220838e+00 4.563745401055581169e+03
4.478217708918738715e+00 4.796757430131428009e+03
4.601545947339257481e+00 4.954104399717050001e+03
4.724874185759775358e+00 4.877178567531322187e+03
4.848202424180293235e+00 4.889630938388246250e+03
4.971530662600810224e+00 4.982037681267403968e+03
5.094858901021328101e+00 5.178951704848008376e+03
5.218187139441845979e+00 5.443847578237126072e+03
5.341515377862364744e+00 5.516647519436771290e+03
5.464843616282882621e+00 5.294470112040310596e+03
5.588171854703400498e+00 5.204245720358479957e+03
5.711500093123918376e+00 4.762279177413116486e+03
5.834828331544437141e+00 4.750676623837543048e+03
5.958156569964955018e+00 4.789974059855298947e+03
6.081484808385472896e+00 4.732962783202398896e+03
6.204813046805991661e+00 4.984564048900183479e+03
6.328141285226509538e+00 5.016900588596223315e+03
6.451469523647027415e+00 5.050016317247705956e+03
6.574797762067544404e+00 4.794715743737751836e+03
6.698126000488062282e+00 4.907302922535463040e+03
6.821454238908580159e+00 4.956044732421812114e+03
6.944782477329098036e+00 4.643741802224131789e+03
7.068110715749616801e+00 4.427947650513069675e+03
7.191438954170134679e+00 4.146446259112849475e+03
7.314767192590652556e+00 3.951052087362544171e+03
7.438095431011171321e+00 4.107028538800372189e+03
7.561423669431689198e+00 4.243891704369585568e+03
7.684751907852207076e+00 4.056158706724290823e+03
7.808080146272724953e+00 3.802175763223433478e+03
7.931408384693243718e+00 3.512501655865953580e+03
8.054736623113759819e+00 3.352092120619500292e+03
8.178064861534277696e+00 3.649915164932473544e+03
8.301393099954795574e+00 3.730564852952281399e+03
8.424721338375313451e+00 3.678718368458357872e+03
8.548049576795833104e+00 3.469467075114708678e+03
8.671377815216350982e+00 3.052633970507436516e+03
8.794706053636868859e+00 2.908152319361699483e+03
8.918034292057386736e+00 3.011175306095701671e+03
9.041362530477904613e+00 3.026284669842448238e+03
9.164690768898422490e+00 3.126282542720517085e+03
9.288019007318942144e+00 3.334480026621436991e+03
9.411347245739460021e+00 2.483497418015593666e+03
9.534675484159977898e+00 3.096862969582204641e+03
9.658003722580493999e+00 3.249487391082803242e+03
9.781331961001011877e+00 3.707868168400502327e+03
9.904660199421529754e+00 3.669586462728299921e+03
1.002798843784204763e+01 3.242345894111384951e+03
1.015131667626256728e+01 3.803608496276544429e+03
1.027464491468308516e+01 3.748901012863184405e+03
1.039797315310360304e+01 3.538530498410322252e+03
1.052130139152412092e+01 3.652138171049576158e+03
1.064462962994463879e+01 3.199636497976942792e+03
1.076795786836515667e+01 2.636954912544660147e+03
1.089128610678567455e+01 3.212440416519604696e+03
1.101461434520619420e+01 3.503195540652777254e+03
1.113794258362671208e+01 3.757269069639584359e+03
1.126127082204722818e+01 3.929107208775405070e+03
1.138459906046774606e+01 4.054214308605211954e+03
1.150792729888826393e+01 3.624850848145250893e+03
1.163125553730878181e+01 2.569542782474894466e+03
1.175458377572930146e+01 2.199038949495883116e+03
1.187791201414981934e+01 1.803062618989162047e+03
1.200124025257033722e+01 1.365050316899173595e+03
1.212456849099085510e+01 1.011341166462920796e+03
1.224789672941137297e+01 9.357151707240972200e+02
1.237122496783189085e+01 1.212681773488176077e+03
1.249455320625240873e+01 1.375059679240483774e+03
1.261788144467292838e+01 1.571978077906021326e+03
1.274120968309344626e+01 2.201584527942672139e+03
1.286453792151396414e+01 1.319806485200422685e+03
1.298786615993448201e+01 1.768881112510415505e+03
1.311119439835499989e+01 2.459049811327495263e+03
1.323452263677551777e+01 2.703083677820372941e+03
1.335785087519603564e+01 9.867772521020343675e+02
1.348117911361655530e+01 1.660870194112927948e+03
1.360450735203706962e+01 2.332691760703455657e+03
1.372783559045758750e+01 2.807652319968705797e+03
1.385116382887810538e+01 2.947415340008118619e+03
1.397449206729862325e+01 3.470981948726169321e+03
1.409782030571914113e+01 3.900129326168080297e+03
1.422114854413966079e+01 4.235163671044891998e+03
1.434447678256017866e+01 3.751318019461657059e+03
1.446780502098069654e+01 3.502880383631107634e+03
1.459113325940121442e+01 2.568489369667065148e+03
1.471446149782173229e+01 2.346110832108774503e+03
1.483778973624225017e+01 2.561682454883604805e+03
1.496111797466276805e+01 2.475748052295504749e+03
1.508444621308328770e+01 2.488169809649367835e+03
1.520777445150380558e+01 2.506598787325765443e+03
1.533110268992432346e+01 2.449469563590754660e+03
1.545443092834484133e+01 2.053287545389387560e+03
1.557775916676535921e+01 1.963138304284050719e+03
1.570108740518587709e+01 1.662593281223025542e+03
1.582441564360639497e+01 1.826380583709104258e+03
1.594774388202691462e+01 1.220414177507029535e+03
1.607107212044743250e+01 1.146464345270646618e+03
1.619440035886794860e+01 1.343805435219422861e+03
1.631772859728846825e+01 1.401318457030956779e+03
1.644105683570898790e+01 1.916858702869250919e+03
1.656438507412950401e+01 2.035109165061928707e+03
1.668771331255002366e+01 1.685242710874858631e+03
1.681104155097053621e+01 1.429288408489063386e+03
1.693436978939105586e+01 1.693173501953031518e+03
1.705769802781157196e+01 1.841961304223361367e+03
1.718102626623209161e+01 1.787786078744227098e+03
1.730435450465261127e+01 1.989821669392062176e+03
1.742768274307312737e+01 1.988116778685536929e+03
1.755101098149364702e+01 1.625994435437782840e+03
1.767433921991416312e+01 1.565884211739729835e+03
1.779766745833468278e+01 1.543037910840575023e+03
1.792099569675519888e+01 1.983461793067001963e+03
1.804432393517571853e+01 2.255378406236534374e+03
1.816765217359623819e+01 2.258161083080721710e+03
1.829098041201675429e+01 2.261000202991462174e+03
1.841430865043727394e+01 2.535591354070279976e+03
1.853763688885779004e+01 1.927648846950419056e+03
1.866096512727830969e+01 1.242540714729476122e+03
1.878429336569882580e+01 1.207880721035660144e+03
1.890762160411934545e+01 1.732030537012989043e+03
1.903094984253986510e+01 1.839118799608918607e+03
1.915427808096038120e+01 1.205645834076060964e+03
1.927760631938090086e+01 1.220677792751802599e+03
1.940093455780141696e+01 1.439376985270561818e+03
1.952426279622193661e+01 1.816101075458512241e+03
1.964759103464245271e+01 1.983826894940312968e+03
1.977091927306297237e+01 1.844055559340161608e+03
1.989424751148348847e+01 1.484211976098171135e+03
2.001757574990400457e+01 2.193931943139024042e+03
2.014090398832452422e+01 2.762901443644113442e+03
2.026423222674504032e+01 2.598158143336396734e+03
2.038756046516555998e+01 3.418371918069488402e+03
2.051088870358607963e+01 2.460785606174924396e+03
2.063421694200659573e+01 5.299233590396834188e+02
2.075754518042711894e+01 6.123425107645700388e-02
