      Step     Time          Energy          fmax
BFGS:    0 01:27:18     -528.968688        0.433552
BFGS:    1 01:27:18     -528.981033        0.428838
BFGS:    2 01:27:19     -529.076058        0.362684
BFGS:    3 01:27:19     -529.093460        0.349464
BFGS:    4 01:27:19     -529.235071        0.248411
BFGS:    5 01:27:19     -529.360154        0.207094
BFGS:    6 01:27:19     -529.470046        0.166337
BFGS:    7 01:27:19     -529.543760        0.071134
BFGS:    8 01:27:19     -529.553639        0.020033
BFGS:    9 01:27:19     -529.555029        0.004752
BFGS:   10 01:27:19     -529.555104        0.000493
