# Frequency(THz)  DOS_Intensity
-4.267014907738994722e+00 5.130795866252554210e-02
-4.141324298896337019e+00 1.727183092892617111e+01
-4.015633690053679317e+00 2.753909502489944572e+01
-3.889943081211022502e+00 1.181309403218813259e+02
-3.764252472368364799e+00 1.219762163168814482e+02
-3.638561863525707540e+00 1.747205299721615575e+02
-3.512871254683049838e+00 2.560414588165145915e+02
-3.387180645840392579e+00 3.429739891162640788e+02
-3.261490036997735320e+00 4.351747933060582909e+02
-3.135799428155077617e+00 5.534490830582399212e+02
-3.010108819312420358e+00 6.323973081741356737e+02
-2.884418210469763100e+00 8.001102745653095099e+02
-2.758727601627105841e+00 1.046179595713260596e+03
-2.633036992784448582e+00 1.039740558348410332e+03
-2.507346383941790879e+00 1.252862956151033814e+03
-2.381655775099133621e+00 1.440175890257062520e+03
-2.255965166256476362e+00 1.686971451854787347e+03
-2.130274557413818659e+00 1.982883704049835615e+03
-2.004583948571161400e+00 2.432112476731927018e+03
-1.878893339728503920e+00 2.693754722286929791e+03
-1.753202730885846661e+00 2.775921207713077820e+03
-1.627512122043189180e+00 2.387855987395350439e+03
-1.501821513200531699e+00 2.235701248794073763e+03
-1.376130904357874218e+00 2.204669342702366521e+03
-1.250440295515217404e+00 2.086208066151849835e+03
-1.124749686672559923e+00 1.759232848795094242e+03
-9.990590778299024421e-01 1.547097035167367039e+03
-8.733684689872450724e-01 1.350151930969051591e+03
-7.476778601445875916e-01 1.240026550631152759e+03
-6.219872513019302218e-01 9.677428440971976897e+02
-4.962966424592727965e-01 8.617495168887045338e+02
-3.706060336166153713e-01 5.829944226681476493e+02
-2.449154247739579460e-01 3.612915178570094099e+02
-1.192248159313005346e-01 1.829753008990653314e+02
6.465792911356883776e-03 4.109259016996030311e+01
1.321564017540143021e-01 2.338704603891185911e+02
2.578470105966716996e-01 4.603482862954481902e+02
3.835376194393291249e-01 5.658441849131736490e+02
5.092282282819865502e-01 7.643422668067008772e+02
6.349188371246440310e-01 9.147612954618812182e+02
7.606094459673014008e-01 1.099184261890197831e+03
8.863000548099587705e-01 1.270243572885979574e+03
1.011990663652616140e+00 1.289634074959509690e+03
1.137681272495273621e+00 1.438824574914501682e+03
1.263371881337931102e+00 1.720428043749226163e+03
1.389062490180588583e+00 1.912044616823699243e+03
1.514753099023245841e+00 2.143093265385269206e+03
1.640443707865903322e+00 2.387859215382036837e+03
1.766134316708559915e+00 2.476948143530817561e+03
1.891824925551217396e+00 2.456224901252990094e+03
2.017515534393874876e+00 2.856114877548453478e+03
2.143206143236532135e+00 2.893125655876046039e+03
2.268896752079189394e+00 3.261465705856434397e+03
2.394587360921847097e+00 3.465027368182481950e+03
2.520277969764504356e+00 3.955042441994717137e+03
2.645968578607162058e+00 4.032546242000480106e+03
2.771659187449819317e+00 3.826719185548227415e+03
2.897349796292476576e+00 3.544040995907306751e+03
3.023040405135134279e+00 3.412753554756089216e+03
3.148731013977791537e+00 3.184251890681995519e+03
3.274421622820448796e+00 3.620673874875878482e+03
3.400112231663106499e+00 3.589528928017384260e+03
3.525802840505763758e+00 3.779350644756884776e+03
3.651493449348421017e+00 3.925744299200487148e+03
3.777184058191078719e+00 4.327210948468748029e+03
3.902874667033735978e+00 4.332582080791310545e+03
4.028565275876393237e+00 4.473228017918667319e+03
4.154255884719050940e+00 4.474075502035841964e+03
4.279946493561708643e+00 4.682970157794115948e+03
4.405637102404365457e+00 4.728170850059654185e+03
4.531327711247023160e+00 4.884418203656909100e+03
4.657018320089680863e+00 4.762570946313913737e+03
4.782708928932337678e+00 5.031310462111527158e+03
4.908399537774995380e+00 5.179225858648384019e+03
5.034090146617653083e+00 5.253500792112956333e+03
5.159780755460309898e+00 5.353523357792022580e+03
5.285471364302967601e+00 5.482439050157950987e+03
5.411161973145625304e+00 5.266367577471295590e+03
5.536852581988282118e+00 5.033999463081639988e+03
5.662543190830939821e+00 4.765470159870194948e+03
5.788233799673597524e+00 4.526523088902956260e+03
5.913924408516254339e+00 4.479030995184133644e+03
6.039615017358912041e+00 4.882011821915177279e+03
6.165305626201569744e+00 5.578927580791340915e+03
6.290996235044227447e+00 5.898021153399587092e+03
6.416686843886884262e+00 5.578539240668405000e+03
6.542377452729541965e+00 5.436712079937263297e+03
6.668068061572199667e+00 5.330486853797719050e+03
6.793758670414856482e+00 5.395638834904281794e+03
6.919449279257514185e+00 5.132337679562189805e+03
7.045139888100171888e+00 4.550563576934950106e+03
7.170830496942828702e+00 4.038203136255971003e+03
7.296521105785486405e+00 4.122126642736784561e+03
7.422211714628144108e+00 4.096773544251956992e+03
7.547902323470800923e+00 4.667381195607770678e+03
7.673592932313459514e+00 4.682500560625066100e+03
7.799283541156113664e+00 4.509731819233455099e+03
7.924974149998771367e+00 4.322369322801350791e+03
8.050664758841428181e+00 4.213277471652898384e+03
8.176355367684084996e+00 4.103319746800701978e+03
8.302045976526743587e+00 3.987827570980871769e+03
8.427736585369400402e+00 3.516178390338306599e+03
8.553427194212057216e+00 2.774569649790628318e+03
8.679117803054715807e+00 2.161586769751357679e+03
8.804808411897372622e+00 2.060050239083892848e+03
8.930499020740029437e+00 2.434866515439127852e+03
9.056189629582688028e+00 2.864785063626216470e+03
9.181880238425344842e+00 3.637977261490605088e+03
9.307570847268003433e+00 4.072460480410557466e+03
9.433261456110660248e+00 4.857838513583777967e+03
9.558952064953317063e+00 5.088687742004341089e+03
9.684642673795975654e+00 4.876319084299407223e+03
9.810333282638632468e+00 4.559313580297386579e+03
9.936023891481289283e+00 4.069527328886128089e+03
1.006171450032394787e+01 3.996266712575024485e+03
1.018740510916660469e+01 3.737547819384315517e+03
1.031309571800926150e+01 3.256911057065038221e+03
1.043878632685192009e+01 3.282717345092573851e+03
1.056447693569457691e+01 3.591890020481646388e+03
1.069016754453723372e+01 3.687629767979138705e+03
1.081585815337989231e+01 3.714858466562030571e+03
1.094154876222254913e+01 3.031322941645304581e+03
1.106723937106520594e+01 2.638991330934729376e+03
1.119292997990786453e+01 2.046480629466745313e+03
1.131862058875052135e+01 1.441017845601404360e+03
1.144431119759317816e+01 1.023838947416047631e+03
1.157000180643583676e+01 6.753512155059111137e+02
1.169569241527849357e+01 7.759902152954715575e+02
1.182138302412115038e+01 1.590258976398507457e+03
1.194707363296380898e+01 2.797384174033488307e+03
1.207276424180646579e+01 4.290732783715036931e+03
1.219845485064912260e+01 5.342962707099253748e+03
1.232414545949178120e+01 1.050182823755457548e+03
1.244983606833443801e+01 1.004302093134800657e+03
1.257552667717709483e+01 1.176879807778698478e+03
1.270121728601975342e+01 7.886437387557190277e+02
1.282690789486241023e+01 8.338802302546204146e+02
1.295259850370506705e+01 7.264837567223943324e+02
1.307828911254772564e+01 1.022864571168146654e+03
1.320397972139038245e+01 1.050653879961336543e+03
1.332967033023303927e+01 1.118933176792334280e+03
1.345536093907569786e+01 1.344208930964742422e+03
1.358105154791835467e+01 2.432952020903298944e+03
1.370674215676101149e+01 2.754655359853133632e+03
1.383243276560367008e+01 3.601575918418318906e+03
1.395812337444632689e+01 4.225727675451017603e+03
1.408381398328898371e+01 3.438947721046970855e+03
1.420950459213164230e+01 2.877668723694371238e+03
1.433519520097429911e+01 1.908525491295907841e+03
1.446088580981695593e+01 1.101150441880019599e+02
1.458657641865961452e+01 3.207817770205670271e+00
1.471226702750227133e+01 4.656967400552755407e+02
1.483795763634492815e+01 2.212245902736256085e+03
1.496364824518758674e+01 2.801788557325236980e+03
1.508933885403024355e+01 3.182426275248141337e+03
1.521502946287290214e+01 2.323149881480530439e+03
1.534072007171555896e+01 2.302393070457408612e+03
1.546641068055821577e+01 1.868642099626429399e+03
1.559210128940087436e+01 1.861036729856411966e+03
1.571779189824353118e+01 1.711486775547845582e+03
1.584348250708618799e+01 1.612084663997703274e+03
1.596917311592884658e+01 1.693675686079527168e+03
1.609486372477150340e+01 1.559960973507500512e+03
1.622055433361416021e+01 1.647812004846056880e+03
1.634624494245681703e+01 1.597644167650104237e+03
1.647193555129947384e+01 1.979212065101648022e+03
1.659762616014213421e+01 1.846773124594448291e+03
1.672331676898479103e+01 2.045864804055089508e+03
1.684900737782744784e+01 1.786884701351461672e+03
1.697469798667010465e+01 1.360525764661822222e+03
1.710038859551276147e+01 1.392362992979336013e+03
1.722607920435541828e+01 1.605248570165170122e+03
1.735176981319807865e+01 2.154050414611896940e+03
1.747746042204073547e+01 2.235883496225577346e+03
1.760315103088339228e+01 1.778437984346343001e+03
1.772884163972604910e+01 1.566531790689125728e+03
1.785453224856870591e+01 1.611972917589202780e+03
1.798022285741136628e+01 1.974619950244473557e+03
1.810591346625402309e+01 2.393437855876641606e+03
1.823160407509667991e+01 2.200076272839477951e+03
1.835729468393933672e+01 2.477481993261216303e+03
1.848298529278199354e+01 2.761761730169803741e+03
1.860867590162465035e+01 2.628375616952397195e+03
1.873436651046731072e+01 2.397686816061487207e+03
1.886005711930996753e+01 1.304225731835710576e+03
1.898574772815262435e+01 1.277787182529846859e+03
1.911143833699528116e+01 1.308121321853808240e+03
1.923712894583793798e+01 5.301446378274806648e+02
1.936281955468059479e+01 1.238146854377440832e+03
1.948851016352325516e+01 1.493097551218795843e+03
1.961420077236591197e+01 1.717919003922960201e+03
1.973989138120856879e+01 1.623668237310707127e+03
1.986558199005122205e+01 1.823022780223881682e+03
1.999127259889387886e+01 2.580599001216096894e+03
2.011696320773653568e+01 3.347476893998069045e+03
2.024265381657919605e+01 3.502547582762922048e+03
2.036834442542185286e+01 2.827374884954244862e+03
2.049403503426450968e+01 1.891595963534373368e+03
2.061972564310716649e+01 9.897871804879689535e+02
2.074541625194982331e+01 3.141947070161660860e-01
