# Frequency(THz)  DOS_Intensity
-3.761187654470198094e+00 2.951923528615381723e-02
-3.638267062318195855e+00 1.746450114658824404e+01
-3.515346470166194059e+00 4.487214748595885538e+01
-3.392425878014192264e+00 8.859634889096732024e+01
-3.269505285862190469e+00 1.705949404210788600e+02
-3.146584693710188230e+00 2.572931211042642872e+02
-3.023664101558186434e+00 3.916468244463748078e+02
-2.900743509406184639e+00 4.383879843438057833e+02
-2.777822917254182400e+00 5.338340033187068912e+02
-2.654902325102180605e+00 6.021049309109910155e+02
-2.531981732950179254e+00 6.587683958384291145e+02
-2.409061140798177014e+00 6.654168222415682976e+02
-2.286140548646174775e+00 6.438499903994343185e+02
-2.163219956494172536e+00 6.737617676623275429e+02
-2.040299364342171184e+00 7.308184046342967122e+02
-1.917378772190169389e+00 8.232619007198412646e+02
-1.794458180038167150e+00 9.333598334212056216e+02
-1.671537587886165133e+00 9.562772375564751428e+02
-1.548616995734163337e+00 9.680370601276405296e+02
-1.425696403582161320e+00 1.034146383645391779e+03
-1.302775811430159525e+00 1.001399144851214714e+03
-1.179855219278157508e+00 1.007317951775890720e+03
-1.056934627126155712e+00 9.406191416175921631e+02
-9.340140349741536951e-01 9.344820315641884463e+02
-8.110934428221515669e-01 8.702326183613347439e+02
-6.881728506701498826e-01 8.003627949018898562e+02
-5.652522585181477544e-01 7.588792865366707474e+02
-4.423316663661460701e-01 6.175240628243959691e+02
-3.194110742141439419e-01 4.876857871755719316e+02
-1.964904820621422299e-01 2.820722812704946136e+02
-7.356988991014012935e-02 1.072590792919989440e+02
4.935070224186156179e-02 7.704184219517556187e+01
1.722712943938636831e-01 2.370609729073078142e+02
2.951918865458658114e-01 4.115839140120648949e+02
4.181124786978678842e-01 6.418042017341189194e+02
5.410330708498691799e-01 8.879200685385937959e+02
6.639536630018713081e-01 1.121888417925718159e+03
7.868742551538734364e-01 1.442855635239714047e+03
9.097948473058755647e-01 1.735858691615745101e+03
1.032715439457876805e+00 2.111571813272589225e+03
1.155636031609878822e+00 2.451179202221487230e+03
1.278556623761881061e+00 2.528963656918750075e+03
1.401477215913883079e+00 2.658825213509739115e+03
1.524397808065885318e+00 2.913822761160118262e+03
1.647318400217886447e+00 2.965206968260330541e+03
1.770238992369888686e+00 3.386676377854955263e+03
1.893159584521890704e+00 3.931549178461293650e+03
2.016080176673892943e+00 4.218756596417227229e+03
2.139000768825895182e+00 4.812339005526288929e+03
2.261921360977896089e+00 4.967689556806451037e+03
2.384841953129898329e+00 5.073308854659293502e+03
2.507762545281900568e+00 4.712523065403978762e+03
2.630683137433902363e+00 4.398031227265490088e+03
2.753603729585903714e+00 4.119632320659656216e+03
2.876524321737905954e+00 4.154776190716977908e+03
2.999444913889908193e+00 3.724292243067929576e+03
3.122365506041909988e+00 3.617473778718977428e+03
3.245286098193912228e+00 3.619648313401745781e+03
3.368206690345913579e+00 3.469348630516647972e+03
3.491127282497915818e+00 3.323221956983730706e+03
3.614047874649917613e+00 3.595419272734106016e+03
3.736968466801919853e+00 4.051603386877471621e+03
3.859889058953920760e+00 4.091864675795749463e+03
3.982809651105922999e+00 4.281495952530986870e+03
4.105730243257925238e+00 4.354021652662227098e+03
4.228650835409927033e+00 4.280593115283165389e+03
4.351571427561928829e+00 4.589813483080757578e+03
4.474492019713931512e+00 5.076181491693121643e+03
4.597412611865933307e+00 5.227358504422320948e+03
4.720333204017934214e+00 5.228384845886937001e+03
4.843253796169936010e+00 5.063699513954417853e+03
4.966174388321937805e+00 5.419750427505726293e+03
5.089094980473940488e+00 5.225484605622971685e+03
5.212015572625942283e+00 4.961387256371253898e+03
5.334936164777944079e+00 4.795313240757696803e+03
5.457856756929946762e+00 4.673988001383111623e+03
5.580777349081948557e+00 5.140877332914845283e+03
5.703697941233951241e+00 4.887236325021185621e+03
5.826618533385951260e+00 4.511712521287506206e+03
5.949539125537953055e+00 4.377385041311686109e+03
6.072459717689955738e+00 4.649682890831686564e+03
6.195380309841957533e+00 4.685961343550424317e+03
6.318300901993959329e+00 5.198717269774321721e+03
6.441221494145962012e+00 4.995222329865495340e+03
6.564142086297963807e+00 4.628840907589522430e+03
6.687062678449965603e+00 5.264258067079702414e+03
6.809983270601968286e+00 5.088246823163241061e+03
6.932903862753968305e+00 4.695160528861878447e+03
7.055824454905970988e+00 4.465539965449832380e+03
7.178745047057972783e+00 4.521226262805525039e+03
7.301665639209974579e+00 4.272750974512980974e+03
7.424586231361977262e+00 4.392306796119853061e+03
7.547506823513979057e+00 3.891816080079309359e+03
7.670427415665980853e+00 4.182590548460570972e+03
7.793348007817983536e+00 4.054356082347673691e+03
7.916268599969985331e+00 3.554435204864445041e+03
8.039189192121988015e+00 3.404253056946878132e+03
8.162109784273987145e+00 4.509207108379143392e+03
8.285030376425989829e+00 4.098722109584473401e+03
8.407950968577992512e+00 4.352247756025233684e+03
8.530871560729995196e+00 3.047410691576891168e+03
8.653792152881996103e+00 1.965974825970130269e+03
8.776712745033998786e+00 2.570430722357613831e+03
8.899633337186001469e+00 3.534759596657272596e+03
9.022553929338002376e+00 2.970241773159601962e+03
9.145474521490005060e+00 2.946881787321764023e+03
9.268395113642005967e+00 3.103878736938805559e+03
9.391315705794006874e+00 2.148423692630284222e+03
9.514236297946009557e+00 3.500420066561700878e+03
9.637156890098012241e+00 3.980053659099883134e+03
9.760077482250013148e+00 3.666957200710984125e+03
9.882998074402015831e+00 3.620654247404860598e+03
1.000591866655401851e+01 4.235442880135363339e+03
1.012883925870601942e+01 3.831163459873113879e+03
1.025175985085802211e+01 3.985296817068330256e+03
1.037468044301002301e+01 3.585548901374371781e+03
1.049760103516202570e+01 3.082150352630338148e+03
1.062052162731402660e+01 2.961824861323462756e+03
1.074344221946602929e+01 2.653092210345699641e+03
1.086636281161803197e+01 3.184767574749274445e+03
1.098928340377003288e+01 3.766436291376465306e+03
1.111220399592203556e+01 3.583566795739951885e+03
1.123512458807403824e+01 3.534649922832754783e+03
1.135804518022603737e+01 3.614279179229077272e+03
1.148096577237804006e+01 3.062375299797207390e+03
1.160388636453004274e+01 3.198290848035360341e+03
1.172680695668204365e+01 2.229408961160955187e+03
1.184972754883404633e+01 1.602881669419016134e+03
1.197264814098604901e+01 1.299834877404950248e+03
1.209556873313804992e+01 9.190091648965768627e+02
1.221848932529005261e+01 6.564489364475058437e+02
